c	Clostridia	Actinomycetia	Verrucomicrobiae	Negativicutes	Bacilli	Methanobacteria	Coriobacteriia	Bacteroidia	Gammaproteobacteria
Healthy	0.4591194599369	-0.926831737734898	0.221849618204452	-5	-5	-5	-5	1.96814495463693	-0.162676764352586
Healthy	0.525187387787583	-5	-5	-5	-5	-5	-0.935317433771488	1.63732748922239	-0.945885099489414
Healthy	0.723788859050945	-0.361390954192885	-5	1.17950037362933	-0.601625913848644	-5	-0.243356285962926	1.75295206948262	-0.534498180058329
Healthy	1.379915458851	0.122301089961987	0.0238900543559375	-5	-0.97802554488994	-5	-0.829591588274682	1.71731485160876	-0.222551427179631
Healthy	1.45827727272622	-1.77211329538633	-1.96899571863646	0.537612598757124	-2.35457773065091	-5	-1.86138156610051	1.78570949869202	-0.930516906065389
D015179	1.03328982737338	0.569038987453727	1.73794770607166	-5	0.529308416517992	0.806502860446278	-5	1.1224278933283	-5
Healthy	1.01247361443207	0.637994778390935	-0.830707725120064	0.459641231058366	-2.2572748686953	-1.26833066817136	-2.64397414280688	1.84856983556758	-0.41002807048314
D015179	1.5665083170801	-2.01099538430146	-5	-5	-0.0393294834290999	-1.85418228550817	-0.138806228686556	1.59990424068579	0.437663378170159
Healthy	0.488405457367657	-1.20802879897923	-0.0782823188484275	-5	-1.26560025747943	-5	-0.873414072045662	1.92204983052155	0.185063118628386
Healthy	1.6775069439896	-1.66534523311676	-3.14266750356873	-5	-1.14721513131945	-5	-0.531327808853853	1.57222816092954	0.449094075274832
Healthy	1.66913940664896	-5	-5	-5	1.051093840473	-5	-5	1.31736058768831	-1.31202537996544
Healthy	1.50651274410758	-0.471443219398817	-5	-0.596827984507749	0.582984408651994	-5	-0.569199575375819	1.69391056216295	-0.265152184721705
Healthy	1.82704989750399	0.100821838946951	-5	0.945026679940939	0.0569048513364726	0.577774343999618	-0.758602958350354	0.862428959956688	-1.33320131633383
Healthy	1.87591343904048	1.32709541653146	-5	-5	-5	-5	-5	0.558182780051332	-5
Healthy	0.887815275486838	-0.833658708016502	1.02199551080134	-0.0641250998316844	-1.13153190097901	-5	-0.613073193204431	1.81917871144198	-0.939906816175532
D015179	1.60883602629199	-0.538066496234887	-5	0.00414073851686563	0.277515240687803	0.471988077734671	-0.093287943057036	1.54241034677249	0.436199234411946
Healthy	0.994225179864961	-5	-5	-1.16723569505947	-0.522227791650743	-1.01282549891246	-0.199152378124986	1.88965420652834	-5
Healthy	1.3453164744199	1.55509928748709	-5	0.174135431793646	0.271353622102484	-5	-0.363903445843243	1.35740003085252	0.592966876255435
Healthy	1.71787046537739	-1.35961795529043	0.81419430479598	-5	0.376482058819104	-5	0.39167242839155	1.01821768096015	-0.379947270905605
Healthy	1.5841822493836	-0.601140261595739	-2.15490195998574	0.109159910732136	-0.0564411855707237	0.260731872147808	-0.729344451047015	1.64695609540824	0.459898869322942
Healthy	1.60943496080477	-5	-5	-5	-5	-5	-0.475292388205987	1.70267966728539	-0.529648320654182
Healthy	1.42360430573151	-5	-5	0.504940923792709	0.416265954074958	-5	-5	1.76331049352414	-0.0902675076251021
Healthy	1.61380631605831	-0.572156994294466	-5	-5	1.146950244924	0.485932845201798	0.575643845661616	1.27892180034509	-0.169789980446389
Healthy	1.54674409485113	-5	-5	0.816328150203432	0.215629633457334	-5	-1.40837896178668	-5	0.624558470873253
D015179	0.740795978135353	-0.517412230473232	0.45534591431364	-5	-0.348857724237655	0.535044613944698	0.270755675019231	1.79980010688859	-0.317773670305823
Healthy	1.49694057445299	-0.644491011975566	-5	0.0852691663062547	-0.536584848478778	-5	-0.871213141357402	1.34369035064213	0.414679264466649
D015179	1.37848874803181	1.21677586209977	-1.13972190024776	0.212525849333018	0.690117190804909	0.826800828506992	-0.01659474969244	1.26712806200589	-0.408245524316796
Healthy	0.822281216656299	0.0824586292715335	-0.878112014896319	0.482997854050922	-0.26085504067402	-5	-0.146478218173163	1.65574909221612	-0.444603223193737
D015179	1.23571449718576	0.528380568308813	0.0868543599347791	-5	0.336493755585909	1.05694713584589	-0.132520726833234	1.49123979408326	-0.600482029565126
Healthy	0.962872011646389	0.211318145691329	-5	0.899838005126567	1.32789385998954	-5	0.356274500903909	1.25929923269997	0.433228828459711
Healthy	1.26968452668662	-0.358664727273591	-5	-1.24695343837347	-0.747316838067802	-5	-0.92786043676026	1.80432102081899	-1.09946901754724
Healthy	1.1086857570507	1.54657535771273	-1.48043449911949	1.11346904426635	-1.61834351741421	-5	0.0330657171185611	1.49356427633227	-0.98175733254209
Healthy	1.54941111098063	0.743686895664305	-5	0.66441066625717	0.70645576145229	-5	0.636777663647943	1.33045943275192	-0.496658819638013
Healthy	0.806771975129058	-1.98674133471648	1.64334813711979	0.415260555485293	-0.867996607013368	-5	0.130005510862396	1.12349589629023	1.02127904398954
Healthy	0.89347657602406	-0.873414072045662	1.01745114670004	-0.0941232027331172	-1.16304326294045	-5	-0.547186591322146	1.81791352489197	-1.01963297381522
D015179	1.36232938912803	0.226522575863549	1.21965026786962	0.952727560315189	0.087891396766545	-0.378709445238671	-0.222877798078428	1.19380418266443	-0.767105490843987
Healthy	1.42169044813617	0.386456158235409	-0.996582554797806	0.776590780723774	-0.0665886443976464	-5	-0.0788599869822159	1.66387781019517	0.410654095544502
Healthy	0.516286756742558	-0.557786847277181	-5	0.7701993436501	-1.64820369310298	-5	-2.63078414258986	1.84899289555575	-0.748994826506365
Healthy	1.04352810361786	0.72775265980976	0.850736882398385	1.24868546482757	-0.758055266755733	-5	-0.149390519078651	1.6475331865481	-0.55695617135166
Healthy	1.62673639063625	-0.700035331375845	-5	-2.33161408331	0.716771865592201	-1.60800692774029	-1.22577509513108	1.56000304445673	-1.64936439174105
D015179	1.87730187623629	0.412774604324876	-5	0.386295593213631	0.5605091942002	-5	0.313536102749275	0.308397919884301	-1.18468795647564
Healthy	1.74560717886567	0.773395111234869	-5	0.706197853673996	-5	-5	0.233549419743861	1.25952794138506	-5
Healthy	1.61067634238685	-5	-5	0.339403735860026	0.292838433016156	-5	-5	1.62839833114676	-5
