group	Lachnospirales	Oscillospirales	Erysipelotrichales	Enterobacterales	Coriobacteriales	Lactobacillales	Peptostreptococcales	Desulfovibrionales		Bacteroidales	Lachnospirales	Oscillospirales	Veillonellales	Verrucomicrobiales	Lactobacillales	Methanobacteriales	Coriobacteriales	Acidaminococcales	Desulfovibrionales
Healthy	38.09029	21.15368	0	1.49435	1.54102	0.34649	0	0		22.14347	38.09029	21.15368	0	0	0.34649	0.11191	1.54102	1.07483	0
Healthy	6.73804	0.39654	0	0	1.31584	0.45334	0	0		0.35748	6.73804	0.39654	0	0	0.45334	0	1.31584	0	0
Healthy	12.91336	1.73887	0.53907	0	0	0	0	0		80.38068	12.91336	1.73887	0	0	0	0	0	0	0
Healthy	21.6924	25.92229	0.1903	0	3.69281	0	0	0.19041		20.33218	21.6924	25.92229	0	19.023	0	0	3.69281	0	0.19041
Healthy	0.0105	0.00433	0	55.0788	0.0026	0.00765	0.23549	0		28.87276	0.0105	0.00433	0.03501	0.00039	0.00765	0	0.0026	0	0
Healthy	14.063	5.64434	1.18442	0.57325	0.78351	0	0	0		38.75978	14.063	5.64434	0	11.9695	0	0	0.78351	0.01608	0
Healthy	41.68406	7.35678	1.65472	0.91179	0.4209	0.7126	4.42379	0		29.53286	41.68406	7.35678	0.46493	2.81759	0.7126	0.20726	0.4209	0	0
Healthy	11.91339	3.242	0.73283	33.3132	0.00433	0	0	0		33.23081	11.91339	3.242	0	0	0	0	0.00433	0	0
Healthy	26.02128	4.27652	1.85933	5.37164	0	0.02733	0	0		41.87328	26.02128	4.27652	0	0.49181	0.02733	2.44739	0	0	0
Healthy	3.89694	7.01832	0.17372	0	0.64273	0.04903	0	1.21704		69.54234	3.89694	7.01832	0	0	0.04903	0.00825	0.64273	0	1.21704
Healthy	57.26534	0.76115	0	0.09139	0	0.34273	0	0		28.72289	57.26534	0.76115	0.38925	0	0.34273	0.21268	0	0	0
Healthy	2.30841	0.10838	0	1.15581	0	0	0	0		65.70584	2.30841	0.10838	11.06571	0	0	0	0	0	0
Healthy	64.4011	14.55616	0.02408	0.05193	0.47668	0.0318	0	0		7.75441	64.4011	14.55616	0.21678	0	0.0318	0	0.47668	0.00015	0
Healthy	11.56562	8.83526	0.04376	26.87573	1.11166	1.51516	0.20169	0.0392		25.16801	11.56562	8.83526	0.01516	0.00032	1.51516	0	1.11166	0	0.0392
Healthy	1.72941	3.83581	0.00174	0	0.1628	0	0	0.0151		75.927	1.72941	3.83581	0	3.84496	0	0	0.1628	0	0.0151
Healthy	46.51861	9.83849	0.00415	0.76155	0.59299	0.4968	0.1088	0		27.96087	46.51861	9.83849	0.13564	0.79342	0.4968	0	0.59299	0	0
Healthy	3.10588	4.70989	0.00808	0	0.22282	0.05237	0	0.33033		66.09812	3.10588	4.70989	0	10.3809	0.05237	0	0.22282	0.87857	0.33033
Healthy	25.5392	20.96904	0.13303	2.10237	1.03937	8.14983	0.07247	0.07805		25.51014	25.5392	20.96904	0.2242	0	8.14983	0.79834	1.03937	0	0.07805
Healthy	12.06107	47.80958	0	0	1.79807	0	0	0		18.16758	12.06107	47.80958	0	0	0	0	1.79807	0	0
Healthy	0.68422	7.98813	0.03735	0.09832	0.03568	0.03648	0	0.0016		78.57875	0.68422	7.98813	0	0	0.03648	0	0.03568	0	0.0016
Healthy	18.72938	4.49598	0.06825	0	0.12192	0	0	0.40904		64.93079	18.72938	4.49598	0	0	0	0	0.12192	0	0.40904
Healthy	5.48461	6.84934	0.8809	9.39904	0.65339	0.01927	0.0581	0.18958		39.03604	5.48461	6.84934	0.22665	0.3477	0.01927	0.07517	0.65339	0	0.18958
Healthy	1.21892	1.32719	0.02311	0.38656	0.13178	0.20842	0	0.00253		88.7654	1.21892	1.32719	3.58941	0	0.20842	0	0.13178	0	0.00253
Healthy	11.90134	0.49666	0.01034	2.90482	0	0.07356	0	0.0383		79.91048	11.90134	0.49666	0	0	0.07356	0	0	0	0.0383
Healthy	6.58367	6.98856	0.02486	0.13452	0.1822	0.00636	0	0.13826		64.14272	6.58367	6.98856	0.38466	0	0.00636	0.17643	0.1822	0	0.13826
Healthy	3.07898	8.76396	0.51579	5.3394	0.0593	0.01559	0.00271	0.35495		38.36526	3.07898	8.76396	2.03817	1.4567	0.01559	3.08044	0.0593	0	0.35495
Healthy	1.71238	3.69428	0	0.00402	0.1128	0	0	0.02838		80.84169	1.71238	3.69428	0	3.57301	0	0	0.1128	0	0.02838
Healthy	13.19326	6.67228	1.03495	0.00781	0.29588	0.75851	0.08429	0.37016		25.1195	13.19326	6.67228	0.01218	0.69873	0.75851	0	0.29588	22.5247	0.37016
Healthy	23.45088	1.67288	7.32767	0	0.03785	1.65013	0.08412	0		55.82578	23.45088	1.67288	0	0.01236	1.65013	1.90301	0.03785	1.47114	0
Healthy	12.8256	18.48604	0	1.88746	1.00364	0	0	0.05407		27.29133	12.8256	18.48604	0	1.26245	0	0.42914	1.00364	0	0.05407
Healthy	11.33591	3.19307	0.43276	0	0	0	0	0		78.2146	11.33591	3.19307	0	0	0	0	0	0	0
Healthy	17.3938	7.34323	0.07146	1.46273	0.42331	0.43462	0.00613	0.03475		64.69453	17.3938	7.34323	0	0	0.43462	0	0.42331	0	0.03475
