g	Blautia_A	Anaerostipes	Dorea	Intestinibacter	Eubacterium_G	Coprococcus_A	Haemophilus_D	Longicatena	Eggerthella	Rothia
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.360802472437482	-0.458246075017173	-1.09826930827078	-5	-5	-5	-1.32975414692588	-3.52287874528034	-2.14874165128092	-5
Healthy	-0.143669949666377	-0.886090056245962	-0.636952405478906	-0.695294101787234	-0.340882800034615	-0.79772970226271	-1.93779419118029	-1.4719836588108	-2.73518217699046	-1.87745647593125
Healthy	-5	-5	-5	-5	-1.45543590250396	-2.02779716162094	-5	-5	-5	-5
Healthy	-0.409514838665734	-0.620060277198084	-0.301029995663981	-0.963331189699903	-0.505024919516721	-0.406636387317002	-0.242892584398765	-2.55909091793478	-5	-2.99139982823808
Healthy	-5	-5	-5	-5	-1.19327749692382	-2.70774392864352	-5	-5	-5	-5
Healthy	0.356069858369681	-0.293427291128574	-0.22421485004422	-1.13978181533124	-0.406536706091997	-0.665164398473644	-0.596210528483812	-3.05060999335509	-5	-1.68193666503724
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-1.35892268667463	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-1.32348928971745	-5	-1.06565307326174	-5	-5	-5	-5	-5	-5	-5
Healthy	-1.18681946741399	-1.34141628459294	-2.39254497678533	-1.23574912456123	-1.00541891874011	-0.899284913426918	-5	-1.63582436722938	-3.22184874961636	-2.00744648216786
Healthy	-1.92372374459578	-1.7972393126068	-5	-5	-1.22533707746218	-5	-5	-5	-5	-5
Healthy	-1.15757799664235	-5	-0.427395559450797	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.988387270780576	-5	-5	-5	-5	-5	-1.37458464784559	-5	-5	-5
Healthy	-0.909741947068684	-1.24473510858775	-2.03105031901866	-2.5654310959658	-1.77494930386195	-5	-5	-1.04997609347667	-5	-3.431798275933
Healthy	-2.48148606012211	-5	-5	-5	-1.72723041344824	-5	-2.39469495385889	-5	-5	-5
Healthy	-0.610568102417803	-1.12807696811763	-0.293256621493264	-1.07417242537526	-1.36071277408976	-0.476643793345207	-2.99567862621736	-2.27572413039921	-5	-5
Healthy	-0.242960968256442	-0.772884917410875	-0.162980051459092	-1.07504911108439	-0.420959911599914	-0.927272310414734	-5	-5	-5	-5
Healthy	-0.298000525110363	-0.201950463842674	-1.27433333968582	-5	-0.431176623563189	-0.779133866687876	-5	-5	-5	-5
Healthy	-0.951830201233982	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.176499687860297	0.0183384357174672	-0.154052814321492	-2.21183162885883	-0.667723168103344	-0.449991908443365	-1.64054397987901	-5	-5	-5
Healthy	-1.1499054056133	-5	-0.440979617216688	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.180930098867832	-0.862266205246287	-0.395007585960244	-1.36491856398913	-1.01390037494487	-0.856922715826381	-0.451107165863582	-5	-5	-5
Healthy	-0.757458571701616	-1.32596599956874	-1.14224547794056	-1.49120103459609	-0.712220656960261	-1.11810202642699	-0.769423363731259	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-1.31524437789138	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-1.77031815768232	-5	-1.65501858607274	-5	-5	-2.01727661233145	-1.43687503966196	-5	-5	-5
Healthy	-0.442300355648786	-1.43004118190341	-0.861665717928981	-5	-5	-5	-5	-2.31247103878537	-1.90308998699194	-5
Healthy	-0.172307711325554	-1.25165689551245	-0.751732396465352	-0.476943230474559	-1.55972078676441	-1.2572748686953	-1.06717123309915	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.701415998566054	0.332777683087339	1.01644873641258	-0.210257162693356	-5	-0.055774032259276	-5	-0.944698135652559	-5	-5
Healthy	-0.854492828590337	-5	-1.46255871659205	-5	-5	-1.53224394875597	-1.21253952548158	-5	-5	-5
Healthy	-0.91360457287575	-5	-1.57170318601712	-5	-5	-1.42957382164103	-1.06368736633781	-5	-5	-5
Healthy	-2.01863449092146	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-2.31605286924849	-2.431798275933	-5	-2.10623823794206	-5	-0.09298118659319	-5	-5	-5
Healthy	-1.98046831546874	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-1.92481814538131	-5	-5	-5	-5	-1.21817284706757	-0.360035651359634	-0.712735874201023	-5	-5
Healthy	0.406516336160786	-0.422083305015898	-0.344429407450804	-5	-5	-0.643476997658173	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.845758669832702	-5	-1.5600360640791	-5	-5	-2.28735029837279	-0.99662564598025	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.820706794422626	-1.41987367458842	-0.960546221038263	-0.68729385440211	-0.723883010836456	-1.66695597017651	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-2.10679324694015	-5	-5
Healthy	-1.18177410638604	-0.696523146396117	-5	-5	-2.22257317761069	-0.96597347622489	-2.13727247168203	-5	-5	-5
Healthy	-0.948307358201963	-2.05799194697769	-1.61672334959235	-5	-5	-5	-5	-1.55611145322263	-5	-5
Healthy	-0.288901713097656	-5	-0.428698874433731	-5	-0.411974930367167	-0.972895134120649	-1.00528701456843	-5	-5	-5
Healthy	-0.637046541055714	-0.44802574939909	-0.878899970023693	-5	-1.51527319570134	-0.829210409553608	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-1.35812945452369	-5	-5	-5	-5	-5	-5	-2.25336580106242	-5	-5
Healthy	-0.451856362565154	-1.03404611089794	-1.10657115822045	-0.845941389623029	-0.187741919908713	-0.846642528517026	-5	-2.67985371388895	-2.38195190328791	-2.59345981956604
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
