group	Enterobacteriaceae	Streptococcaceae	Erysipelotrichaceae	Erysipelatoclostridiaceae	Coriobacteriaceae	Veillonellaceae	Lactobacillaceae	Eggerthellaceae	Micrococcaceae		Lachnospiraceae	Rikenellaceae	Bifidobacteriaceae	Dialisteraceae	Coriobacteriaceae	Erysipelotrichaceae	Pasteurellaceae	Lactobacillaceae	Peptostreptococcaceae	Eggerthellaceae
Healthy	2.0968	0	0	0	0	0	0	0	0		2.68635	11.04018	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0		32.47023	0.61666	10.94462	5.62249	0	0	0	0	0	0
Healthy	0.09698	0.01797	0.12328	1.22303	0.15766	0.00396	0.18466	0.00932	0		51.48479	5.54226	0.53641	0	0.15766	0.12328	0	0.18466	0	0.00932
Healthy	0.02507	0	0	0	0.09721	0.46112	0	0.15579	0		4.28305	16.91879	0.49856	0	0.09721	0	0	0	0	0.15579
Healthy	1.49435	0.34649	0	0	0	0	0	1.54102	0		38.09029	4.64923	0.40697	0	0	0	0	0	0	1.54102
Healthy	0	0.45334	0	0	1.31584	0	0	0	0		6.73804	0	25.6546	0	1.31584	0	0	0	0	0
Healthy	0	0	0.53907	0	0	0	0	0	0		12.91336	0.94071	0	0	0	0.53907	0	0	0	0
Healthy	0	0	0.1903	0	3.60873	0	0	0.08408	0		21.6924	9.92768	0.19456	0	3.60873	0.1903	0	0	0	0.08408
Healthy	55.0788	0.00532	0	0	0	0.03501	0.00233	0.0026	0.11153		0.0105	0	7.07153	0	0	0	0	0.00233	0.23549	0.0026
Healthy	0.57325	0	1.18442	0	0.78351	0	0	0	0		14.063	21.54638	10.5799	0	0.78351	1.18442	0	0	0	0
Healthy	0	0.7126	1.65472	0	0.41707	0.46493	0	0.00383	0.00583		41.68406	5.53874	0.58348	0	0.41707	1.65472	0.91179	0	4.42379	0.00383
Healthy	33.3132	0	0.73283	0	0.00433	0	0	0	0		11.91339	0.00185	0	0	0.00433	0.73283	0	0	0	0
Healthy	5.37164	0.02733	1.85933	0	0	0	0	0	0		26.02128	0.57648	0.13293	0	0	1.85933	0	0	0	0
Healthy	0	0.04903	0.06299	0.11073	0.64273	0	0	0	0		3.89694	13.58558	0.74931	0	0.64273	0.06299	0	0	0	0
Healthy	0	0.21686	0	0	0	0.0235	0.12587	0	0		57.26534	1.15881	0	0.36575	0	0	0.09139	0.12587	0	0
Healthy	1.15581	0	0	0	0	0.89971	0	0	0		2.30841	0	0.1845	10.166	0	0	0	0	0	0
Healthy	0.00483	0.0318	0.00331	0.02077	0.46959	0.00247	0	0.00709	0		64.4011	0.02801	0.0008	0.21431	0.46959	0.00331	0.0471	0	0	0.00709
Healthy	26.8642	1.27155	0.04376	0	0.8622	0.01516	0.24361	0.2489	0.01325		11.56562	6.75317	2.76523	0	0.8622	0.04376	0.01153	0.24361	0.20169	0.2489
Healthy	0	0	0	0.00174	0.1628	0	0	0	0		1.72941	25.16108	1.21132	0	0.1628	0	0	0	0	0
Healthy	0.18994	0.4968	0.00415	0	0.59158	0.13564	0	0.00141	0.00101		46.51861	1.43902	2.0393	0	0.59158	0.00415	0.57161	0	0.1088	0.00141
D065626	2.44624	0.64214	0.07416	0.0959	0	0.00915	0.02865	0.15953	0		14.35127	0.01186	3.00284	0	0	0.07416	0	0.02865	0	0.15953
