group	Faecalibacterium_sp900539885	Agathobacter_rectalis	Enterocloster_aldenensis	Bariatricus_comes	Blautia_A_wexlerae	Streptococcus_sp001556435	Dorea_formicigenerans	Eubacterium_G_ventriosum	Eubacterium_I_ramulus_A	Coprococcus_A_catus	Bacteroides_uniformis	Bacteroides_ovatus	Dialister_invisus	Sutterella_wadsworthensis_A	Odoribacter_splanchnicus	Bacteroides_intestinalis_A	Alistipes_A_indistinctus	Flavonifractor_plautii	Parasutterella_excrementihominis	Flavonifractor_sp000508885
Healthy	1.96391	1.42931	0.01556	0	0.01221	0	0	0	0	0	32.5786	2.47059	6.31044	0	0.99432	0	0.02679	0.06176	0.29889	0.08478
Healthy	2.60289	2.61541	1.87818	2.63735	4.10101	10.0181	0.67153	0.10945	0	0.27437	4.35016	1.28579	2.39552	0	0	0	0	0	0	0
Healthy	2.1367	9.44655	0.90362	0.675	0.32815	0.23352	0.33065	0	0.1239	0.03973	3.44916	9.80739	0	8.85718	0.59341	0	0.26567	0.00299	0.13187	0
Healthy	7.82754	5.78088	0.54207	0.44033	0.49612	0.37937	0.12583	0	0.0301	0.18657	4.18117	0.66629	1.6894	2.86579	1.76986	0	0	0.06442	0	0
Healthy	1.24235	2.08939	0	0	6.52547	0	6.43845	0	0	0.68618	0	0	0	0	0	0	0	0	0	0
Healthy	1.26741	2.91643	0.56853	0.49066	0.41621	0	0.23331	0	0.04128	0.13162	7.98509	0.61059	5.34705	0	0.74523	0.31115	0.01845	0	0	0
Healthy	1.01248	0.13168	0.03577	0.117	0.04333	0.00762	0.11938	0	0.05214	0.13904	0.9136	0.21401	0	0	0.78479	0.29232	0	0	0.04209	0.00454
Healthy	1.74819	0.21343	0.01801	0	0	0	0	0	0	0	16.3447	1.70469	0	5.92629	0.75776	0.77957	0.05469	0.00734	0.0276	0.01813
Healthy	2.03873	1.46116	0.06159	0	0.17257	0	0.09228	0	0	0	26.9061	2.37662	6.35013	0	0	0	0.1613	0.03695	0.12857	1.70662
Healthy	5.54289	1.11679	0.45183	0.11013	0.24782	0	0.03044	0.05468	0.00849	0.00219	8.5169	0.73264	0.22524	1.38231	2.31492	0	0	0.03175	0	0
Healthy	0.39347	1.40639	0.41483	1.31434	0.08257	0	0	0.06824	0	0	0.95685	0.19658	11.5958	0.29073	2.25825	0	0	0	0.00574	0
Healthy	8.98741	0.16418	0	0	0.00032	0.19984	0	0	0	0	0	18.9391	0	0.0035	0	0	0	0.00206	0	0.00315
Healthy	1.42962	0	0	0	0	0	0	0	0	0	1.32405	14.6482	0	0	0	0	0	0	0	0.04909
Healthy	0	0	0	0	0	0.04132	0	0	0	0	0.60075	0	0	0.77874	0	0.00489	0	0	0	0
Healthy	8.79006	9.55	0.51145	0.03547	0.04304	0.07404	0.55159	0.62766	0.05594	0	3.45058	1.18662	4.06746	0	0	0	0	0.05464	0.00678	0.07731
Healthy	2.05589	1.52905	0.17196	0.21954	0.35495	0.27614	0.67246	1.88165	0.34821	0.11583	4.27546	0.14823	0	0	0.58748	0	0.08978	0.01037	0.00396	0
Healthy	4.49347	3.94545	0.17365	0.23362	1.27903	0	0.08256	0	0	0.14645	8.91224	0.76564	0	1.16431	1.88591	0	0.05238	0.14019	0	0
Healthy	10.7971	8.8613	1.35614	0.55551	3.27826	1.614	0.79541	0.2451	0.36897	0.42211	3.73586	0.03081	1.29797	0	0	0	0	0	0	0
Healthy	3.96119	1.17275	0	0.0126	0	0	0	0	0	0	0	0.6236	0	0	0	0	0.18968	0.0164	0.10417	0
Healthy	3.6521	1.13915	0	0	0.04477	0	0	0	0	0	0.04347	0.0522	0	2.82169	0	0	0.04842	0.14537	0.35965	0
Healthy	3.4988	6.31094	0	1.5103	0.10729	0	0.04752	0	0.04297	0	14.179	0.00973	4.47702	0	0	0	0	0.04626	1.07698	0
Healthy	3.53311	1.17154	0	0	0.07662	0	0.07143	0	0.04087	0	0.01984	0.06144	0	2.57858	0.81242	0	0.06401	0.14807	0.433	0.02194
Healthy	10.4525	1.90229	2.29417	1.14601	0.74266	0.15412	0.95346	0.24224	0.31381	0.5526	0.82194	0.0209	0	0	0.24283	0.01192	0	0	0	0
Healthy	7.37689	16.1545	0	0.83439	0.48991	0.01696	0.25557	0	0.48222	0	5.36449	0.26167	0	0	0.35517	0.2265	0.02107	0.08083	0.14252	0.0101
Healthy	2.57906	0	0.4848	0.20356	0.07178	0.05818	0.2386	0.2877	0	0.10801	7.26804	0.07639	0	0	0	0	0.17847	0	0	0.13021
Healthy	8.32939	2.91926	0	0	0	0	0.03418	0	0	0	0.58447	0.0438	0	0	0	0	0.01862	0	0	0
D000236	0.97512	0.00275	0.30241	0.30521	0.29691	0.299	0.15994	0.29271	0.09237	0.04045	0.61238	0.0297	0.02942	0	0.41124	0.02577	0	0.0052	0	0
Healthy	13.1738	13.7678	2.97881	1.96539	0.91214	0.14557	0.55333	2.1911	0.10522	0.54139	1.23097	0.08089	0	0	0.3186	0	0	0.01003	0.04103	0
