group	Lachnospiraceae	Streptococcaceae	Coriobacteriaceae	Acidaminococcaceae	Lactobacillaceae	Erysipelatoclostridiaceae	Erysipelotrichaceae	Peptostreptococcaceae	Eggerthellaceae	Micrococcaceae	Bacteroidaceae	Acutalibacteraceae	Dialisteraceae	Methanobacteriaceae	Coriobacteriaceae	Acidaminococcaceae	Oscillospiraceae	Desulfovibrionaceae	Eggerthellaceae	Coprobacteraceae
D003924	15.22036	7.86515	1.30201	0.00307	0	0.43739	0.60106	1.39656	0.01587	0	9.09887	7.67875	0	0	1.30201	0.00307	8.3634	0	0.01587	0
Healthy	20.44622	0.34776	0.12154	0.00113	0.01283	0	0.14758	0	0.00714	0	33.16603	0.49975	1.21706	0	0.12154	0.00113	0.08577	0.10707	0.00714	0.07048
Healthy	11.94382	0.10367	0	0	0	0	0	0	0	0	51.54426	0.25985	0.62783	0	0	0	0.24252	0	0	0
Healthy	2.68635	0	0	0	0	0	0	0	0	0	36.08333	0	0	0	0	0	0.2224	0.03142	0	0
Healthy	32.47023	0	0	0	0	0	0	0	0	0	24.83972	6.32555	5.62249	0	0	0	0	0	0	0
Healthy	51.48479	0.01797	0.15766	1.31009	0.18466	1.22303	0.12328	0	0.00932	0	6.66863	1.73318	0	0.18576	0.15766	1.31009	0.10294	0.08154	0.00932	0
Healthy	4.28305	0	0.09721	0	0	0	0	0	0.15579	0	26.98137	0.12041	0	0	0.09721	0	0	0.55816	0.15579	0
Healthy	38.09029	0.34649	0	1.07483	0	0	0	0	1.54102	0	14.8924	10.8039	0	0.11191	0	1.07483	0	0	1.54102	0
Healthy	6.73804	0.45334	1.31584	0	0	0	0	0	0	0	0.35748	0	0	0	1.31584	0	0	0	0	0
Healthy	12.91336	0	0	0	0	0	0.53907	0	0	0	30.08327	0	0	0	0	0	0.26918	0	0	0
Healthy	21.6924	0	3.60873	0	0	0	0.1903	0	0.08408	0	9.97773	0.55688	0	0	3.60873	0	0.0678	0.19041	0.08408	0
Healthy	0.0105	0.00532	0	0	0.00233	0	0	0.23549	0.0026	0.11153	19.51684	0	0	0	0	0	0	0	0.0026	0
Healthy	14.063	0	0.78351	0.01608	0	0	1.18442	0	0	0	15.59111	0	0	0	0.78351	0.01608	2.41601	0	0	0.07552
Healthy	41.68406	0.7126	0.41707	0	0	0	1.65472	4.42379	0.00383	0.00583	20.84947	0.24502	0	0.20726	0.41707	0	0	0	0.00383	0
Healthy	11.91339	0	0.00433	0	0	0	0.73283	0	0	0	32.40716	1.96572	0	0	0.00433	0	0.04376	0	0	0.03296
Healthy	26.02128	0.02733	0	0	0	0	1.85933	0	0	0	34.49539	2.58388	0	2.44739	0	0	0	0	0	0
Healthy	3.89694	0.04903	0.64273	0	0	0.11073	0.06299	0	0	0	47.92944	1.49656	0	0.00825	0.64273	0	2.63969	1.21704	0	0
Healthy	57.26534	0.21686	0	0	0.12587	0	0	0	0	0	23.88824	0	0.36575	0.21268	0	0	0	0	0	0.04616
Healthy	2.30841	0	0	0	0	0	0	0	0	0	65.70584	0	10.166	0	0	0	0.00677	0	0	0
Healthy	64.4011	0.0318	0.46959	0.00015	0	0.02077	0.00331	0	0.00709	0	7.7264	0	0.21431	0	0.46959	0.00015	0.00176	0	0.00709	0
Healthy	11.56562	1.27155	0.8622	0	0.24361	0	0.04376	0.20169	0.2489	0.01325	14.2738	0.33886	0	0	0.8622	0	0.01155	0.0392	0.2489	0
Healthy	1.72941	0	0.1628	0	0	0.00174	0	0	0	0	43.115	2.00529	0	0	0.1628	0	0.03959	0.0151	0	0
Healthy	46.51861	0.4968	0.59158	0	0	0	0.00415	0.1088	0.00141	0.00101	24.94261	0.01538	0	0	0.59158	0	0.00501	0	0.00141	0.00196
Healthy	3.10588	0.05237	0.22282	0.87857	0	0	0.00808	0	0	0	53.20443	0	0	0	0.22282	0.87857	1.28496	0.33033	0	0.01366
Healthy	25.5392	8.13615	1.02795	0	0.00811	0.05317	0.07986	0.07247	0.01142	0.02079	19.65803	10.99563	0	0.79834	1.02795	0	0.01016	0.07805	0.01142	0.03313
Healthy	12.06107	0	0.90246	0	0	0	0	0	0.89561	0	11.22645	3.49728	0	0	0.90246	0	0	0	0.89561	0
Healthy	0.68422	0.03648	0.03568	0	0	0	0.03735	0	0	0	54.59408	0.10545	0	0	0.03568	0	2.80825	0.0016	0	0.33205
Healthy	18.72938	0	0.0603	0	0	0	0.06825	0	0.06162	0	19.53527	0.35928	0	0	0.0603	0	0.35053	0.40904	0.06162	0.10525
Healthy	5.48461	0.01927	0.58354	0	0	0	0.8809	0.0581	0.06985	0.00982	12.59282	3.61899	0	0.07517	0.58354	0	0.25382	0.18958	0.06985	0.03318
Healthy	1.21892	0.20842	0.13178	0	0	0	0.02311	0	0	0	85.53744	0.39264	3.56415	0	0.13178	0	0.13158	0.00253	0	0
Healthy	11.90134	0.07356	0	0	0	0.01034	0	0	0	0	44.79468	0.04091	0	0	0	0	0.45575	0.0383	0	0
Healthy	6.58367	0.00636	0.15204	0	0	0	0.02486	0	0.03016	0	32.48011	0.63795	0.35415	0.17643	0.15204	0	0.16672	0.13826	0.03016	0.40654
Healthy	3.07898	0.01463	0.00031	0	0.00096	0.15251	0.36328	0.00271	0.05899	0.00036	22.29547	2.62589	2.02896	3.08044	0.00031	0	0.06471	0.35495	0.05899	0
Healthy	1.71238	0	0.1128	0	0	0	0	0	0	0	50.05089	1.97063	0	0	0.1128	0	0.03207	0.02838	0	0
Healthy	13.19326	0.09888	0.29588	22.5247	0.65963	0	1.03495	0.08429	0	0	11.45445	0.0976	0	0	0.29588	22.5247	0.42658	0.37016	0	0.06417
Healthy	23.45088	1.60955	0.03785	1.47114	0.04058	1.99083	5.33684	0.08412	0	0	53.10742	0.66502	0	1.90301	0.03785	1.47114	0.00715	0	0	0
Healthy	12.8256	0	1.00364	0	0	0	0	0	0	0	21.86425	3.92368	0	0.42914	1.00364	0	0	0.05407	0	0.39662
Healthy	11.33591	0	0	0	0	0	0.43276	0	0	0	74.44349	0	0	0	0	0	0	0	0	0
Healthy	17.3938	0.40837	0.38453	0	0	0	0.07146	0.00613	0.03878	0	57.19175	0	0	0	0.38453	0	0	0.03475	0.03878	0
