group	Alistipes	Prevotella	Phascolarctobacterium	Phytobacter	Parasutterella	Alistipes_A	Paraprevotella	Bilophila	Coprobacter	Eggerthella	Bacteroides	Parabacteroides	Mediterraneibacter	Sutterella	Odoribacter	Flavonifractor	Alistipes_A	Clostridium_A	Parasutterella	Holdemania
Healthy	0.0135	0.0019	0	0	0	0	0	0	0	0	0.02396	0	0	0	0	0	0	0	0	0
Healthy	0.4766	0	0.00449	0.07817	0.00077	0.18727	1.17871	0.01655	0.30407	0	18.3019	1.24461	0.00077	0	1.41887	0.04191	0.18727	0.08105	0.00077	0
Healthy	0	0.0049	0	4.27323	0	0	0	0	0	7e-05	0.00717	0	0.71155	0	0	0.07233	0	0	0	0
Healthy	15.84035	0	0	0	0.01982	0.00788	4.62333	0.03927	0	0	8.70722	5.48968	0.14481	0	0	0.02147	0.00788	0	0.01982	0
Healthy	17.06665	0	0	0.04178	0.02873	0	0	0.20722	0	0	12.23413	5.2338	0.08284	0.03447	0	0.04991	0	0.9764	0.02873	0
D001528	31.94694	0.02712	9.94177	0.21828	0.25517	0.28545	0.3576	0.06726	0.05345	0	6.54989	0.62094	0.01418	0	0.5004	0.05382	0.28545	1.23548	0.25517	0.00081
Healthy	0.15948	0	0	78.7042	0.02799	0.04022	0	0	0	0	0.92068	0.02172	0.67689	0	0	0.05913	0.04022	0.05402	0.02799	0.0036
Healthy	2.28942	33.1072	3.1767	0.12255	0.25346	0.02595	0	0	0.00614	0	12.83802	8.26991	0.43428	0	0	0	0.02595	0	0.25346	0
Healthy	11.53825	0	0	0	0.19767	0.13634	0	0	0	0	29.93929	1.39305	0.18716	0	0	0.05422	0.13634	0.45379	0.19767	0
Healthy	0	0	0	0.36158	0.17411	0	0	0	0	0.01042	44.95971	0	0.00667	0	0	0.04607	0	0	0.17411	0
Healthy	0	0	0	0	0	0	0	0	0	0	48.7416	0	0.40699	0	0	0	0	0	0	0
Healthy	0	0	0	2.27843	0.04242	0	0	0	0	0	47.8383	0	0.03479	5.86197	0	0.1339	0	0.07771	0.04242	0
Healthy	0.03166	0.03605	0	18.6713	0	0	0	0	0	0	5.78663	22.9141	0.02677	5.67678	0	0	0	0	0	0
Healthy	0.23084	0	1.40591	0	0	0	0	0	0	0	4.75974	0	1.66588	0	0	0	0	0	0	0
Healthy	2.58597	0.00828	0	1.0251	0.37347	0	0	0.00203	0	0	37.59433	5.40089	0.72367	0	0	0.50529	0	0.12003	0.37347	0.04425
