group	Bacteroidota	Actinobacteriota	Proteobacteria		Bacteroidota	Firmicutes_A	Actinobacteriota	Proteobacteria	Firmicutes_C	Verrucomicrobiota	Firmicutes	Methanobacteriota	Desulfobacterota	
Healthy	26.51604	10.94462	0		26.51604	46.10202	10.94462	0	5.62249	0	0	0	0	
Healthy	14.1769	0.70339	0.72719		14.1769	69.4009	0.70339	0.72719	1.31405	0.09373	1.54894	0.18576	0.08154	
Healthy	58.04866	0.75156	0.53971		58.04866	8.75437	0.75156	0.53971	0.46112	8.71159	0	0	0.55816	
Healthy	22.14347	1.94799	1.72334		22.14347	59.24397	1.94799	1.72334	1.07483	0	0.34649	0.11191	0	
Healthy	0.35748	27.02805	0		0.35748	7.13458	27.02805	0	0	0	0.45334	0	0	
Healthy	80.38068	0	0		80.38068	14.65223	0	0	0	0	0.53907	0	0	
Healthy	20.33218	3.88737	0.00056		20.33218	47.61645	3.88737	0.00056	0	19.023	0.1903	0	0.19041	
Healthy	28.87276	7.18566	55.0788		28.87276	0.25032	7.18566	55.0788	0.03501	0.00039	0.02015	0	0	
Healthy	38.75978	11.36341	0.57325		38.75978	19.70734	11.36341	0.57325	0.01608	11.9695	1.18442	0	0	
Healthy	29.53286	1.01021	0.98133		29.53286	53.46463	1.01021	0.98133	0.46493	2.81759	2.36732	0.20726	0	
Healthy	33.23081	0.00433	35.06305		33.23081	15.15539	0.00433	35.06305	0	0	0.73283	0	0	
Healthy	41.87328	0.13293	7.37478		41.87328	30.2978	0.13293	7.37478	0	0.49181	1.88666	2.44739	0	
Healthy	69.54234	1.39204	2.99685		69.54234	10.91526	1.39204	2.99685	0	0	0.22275	0.00825	1.21704	
Healthy	28.72289	0	0.12406		28.72289	58.02649	0	0.12406	0.38925	0	0.34273	0.21268	0	
Healthy	65.70584	0.1845	1.15581		65.70584	2.41679	0.1845	1.15581	11.06571	0	0	0	0	
Healthy	7.75441	0.47748	0.05193		7.75441	78.95978	0.47748	0.05193	0.21693	0	0.05588	0	0	
Healthy	25.16801	3.89993	33.33013		25.16801	20.60257	3.89993	33.33013	0.01516	0.00032	1.55892	0	0.0392	
Healthy	75.927	1.37412	0.7445		75.927	5.56522	1.37412	0.7445	0	3.84496	0.00174	0	0.0151	
