group	Bacteroides_intestinalis_A	Bifidobacterium_pseudocatenulatum	Anaerotruncus_colihominis	Bacteroides_nordii	Enterocloster_asparagiformis	Enterocloster_citroniae	Gordonibacter_pamelaeae	Streptococcus_sp004166885	Rothia_sp001808955	Streptococcus_pseudopneumoniae_O	Alistipes_putredinis	Ruminococcus_H_sp003531055	Barnesiella_intestinihominis	Alistipes_shahii	Anaerobutyricum_hallii_A	Blautia_A_wexlerae	Enterocloster_sp900540675	Parasutterella_excrementihominis	Clostridium_Q_symbiosum	Flavonifractor_sp000508885
Healthy	3.54851	0.00857	0	0	0.00754	0	0	0	0	0	3.73852	0	2.78245	1.14853	0	0	0.01282	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.61109	0	0.03436	0.08548
Healthy	0	0	0	0	0	0	0	0	0	0	7.65419	0.48557	1.35632	0.6863	0.16832	0.32221	0	0.01433	0	0.01783
Healthy	0	0	0.00167	0	0.01847	0	0	0	0	0	0	0	0	0	0	0	0.43082	0.01751	0.40084	0.2382
Healthy	5.06393	0	0	0.06903	0	0	0	0	0	0	10.2713	0	3.09629	0.36488	0	0	0	0.34626	0.63302	0.12848
Healthy	0	0	0	0	0	0	0	0	0	0	0	6.32555	1.05966	0	0.82993	0.88487	0	0	0	0
Healthy	0.00078	0	0	0	0	0	0	0	0	0	3.53164	1.72462	0.15532	1.54262	0.1047	0.26133	0	0.00946	0	0
Healthy	0.21777	0.11554	0	0	0	0	0	0	0	0	13.3099	0.12041	1.08183	0.8739	0	0.01581	0	0	0	0
Healthy	0	0	0	0	0	0	0.12466	0.26262	0	0	3.3858	10.8039	1.28148	0.15618	0	0.83816	0	0	0	0
Healthy	0	3.567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0.09404	0	0.03615	0	0	0	0	0	0	0	0	0	0	0.02511	0.08853	0	0.15742	0
Healthy	0	0	0.01138	0.09507	0	0.00389	0.01123	0	0	0	2.87484	0	0	0.57108	0.03732	0.00858	1.26311	0.00056	0.00845	0.00188
Healthy	0.00174	0	0	0	0	0	0	0	0.11153	0.00287	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	16.1833	0	0	2.60049	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0.00583	0	4.07638	0.24502	1.3095	0.37331	0.26443	0.34818	0	0.06954	0	0
Healthy	0.08859	0	0	0	0	0	0	0	0	0	0	1.96572	0.78884	0.00185	0.17258	0.18999	0	0	0	0
Healthy	0	0	0	0.1509	0	0	0	0	0	0	0.45756	2.58388	0.42416	0.11892	2.54507	0.60366	0	0	0	0
Healthy	0	0	0	0.00416	0	0	0	0	0	0	1.38811	1.49656	1.96991	4.13013	0	0.02905	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	1.05779	0	1.05127	0.09746	0.60179	0.29519	0	0.00138	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02275	0	0	0.00677
Healthy	0	0	0	0	0	0	0	0.00512	0	0.00131	0	0	0	0	0.45317	0.4357	0	0	0.00971	0
Healthy	0	0.00829	0.02768	0	0.00636	0.03897	0.03839	0.00281	0.01325	0	1.83709	0	2.89475	3.79424	3.01429	0.71833	0.07235	0	0	0.00335
Healthy	2.70831	0	0	0.13995	0	0	0	0	0	0	14.0446	2.00529	0	2.84626	0.0073	0	0	0.01241	0	0
Healthy	0	0	0	0	0	0	0	0.02274	0.00101	0	1.33708	0.00421	0.52702	0.07732	0.19956	0.38947	0	0	0	0
Healthy	0.09364	0	0	0	0	0	0	0	0	0	4.20413	0	0.79806	2.15536	0	0	0	0	0	0
Healthy	3.38853	0.18531	0	0.02034	0.02662	0.00043	0	0.06246	0.02079	0.07114	2.087	10.9777	0.83378	0.51074	0.16639	2.27022	0.68928	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	3.49728	0	0	0	0	0	0	0	0
Healthy	0.70217	0	0.00576	0	0.10052	0	0	0	0	0	13.4273	0	2.03364	2.06868	0.01332	0.04375	0.16724	0.00305	0.03226	0.08555
Healthy	0	0	0	0	0	0	0	0	0	0	24.0145	0.35928	2.7135	4.36611	0.0201	0.04747	0	0.12849	0	0.01002
Healthy	0.17553	0	0	0.02596	0	0	0.04661	0	0.00982	0	17.6736	3.5316	4.25885	0.55483	0.39557	0.06503	0.01206	0.00271	0.02058	0.00194
Healthy	0	0	0.33789	0	0.07461	0	0	0	0	0	0	0	0	0	0.00928	0	0.05075	0.11966	0.44575	0.11087
Healthy	0	0	0	0	1.08534	0.18014	0	0	0	0	0	0	0	0	0	0	5.28459	0.07877	1.11267	0.43692
Healthy	3.88543	0	0.04265	0	0	0	0	0	0	0	8.75437	0.63795	5.56533	2.63969	0.04734	0.1027	0	0.00641	0	0.05089
Healthy	10.9763	0	0	0	0.0245	0.00865	0.01014	0	0.00036	0.0019	3.97945	2.58533	8.0343	1.8362	0.01762	0.11723	0.45484	0.01428	0.02463	0.00033
Healthy	2.5038	0	0	0.09425	0	0	0	0	0	0	13.1836	1.97063	0	2.65363	0.01828	0.00329	0	0.00873	0	0
Healthy	0	0	0	0	0	0	0	0.00564	0	0	0.08893	0	7.4203	0.73053	0.6216	0.24514	0	0.00842	0	0
Healthy	0	0	0	0.086	0	0	0	0.00084	0	0.00727	0.26913	0.66444	0.11893	0.05844	1.08564	0.57152	0	0.08336	0	0
Healthy	0	7.96084	0	0	0	0	0	0	0	0	2.31781	3.92368	0.59791	0	1.43622	0.50349	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	1.39526	0	0	0	0	0.11172	0	0	0	0
Healthy	0	0	0	1.02162	0	0	0	0	0	0	2.40728	0	1.35529	1.40719	0.97938	0.66603	0	0	0	0
Healthy	0	0	0	0	0.97154	0.16581	0	0	0	0	0	0	0	0	0	0	5.07721	0.06262	1.42773	0.34859
Healthy	0	0	0	0	0	0	0	0	0	0	0.51779	4.73477	1.7098	0	1.09596	0.65927	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	5.37961	0.61035	3.28842	0.32194	0.12368	0.17479	0	0	0	0
Healthy	0	0	0	0.01102	0	0	0	0	0	0	0.91551	0.90059	1.30868	2.12386	0	0	0.44717	0.0624	0	0.0389
Healthy	0.66	0	0.00373	0	0.12224	0	0	0	0	0	13.6652	0	2.0715	1.92212	0.00512	0.04838	0.16801	0.00294	0.049	0.05639
Healthy	0.00114	0	0	0.00259	0	0	0	0	0	0	3.09682	0	0	0.00722	0.01327	0.01696	0	0.04305	0	0
Healthy	0.05318	1.18713	0.03983	0	0	0	0.10311	0	0	0	11.3072	1.27973	0	3.89777	0.19987	0.36115	0	0.0078	0	0.00536
Healthy	0	0.16388	0	0	0	0	0	0	0	0	1.94826	5.29828	0.84195	0.32416	0.77112	0.67249	0	0.0461	0	0
Healthy	0	0	0	0	0.11042	0	0	0	0	0	14.9405	0	3.16073	0	0	0	0.96928	0	0.02063	1.1282
Healthy	5.20251	0	0	0.06128	0.01223	0	0	0	0	0	11.1449	0	3.2257	0.35145	0	0	0	0.38935	0.63739	0.12679
Healthy	0	0	0	0	0	0	0	0	0	0	2.81473	1.21739	1.6003	0.60714	0	0	0	0	0	0
Healthy	0.04245	0	0	0	0	0	0	0	0	0	0	0.08778	0	0	5.61766	2.3284	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	13.056	0	2.52544	4.1833	0	0.13979	0	0.177	0	0.01316
Healthy	0	0	0	0	0	0	0	0	0	0	13.333	0	2.66486	3.82038	0	0.122	0	0.21624	0	0
Healthy	0.1577	0	0	0	0	0	0	0	0	0	17.6234	0.70106	5.26648	3.03134	0	0.00957	0	0.03166	0	0.00455
Healthy	0	0.73847	0	0.18602	0	0	0	0	0	0	11.7794	1.82117	0	5.35846	0	0	0	0	0	0
