group	Enterobacteriaceae	Pseudomonadaceae	Moraxellaceae	Veillonellaceae	Staphylococcaceae	Actinomycetaceae		Bacteroidaceae	Lachnospiraceae	Rikenellaceae	Ruminococcaceae	Tannerellaceae	Acutalibacteraceae	Barnesiellaceae	Coriobacteriaceae	Oscillospiraceae	Desulfovibrionaceae
D007234	2.15718	0.01077	36.61486	0.02826	0.13451	0		0	0.00806	0	0	0	0	0	0	0	0
Healthy	0.0911	0.05797	0.36668	0	0	0		10.76303	38.42361	4.0178	2.67302	0.08661	0	4.13991	3.24867	0	0
Healthy	3.81252	0	0.06891	6.23289	0	0		0	35.15934	0	0	0	0	0	0	0.04332	0
Healthy	0.47522	0	0	1.20495	0	0		22.0643	22.27209	0	8.95456	0	0	0	0	0	0
D007234	17.04136	0.31451	59.1241	15.1142	0.03771	0		0.00529	0	0	0	0	0	0	0	0	0
Healthy	0.34649	0	0	0	0	0		15.46975	0.65685	21.39859	2.58941	6.13296	2.25608	2.14547	0.6914	1.13938	0.66408
Healthy	2.71161	0	0	0	0	0		15.45515	6.95679	2.14488	0.93829	0.56763	1.28553	0	2.27129	0	0
Healthy	0.07952	0	0	0.05662	0	0		58.28202	10.2726	0.92332	8.27035	3.67041	0	0	0	0.06439	0.06978
Healthy	0.08088	0	0	0	0	0		19.05947	6.52439	8.27981	0.71987	1.13924	5.52631	2.67909	1.0791	0.07299	0.00756
Healthy	0.03375	0	0.06946	0.0363	0	0.04405		14.09378	17.31738	0.57703	17.86356	1.44797	0.00231	3.83289	4.32512	0	0
Healthy	10.2181	0	0	0	0	0		9.11642	0.38881	1.20878	3.93808	2.9639	1.98079	0	1.19682	0.10104	0.45505
D007234	16.74888	0.96693	1.87322	8.20052	9.39466	0		0	0.04311	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0		53.17229	3.13409	9.70905	3.3535	1.02204	0	0.76415	0.28366	1.33726	0.33848
Healthy	0.06381	0	0	0	0	0		31.38157	8.78889	10.36282	17.47799	1.94101	0.07926	1.78582	0.7939	0.05911	0.00124
