group	Lachnospiraceae	Barnesiellaceae	Methanobacteriaceae	Coprobacteraceae		Lachnospiraceae	Bifidobacteriaceae	Tannerellaceae	Dialisteraceae	Barnesiellaceae	Erysipelotrichaceae	Pasteurellaceae	Lactobacillaceae	Peptostreptococcaceae	Coprobacteraceae
Healthy	23.11718	0.84195	0	0		23.11718	0.20582	1.85843	0	0.84195	0	0.08566	0	0.33346	0
Healthy	2.7656	3.16073	0	0		2.7656	0	0	0	3.16073	0	0	0	0	0
Healthy	2.56661	3.2257	0	0		2.56661	0	21.0303	0	3.2257	0	0	0	0	0
Healthy	2.54508	1.6003	0	0		2.54508	3.41848	0	0.31288	1.6003	0	0	0	0	0
Healthy	37.05151	0	1.04804	0		37.05151	0	0	0	0	11.72467	0	0	0.62159	0
Healthy	21.07635	2.52544	0	0.04974		21.07635	0	3.22163	0	2.52544	0.01058	0.06129	0	0	0.04974
Healthy	20.93701	2.66486	0	0.0581		20.93701	0	2.98893	0	2.66486	0.04521	0.08635	0	0	0.0581
Healthy	2.18098	5.26648	0	0		2.18098	0.018	0.67438	9.44246	5.26648	0	0	0	0	0
Healthy	7.5361	0	0	0		7.5361	0.73847	1.78027	0	0	0.07757	0.80726	0	0	0
Healthy	3.34133	0	0	0		3.34133	0.54376	4.62307	0.23887	0	0	0	0	0	0
Healthy	15.7248	0	0	0		15.7248	0	6.51448	0	0	0.19375	0.43647	0	0	0
Healthy	23.11447	1.09078	0	0		23.11447	0	0.99382	0	1.09078	0	0	0	0	0
Healthy	2.78405	0.11792	0	0		2.78405	0	3.93253	10.1396	0.11792	0	0	0	0	0
Healthy	21.6091	2.64309	0	0.04371		21.6091	0.00486	3.0601	0	2.64309	0.02511	0.10077	0	0	0.04371
Healthy	3.97071	2.63282	0	0		3.97071	0.21558	9.01211	0	2.63282	0.02595	0	0	0	0
Healthy	18.07872	4.17797	0	0.02128		18.07872	0.27018	2.63381	0	4.17797	0	0	0	0.20544	0.02128
Healthy	0.41292	6.67597	0	0.04795		0.41292	1.51004	5.71119	0	6.67597	0.00781	0	0	0	0.04795
Healthy	2.80028	0	0.54418	0.09757		2.80028	0	1.0832	0	0	0	0.00728	0	0	0.09757
Healthy	0.61733	2.06633	0	0.1186		0.61733	1.07843	6.18621	3.0011	2.06633	0.52419	0	0	0	0.1186
Healthy	36.3664	0	0	0.14676		36.3664	0	2.13065	9.76822	0	0.05298	0.09878	0.00431	0	0.14676
Healthy	15.4323	0.08498	0.24888	0.07789		15.4323	0	1.25209	0	0.08498	0	0	0	0	0.07789
Healthy	68.2424	0	0	0		68.2424	0	0	0	0	0	0	0	0	0
Healthy	4.86264	5.73988	0.94585	0.01692		4.86264	3.76883	4.24578	7.59676	5.73988	0.00557	0	0	0	0.01692
Healthy	15.08881	2.38989	0	0		15.08881	3.91668	2.27296	8.38445	2.38989	0.03077	0	0.01273	0.14257	0
Healthy	2.09841	0	0	0		2.09841	0.15458	0	9.72934	0	0	0	0	0	0
Healthy	14.92776	0.88332	0	0.25881		14.92776	0.08497	5.32368	0	0.88332	0.02119	0.00574	0	0	0.25881
Healthy	15.56181	4.27036	0	0		15.56181	0	10.2879	0	4.27036	0.00749	0	0	0	0
Healthy	33.07218	8.19785	0	0		33.07218	1.55761	3.41904	0	8.19785	1.48201	0.00188	0	0.0005	0
Healthy	7.50789	0	0	0		7.50789	0.84066	1.84855	0	0	0.06644	0.7776	0	0	0
Healthy	22.98317	5.33909	0	0		22.98317	0.90259	5.70024	0	5.33909	0.18432	0	0	0.02075	0
Healthy	43.47845	0	0.64383	0		43.47845	0	0.36754	0	0	2.67906	0	0	0	0
Healthy	10.37783	0.12952	0	0.01339		10.37783	0.2343	3.33296	0	0.12952	0.06627	0.32129	0	0.15627	0.01339
