group	Dialisteraceae	Streptococcaceae	Peptostreptococcaceae	Oscillospiraceae	Eggerthellaceae	Coprobacteraceae	Lactobacillaceae		Bacteroidaceae	Lachnospiraceae	Ruminococcaceae	Acutalibacteraceae	Akkermansiaceae	Burkholderiaceae	Methanobacteriaceae	Coriobacteriaceae	Acidaminococcaceae	Eggerthellaceae
Healthy	0	0	0	0	0	0	0		74.44349	11.33591	3.19307	0	0	0	0	0	0	0
Healthy	0	0.40837	0.00613	0	0.03878	0	0		57.19175	17.3938	7.34323	0	0	0.56976	0	0.38453	0	0.03878
Healthy	0	0.09803	0	0.38809	0	0	0		45.86257	11.91696	0	0.04359	0	0.06262	0	0	0	0
Healthy	6.64189	0.6513	0.04315	0	0	0	0.10779		38.96143	28.14546	0.89433	4.73477	0.6796	0	0.18105	0	0	0
Healthy	0	0.03125	0.03226	0.00902	0	0	0		20.94759	20.27504	5.39454	0.62418	0	1.2693	0	0.27859	0.26395	0
Healthy	0	0	0	0.39467	0	0	0		54.4671	1.00013	3.87322	0.97464	0	0.0624	0.02876	0.14886	0	0
Healthy	0	0.02956	0	3.05171	0	0.35714	0		53.70168	0.6717	5.245	0.12658	0	0.07281	0	0.05215	0	0
Healthy	0	0.0161	0	0.01881	0	0	0		54.5035	19.14931	7.53495	0.00883	0.6598	0.05142	0	0	0	0
Healthy	0	0.29615	0	0.1802	0.4103	0	0		33.53274	6.12314	4.2281	1.40431	0	0.0078	0.1953	1.20806	0	0.4103
Healthy	0	0.31688	0.33346	0	0.01596	0	0		48.96534	23.11718	4.86217	5.29828	0	0.0461	0	0.06525	0	0.01596
Healthy	0	0.02025	0	1.1756	0	0	0		24.02211	2.7656	0.76327	0.13817	0	0.11856	0	0.06576	0	0
Healthy	0	0	0	0.22674	0	0	0		36.38684	2.56661	0.593	0	0	0.38935	0	0	0	0
Healthy	0.31288	0	0	0	0	0	0		17.55872	2.54508	6.6158	1.21739	0	0	0	0	0	0
Healthy	0	0.56117	0.62159	0	0	0	0		19.20653	37.05151	21.07326	0.08778	0	0	1.04804	2.23707	1.78486	0
Healthy	0	0.08341	0	0.1671	0.12817	0.04974	0		33.96172	21.07635	3.72164	0	0	5.13042	0	0.03354	0	0.12817
Healthy	0	0.05612	0	0.14851	0.17511	0.0581	0		34.33413	20.93701	3.71931	0	0	5.22325	0	0.021	0	0.17511
Healthy	9.44246	0	0	0.04175	0	0	0		31.31901	2.18098	0.60032	0.70106	0.79293	1.43392	0	0.02368	0	0
Healthy	0	0.47816	0	0.07574	0	0	0		39.69588	7.5361	4.55113	1.82117	5.96611	2.31024	0	0	0.26823	0
Healthy	0.23887	0	0	0.00191	0	0	0		45.83419	3.34133	2.18043	0.40013	0.05654	2.72043	0	0.00925	0	0
Healthy	0	9.5205	0	0.00369	0	0	0		30.36264	15.7248	0	0	0	0	0	0	0	0
Healthy	0	0.58813	0	0	0	0	0		6.18765	23.11447	20.0078	27.1605	0	0.18887	0	1.21596	0	0
Healthy	10.1396	0	0	0	0	0	0		67.43067	2.78405	0.86856	0	0	0	0	0	0	0
Healthy	0	0.06844	0	0.14699	0.13351	0.04371	0		36.04502	21.6091	3.68432	0	0	5.04198	0	0	0	0.13351
Healthy	0	0.09177	0	0.99271	0	0	0		73.39272	3.97071	2.44274	0.14612	0	0.06696	0	0	0	0
