group	Bacteroidia	Gammaproteobacteria	Desulfovibrionia		Bacteroidia	Clostridia	Actinomycetia	Gammaproteobacteria	Negativicutes	Verrucomicrobiae	Bacilli	Methanobacteria	Coriobacteriia	Desulfovibrionia
Healthy	50.72942	0.14916	0.97352		50.72942	7.17953	1.51004	0.14916	0	12.3504	0.00781	0	0.13067	0.97352
Healthy	65.12554	11.30199	0.06167		65.12554	9.58365	0	11.30199	0.29827	5.12023	0	0.54418	0	0.06167
Healthy	45.519	0.50545	0.65801		45.519	6.585	1.07843	0.50545	3.06797	0.14545	0.60805	0	0.76566	0.65801
Healthy	38.42566	0.16798	0.06499		38.42566	38.41428	0	0.16798	9.7945	0	0.52997	0	0	0.06499
Healthy	57.43447	6.45037	0.05635		57.43447	24.69864	0	6.45037	1.68323	1.67518	0.01933	0.24888	0	0.05635
Healthy	25.9085	0	0		25.9085	74.09152	0	0	0	0	0	0	0	0
Healthy	60.72875	0.31618	0.37818		60.72875	10.21693	3.76883	0.31618	7.60652	0.87803	0.1473	0.94585	0	0.37818
Healthy	39.65412	0.86213	0.24869		39.65412	33.94672	3.91922	0.86213	10.00857	0	0.32918	0	0.70297	0.24869
Healthy	68.11255	0.77609	0		68.11255	2.18556	0.15458	0.77609	10.51246	0	0	0	0	0
Healthy	51.31828	0.23275	0.24608		51.31828	35.94869	0.08497	0.23275	0.00199	0.00032	0.06123	0	0.16427	0.24608
Healthy	61.18119	0.03347	0		61.18119	24.05884	0	0.03347	0	0	0.04515	0	0	0
Healthy	26.18248	2.13931	0		26.18248	44.31122	1.55761	2.13931	3.84904	1.83282	1.51245	0	0.48756	0
Healthy	60.2623	3.11694	0		60.2623	13.84086	0.84066	3.11694	0.34639	5.82674	0.42758	0	0	0
Healthy	60.18214	2.40753	0		60.18214	28.15127	0.90259	2.40753	0	0	0.18432	0	0.60333	0
Healthy	11.533	0	0		11.533	58.24151	0	0	0.13631	0	7.68274	0.64383	0	0
Healthy	42.72847	0.38855	0		42.72847	38.30841	0.2343	0.38855	0.03605	0	0.06627	0	0.00539	0
Healthy	74.81172	0.10798	0.01841		74.81172	9.83535	0.21185	0.10798	0	0	0.27666	0	3.05251	0.01841
Healthy	13.58487	10.57963	0.71462		13.58487	7.13475	0.02114	10.57963	2.79994	43.4724	0.13948	0	1.49991	0.71462
Healthy	71.38515	2.92244	0.01487		71.38515	10.51281	0.58646	2.92244	0.03338	0.03469	0.00218	0	0.04025	0.01487
Healthy	28.00834	0.22162	0		28.00834	54.55004	0.08384	0.22162	2.57515	0	4.25925	0	0.12091	0
Healthy	44.18307	0.66783	0.00464		44.18307	40.72084	4.09377	0.66783	0.05867	0	0.81475	0	0.14055	0.00464
Healthy	33.10014	0.78459	0.08871		33.10014	38.36376	1.70394	0.78459	2.65775	0.63493	7.38281	0.68638	0.27317	0.08871
D014607	69.61163	6.99867	0.039		69.61163	16.42731	0.02214	6.99867	0.42809	0	0.00669	0	0.04861	0.039
Healthy	85.82224	0.64721	0		85.82224	10.06503	1.23569	0.64721	0.35834	0.03989	0.51968	0	0.07765	0
Healthy	33.90315	0.47933	0.00376		33.90315	55.60858	1.73892	0.47933	0.04909	0	0.2306	0	0.19543	0.00376
Healthy	70.51977	0.83322	0.0186		70.51977	16.2861	0	0.83322	3.62986	0.04755	2.01783	0	0.10602	0.0186
Healthy	62.9367	2.23462	0		62.9367	17.06275	0.11896	2.23462	12.7095	0.89222	0.03051	0	0.04102	0
Healthy	33.13465	0.03779	0		33.13465	35.13694	0	0.03779	0.28143	0.00828	1.6906	0.65232	0	0
Healthy	43.91144	4.22613	0		43.91144	33.36806	0	4.22613	1.07713	0	0.29654	0	0.0029	0
