g	Streptococcus	Ruminococcus_C	Clostridium_A	Muricomes	Anaerotruncus	Bilophila	Adlercreutzia	Gordonibacter	Eggerthella	Rothia	Dialister	Methanobrevibacter_A	Sutterella	Phascolarctobacterium	Desulfovibrio
Healthy	-5	-5	-5	-1.16071054399385	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-0.753476800033426	-5	-5	-1.497163361379	-5	-5	-5	-5	-5	-5	-0.945885099489414	-5	-5
Healthy	-0.601625913848644	-5	-5	-5	-5	-1.94846160948467	-5	-5	-5	-5	1.17950037362933	-5	-0.578708746081139	-5	-5
Healthy	-5	-0.543861803449709	-2.62708799702989	-5	-5	-0.677801386448108	-2.21968268785985	-5	-5	-5	-5	-5	-0.287501822878101	-5	-5
Healthy	-2.35457773065091	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.537612598757124	-5	-0.930516906065389	-5	-5
Healthy	-2.2572748686953	-5	-5	-5	-5	-1.31659270086791	-2.64397414280688	-5	-5	-5	0.459641231058366	-1.26833066817136	-5	-5	-1.57511836336893
Healthy	-1.32661042181169	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.185063118628386	-5	-5
Healthy	-1.33217362104929	-0.716879765040226	-5	-5	-5	-1.24703013497092	-5	-2.45717457304082	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.3360492617342	-5	-1.12193801870999	-5	-5	-1.75870261289001	-1.45792185366437	-5	-5	-5	-5	-5	-0.335480245715309	-5	-5
Healthy	-5	-5	-5	-1.77884667804529	-5	-5	-5	-5	-5	-5	-5	0.571418817232743	-5	0.918528335883243	-1.8153085691824
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-1.36632959394856	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-1.09371884422785	-0.0641250998316844	-0.639520191828058
Healthy	-5	-5	-5	-5	-5	0.176233105419458	-5	-5	-5	-5	-5	-1.01282549891246	-5	-1.16723569505947	-5
Healthy	-0.0352172681616929	-5	-5	-5	-5	-5	-1.01995115493504	-5	-5	-5	-0.702108235845345	-5	-5	-5	-5
Healthy	-0.808381336630531	-5	-0.0049662149992811	-2.22767829327708	-0.77090717054401	-2.44855000202712	-0.389957655560592	-1.07443009045662	-2.65560772631489	-5	-5	-5	-1.61510920346945	-5	-5
Healthy	-0.419154823292314	-1.56336036830734	-5	-1.2099260515737	-5	-2.06600683616876	-0.809864479122969	-1.81050968630063	-1.79290445958078	-3.46852108295774	-5	0.209906239476122	0.248137629211972	0.0897885777744039	-5
Healthy	-5	-5	-1.817870785947	-5	-5	-5	-1.72010501998836	-5	-5	-5	-5	-5	-5	-5	-5
