c	Clostridia	Actinomycetia	Coriobacteriia	Bacilli	Verrucomicrobiae	Bacteroidia	Gammaproteobacteria	Desulfovibrionia
Healthy	0.938137297650076	-0.918760739088303	-1.44745345204434	-1.13170831198214	-5	1.89530517121279	-0.785076715105102	-2.79317412396815
Healthy	1.36596264140317	-5	-0.91388942619868	-1.16583371605738	-5	1.81245075376518	0.0307534989344725	-0.388223603002689
Healthy	1.09462169057043	0.845592234018708	-0.184820869860581	0.0255802854362789	-0.458782819002195	1.59146586560344	1.17143946128151	-0.722184573429135
Healthy	0.405878868331657	-5	-0.880117542015017	-0.63537397104496	-5	1.94824376338362	-0.295652121429059	-2.59516628338006
Healthy	1.0933519823094	-5	-5	-1.07618627890881	-5	1.902603793708	0.474740598479892	-1.41668784801692
Healthy	1.13265153073686	-0.244010871341215	-0.739427791876507	-1.5054280157698	-5	1.80714744013724	0.184029550144605	-0.859272037155817
Healthy	1.07610425239176	-1.92811799269387	-1.22687207596667	-0.274586622650022	0.163373101574077	1.58393825894487	0.734362115377894	-0.449820584291501
Healthy	0.732929862907847	0.0282580248289713	-0.947652400775336	-5	0.553035447175104	1.90763543760992	-0.151023091657112	-1.54683460747414
Healthy	1.29993941694529	0.196863987186564	-0.528869712156724	0.256277457032671	-0.15568439445564	1.40001116347393	-0.049839682214073	-0.4315987810515
Healthy	1.40153649503355	-5	-1.42181939037222	0.953170410062659	-1.90763030037088	1.7468348775601	-1.07899019850297	-5
D009765	1.29235687801803	-5	-5	-5	-5	1.85751866028436	-5	-5
Healthy	1.49570595381986	1.46381224150908	0.00158228893511219	-5	0.101217626747548	1.43602485997618	0.514394992263783	-1.26696331706642
Healthy	1.16768706622592	-5	-5	-0.363742852536496	-5	1.89328788413065	-5	-5
D009765	1.41025829995939	0.93334199254877	0.687758978271616	-5	1.24890244700984	1.47676513203844	-0.146253130503546	-5
Healthy	1.39345533900023	0.0485156040340487	-0.37333121254548	-0.295772243975001	-5	1.81086762923236	0.308030554266106	-1.45892023222337
Healthy	1.09161948151491	-5	-5	-0.997488368715092	-5	1.90097133349062	0.448853120627996	-1.33629907461035
Healthy	1.52914432399509	-1.24519314464558	-5	-0.119701008574247	-0.167740239407366	1.67173058524069	-0.451107165863582	-5
Healthy	1.42053414725031	-0.295429124810496	-0.555018887912055	-0.682103733507044	-5	1.52251334995078	0.180561672034769	-5
Healthy	0.795370377864658	-0.939528807202321	-0.827192811630913	-0.247436853219887	-5	1.84248723314806	-1.20474581741912	0.217452358012074
Healthy	0.958802703399502	-1.01700554534134	-1.28266241727614	-1.26865302445405	-5	1.89035561818262	-0.940058111938045	-2.80966830182971
D009765	1.68051590308965	1.28122273292226	1.01516478217683	0.973405897850461	-5	0.324702139058163	-5	-5
Healthy	1.42670494278751	-2.30189945437661	-5	-1.79290445958078	-0.180581106626522	1.79020259096065	-0.407689975744221	-5
Healthy	1.07685007757803	1.08420223045863	0.209077819246674	-0.521404648588605	-5	1.75068639596413	-0.85390298646413	-0.95436412892178
Healthy	1.52648272598072	-0.686491325953927	-1.09033701484598	-0.499091465490491	-5	1.73645698054468	-0.470377181866557	-5
Healthy	0.685083081773877	-5	-1.18197215814074	-1.69336055897574	-5	1.63656221152152	-0.926025180133341	-1.48678239993206
Healthy	0.529733125569346	-5	-5	-5	-5	1.86071421216417	0.421390017067081	-1.28567024025477
D009765	1.73322110649672	1.00267006934739	0.17194866198608	0.203728941627342	-0.463593081933782	1.27274154422044	0.113970077298809	-5
