group	Prevotella	Phytobacter	Ruminococcus_B	Streptococcus	Veillonella	Parasutterella	Faecalimonas	Muricomes	Longicatena	Rothia	Prevotella	Enterocloster	Phascolarctobacterium	Anaerostipes	Haemophilus_D	Flavonifractor	Intestinibacter	Parasutterella	Clostridium_Q	Gordonibacter
Healthy	0	2.0968	0	0	0	0.34626	0	0	0	0	0	1.99695	0	0	0	0.2224	0	0.34626	0.63302	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0.07968	0	0.14314	0	0	0	0	0	0
Healthy	0	0.09698	0	0.01797	0.00396	0.00946	0	0	0	0	0	0.36575	1.31009	0.0218	0	0.07061	0	0.00946	0	0
Healthy	0	0.02507	0	0	0.46112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	1.49435	0	0.34649	0	0	0	0	0	0	0	2.0934	1.07483	0	0	0	0	0	0	0.12466
Healthy	0	0	6.73804	0.45334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0.05485	0	0	0	0	0.03884	0	0	0	0.14842	0	0.04991	0	0.01016	0	0	0.15742	0
Healthy	0	0	0.03057	0	0	0.00056	0	0.00592	0.00069	0	0	1.267	0	0.00606	0	0.03172	0	0.00056	0.00845	0.01123
Healthy	0	55.0788	0.0105	0.00532	0.03501	0	0	0	0	0.11153	0	0	0	0	0	0	0	0	0	0
Healthy	2.12059	0.57325	0	0	0	0	0	0	0	0	2.12059	1.22495	0	0	0	0	0	0	0	0
Healthy	6.79792	0	0	0.7126	0.46493	0.06954	0.71715	0	0	0.00583	6.79792	5.10983	0	1.0676	0.91179	0	4.42379	0.06954	0	0
Healthy	0	33.3132	0	0	0	0	0	0	0	0	0	0.4649	0	0.10545	0	0.04376	0	0	0	0
Healthy	0	5.37164	0	0.02733	0	0	0	0.35918	0	0	0	0.27615	0	0.32253	0	0	0	0	0	0
Healthy	31.28285	0	0	0.04903	0	0	0	0	0	0	31.28285	0.6479	0	0	0	0.09056	0	0	0	0
Healthy	0	0	0	0.21686	0.0235	0.00138	0	0	0	0	0	0.33257	0	0.25544	0.09139	0	0	0.00138	0	0
Healthy	0	1.15581	0.27628	0	0.89971	0	0	0	0	0	0	0.02275	0	0	0	0.00677	0	0	0	0
D014376	0.13215	0.01187	1.36273	3.19774	0.19774	0	0.39177	0	0	0	0.13215	0	0	0	0	0	0.10787	0	0	0
Healthy	0.0586	0.00483	0.00977	0.02978	0.00247	0	0.00102	0	0.00029	0	0.0586	0.44734	0.00015	0.34813	0.04679	0.00013	0	0	0.00971	0
Healthy	0	26.8642	0.02066	1.2578	0.01516	0	0	0.0216	0.03372	0.01325	0	0.25967	0	0.12998	0.01153	0.01155	0.20169	0	0	0.03839
Healthy	0	0	0	0	0	0.01241	0	0	0	0	0	0.0491	0	0	0	0.00971	0	0.01241	0	0
Healthy	21.8334	0.18994	0	0.4968	0.13564	0	0	0	0.00275	0.00101	21.8334	2.00065	0	0.23984	0.57161	0.00501	0.1088	0	0	0
Healthy	45.2425	0	0	0.05237	0	0	0	0	0	0	45.2425	0.05866	0.87857	0	0	1.28496	0	0	0	0
Healthy	0	1.82775	0.27636	8.13615	0.2242	0	0.06483	0.01164	0.00088	0.02079	0	2.04222	0	0.50882	0.25338	0.01016	0.07247	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0.09832	0.08189	0.03648	0	0.00305	0	0	0	0	0	0.4271	0	0	0	0.17711	0	0.00305	0.03226	0
Healthy	0	0	0	0	0	0.12849	0	0	0	0	0	0	0	0	0	0.16664	0	0.12849	0	0
Healthy	0.00981	9.34072	0.00957	0.01927	0.00044	0.00271	0.01255	0.04988	0.02312	0.00982	0.00981	1.15285	0	0.04555	0	0.02287	0.0581	0.00271	0.02058	0.04661
Healthy	0	0.38656	0.00801	0.20842	0.02526	0.11966	0	0	0	0	0	0.12766	0	0.01594	0	0.13158	0	0.11966	0.44575	0
Healthy	0	2.74432	0.02072	0.07356	0	0.07877	0.05621	0	0	0	0	8.90162	0	0	0	0.45575	0	0.07877	1.11267	0
Healthy	0	0.09232	0	0.00636	0.03051	0.00641	0	0	0	0	0	0	0	0	0.0422	0.16672	0	0.00641	0	0
Healthy	0.00378	5.3394	0.00157	0.01463	0.00921	0.01428	0.89341	0.10218	0.08912	0.00036	0.00378	0.70583	0	0.05691	0	0.02925	0.00271	0.01428	0.02463	0.01014
Healthy	0	0	0	0	0	0.00873	0	0	0	0	0	0.05462	0	0	0.00402	0.00901	0	0.00873	0	0
Healthy	5.62755	0.00681	0	0.09888	0.01218	0.00842	0	0	0.00529	0	5.62755	0.87992	22.5247	0.07445	0.001	0.05635	0.08429	0.00842	0	0
Healthy	26.4025	0	0.037	1.60955	0	0.08336	0	0	0	0	26.4025	0.72787	1.47114	0.16869	0	0.00715	0.08412	0.08336	0	0
Healthy	0	1.88746	0	0	0	0	0	0	0	0	0	0.04296	0	0.62812	0	0	0	0	0	0
Healthy	64.6746	0	0	0	0	0	0	0	0	0	64.6746	0.10527	0	0	0	0	0	0	0	0
Healthy	19.2902	0	0	0	0	0	0	0	0	0	19.2902	0.17693	0	1.04312	0.02287	0	0.00613	0	0	0
Healthy	0	2.54476	0.02249	0.09803	0	0.06262	0.05726	0	0	0	0	8.3973	0	0	0	0.38809	0	0.06262	1.42773	0
D014376	39.7403	12.1126	0	0	0	0.00124	0.00125	0.00759	0	0.00587	39.7403	0.53182	0	0	0	0.04251	0	0.00124	0	0
Healthy	0	0	0	0.6513	0.08778	0	0	0	0	0	0	0.20308	0	0.13731	0.3539	0	0.04315	0	0	0
Healthy	0	0.02159	0	0.03125	0.01651	0	0	0	0	0	0	0.26895	0	0.0472	0.17004	0.00902	0.03226	0	0	0
Healthy	33.229	0	0	0	0	0.0624	0	0	0	0	33.229	0.65803	0	0	0	0.37301	0	0.0624	0	0
Healthy	0	0.04198	0.08768	0.02956	0	0.00294	0	0	0	0	0	0.39428	0	0	0	0.13614	0	0.00294	0.049	0
Healthy	1.63861	0	0	0	0.0072	0.04305	0	0	0	0	1.63861	0.02566	0	0	0.03656	0.00925	0	0.04305	0	0
Healthy	0	0.13218	0.02744	0.29615	0.00213	0.0078	0	0	0.00486	0	0	0.87453	0	0.03714	0	0.17474	0	0.0078	0	0.10311
Healthy	0.02165	0.20678	0.03811	0.31688	0.0216	0.0461	0	0	0	0	0.02165	0.11748	0	0.05601	0.08566	0	0.33346	0.0461	0	0
Healthy	0	0	0	0.02025	0	0	0	0	0	0	0	1.0797	0	0	0	1.1756	0	0	0.02063	0
Healthy	0	2.24934	0	0	0	0.38935	0	0	0	0	0	1.84129	0	0	0	0.22674	0	0.38935	0.63739	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	19.16408	0.92595	0	0.56117	0.06109	0	0	0	0.11357	0	19.16408	1.47994	1.78486	2.15167	0	0	0.61622	0	0	0
Healthy	0	0	0	0.08341	0.00798	0.177	0	0	0	0	0	0	0	0	0.06129	0.10112	0	0.177	0	0
Healthy	0	0	0	0.05612	0	0.21624	0	0	0	0	0	0	0	0	0.08635	0.10696	0	0.21624	0	0
Healthy	0	6.53906	0	0	0	0.03166	0	0	0	0	0	0	0	0	0	0.02395	0	0.03166	0	0
Healthy	0	0	0	0.43878	0.15883	0	0	0	0	0	0	0.0024	0.26823	0.00482	0.80726	0.07574	0	0	0	0
Healthy	0	0	0	0	0	0.00178	0	0	0	0	0	0.00678	0	0	0	0.00191	0	0.00178	0	0
Healthy	0	2.25779	0.9565	9.16246	0.56786	0	0.95033	0	0.19375	0	0	4.8671	0	0	0.43647	0.00369	0	0	1.83388	0
Healthy	2.47081	0	0	0.36728	0	0	0	0	0	0	2.47081	0.55029	0	0.37836	0	0	0	0	0	0
Healthy	46.9053	0	0	0	0	0	0	0	0	0	46.9053	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0.06844	0.00816	0.21496	0	0	0	0	0	0	0	0	0.10077	0.09378	0	0.21496	0	0
Healthy	0	0.48396	0	0.09177	0	0.06696	0	0.10729	0	0	0	2.45195	0	0	0	0.63022	0	0.06696	0.15708	0
Healthy	0	0	0	0.06962	0.21553	0	0	0	0	0	0	0.01355	0	0.03802	0	0.07683	0.20544	0	0	0
