group	Bacteroidales	Enterobacterales	Lactobacillales	Pseudomonadales	Erysipelotrichales	Desulfovibrionales	Peptostreptococcales		Bacteroidales	Oscillospirales	Actinomycetales	Veillonellales	Verrucomicrobiales	Burkholderiales	Methanobacteriales	Erysipelotrichales	Coriobacteriales	Peptostreptococcales
Healthy	64.13532	0	0	0	0.07771	0.33779	0		64.13532	4.00816	0	0	0	3.01158	0	0.07771	0.06704	0
Healthy	14.14777	0.01484	0.07801	0.11321	0.40002	0.04101	0		14.14777	16.72682	0	0	1.18295	0.16203	0	0.40002	0.3515	0
Healthy	18.69823	0.04559	2.10095	0.03056	16.44743	0	0.41789		18.69823	21.95867	1.29975	0	0.00566	0	0	16.44743	1.55705	0.41789
Healthy	76.52103	1.37665	0.06404	0	0	0.04377	0.0709		76.52103	2.70927	0.00669	0	0	0	0	0	0.31466	0.0709
Healthy	53.00535	0.04487	0	0	0	0.32464	0		53.00535	8.46934	0.13549	0	5.35516	0.39005	0	0	0.23162	0
Healthy	12.99612	0.16489	1.4514	0	1.21208	0	0.4104		12.99612	24.37807	1.11626	0	0.02702	0.04103	1.70278	1.21208	0.15085	0.4104
Healthy	24.87301	2.31023	8.22318	0	0.12564	0.09504	0.06758		24.87301	21.56004	1.20466	0.1432	0	0.21396	0.81474	0.12564	1.08057	0.06758
Healthy	28.73911	0	0	0	0.57303	0	0		28.73911	29.23761	0	0	0	0	9.23471	0.57303	0.6947	0
Healthy	24.27956	0	0.12664	11.5426	3.0786	0.00212	0		24.27956	12.30482	0.05422	0.0031	14.9065	0.04026	0	3.0786	0.33927	0
Healthy	75.23177	0.04317	0.0434	0	0.07882	0	0		75.23177	7.55734	0	0	0.28653	0	0	0.07882	0.99055	0
Healthy	62.65267	8.48501	0.05048	0.06041	0	0.02153	0.66049		62.65267	8.80501	0.002	0.02726	0	0.30935	0	0	0.06275	0.66049
Healthy	33.92343	0.07032	0.35595	0.0638	0.91029	0	0		33.92343	3.7618	0.15815	0	0	0.39488	0.89622	0.91029	0	0
Healthy	60.8361	0.74286	0.42666	0	0.07792	0	0		60.8361	6.4736	0.87671	0.13071	5.74457	2.38969	0	0.07792	0	0
