group	Enterocloster	Collinsella	Clostridium_A	Clostridium_Q	Faecalimonas	Ruminococcus_B	Longicatena	Muricomes	Anaerotruncus	Lactococcus	Ruminococcus_H	Roseburia	Coprococcus	Ruminiclostridium_E	Mediterraneibacter	Methanobrevibacter_A	Flavonifractor	Alistipes_A	Coprococcus_A	Adlercreutzia
Healthy	0.04387	0.24373	0	0	0	0	0	0	0	0	0	1.37492	0	0	0.27629	0	1.31228	0.04463	0	0
Healthy	0.37487	0.63218	0	0	0	0	0	0	0	0	0.00984	0.52164	0	0.32918	1.10457	0.09708	0.13412	1.3879	0	0
Healthy	0.28899	0.3371	0	0	0	0	0	0	0	0	1.33345	2.89841	0	0.15406	0.03261	0	0	0	0.19834	0.0955
Healthy	1.12486	1.97032	0.98862	0.00579	1.15388	0.8993	0.59191	0.00591	0.16946	0	13.6181	9.34309	0	13.2551	0.04471	0	0.11742	0.05701	0	0.40741
Healthy	0.98337	0	0	0	0.31519	0.57964	0.07364	0.06166	0	0	4.71234	1.55626	5.23849	1.36382	0.11433	1.62145	0.03588	0.04649	0	0.15492
Healthy	0.41058	0.31569	0.0152	0	0	0	0	0	0	0	6.0794	1.56946	0	0	0.15385	0	0.02712	0.26009	0	0.01904
Healthy	0.07476	0	0	0	0	0	0	0	0	0	4.21521	1.6611	0	0.81758	5.77681	0	0	0	0	0
Healthy	2.01212	3.24867	0	0	0	0	0	0	0	0.20201	0	5.87948	13.7132	0	0.25898	3.06148	0	0	0.59075	0.51527
Healthy	0.44703	0	0	0.17018	2.02445	27.9887	0.07394	4.07451	0	0	0	0	0	0	0.35605	0	0.04332	0	0	0
Healthy	1.09541	0	0	0.92036	0	16.5662	0.00254	0	0	0.02047	0	0	0	0	1.25114	0	0	0	0	0
Healthy	0.08203	0.6914	0.13644	0.02305	0	0	0.02371	0	0.05211	0	2.11964	0	0	0	0.1005	0	0.20774	0.18828	0	0
Healthy	0.19451	2.27129	0	0	0	0	0	0	0	0	1.28553	1.95372	0	0	0.36132	0	0	0	0	0
Healthy	0.11559	0	0	0	0.01235	0.0303	0	0.00123	0	0	0	1.08866	0	0	1.07663	0	0.06439	0.1986	0.05872	0.11806
Healthy	0.05055	1.0791	0	0	0	0	0	0	0	0	5.52631	1.58347	0	0	2.25541	0	0.07299	0	0	0
Healthy	3.12286	4.32512	0	0	0	0	0.00403	0.00189	0.03246	0.01771	0.00231	4.14852	0	0	0.50233	0	0	0.18705	0.07321	0
Healthy	0.08032	1.19682	0.02241	0.01988	0	0	0.10487	0.04164	0	0	1.95838	0	0	0.43743	0.00737	0	0.05826	0	0	0
Healthy	0.04111	0.28366	0	0	0	0	0	0	0	0	0	1.42881	0	0	0.31177	0	1.33726	0.01799	0.02139	0
Healthy	0.28181	0.7939	0	0	0	0	0	0	0	0	0.07926	1.89802	0.64977	0.56156	0.41848	0	0.05911	1.35444	0.22769	0.04004
