s	Streptococcus_parasanguinis_D	Clostridium_Q_symbiosum	Enterocloster_clostridioformis_A	Muricomes_sp000509105	Enterocloster_asparagiformis	Schaedlerella_glycyrrhizinilyticum	Longicatena_innocuum	Gordonibacter_pamelaeae	Enterocloster_sp000155435	Eggerthella_lenta	Alistipes_putredinis	Ruminococcus_H_sp003531055	Barnesiella_intestinihominis	Alistipes_shahii	Alistipes_obesi	Parabacteroides_johnsonii	Paraprevotella_clara	Alistipes_A_indistinctus	Coprobacter_fastidiosus	Paraprevotella_xylaniphila
Healthy	-0.899905284985011	-1.28819277095881	-5	-5	-5	-0.7588521375883	-5	-1.73565449294991	-5	-5	-0.381251318540714	1.23132454651783	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.251936074861169	-5	-5	-5	-5	-5	-5	-0.37080454251211	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.812738267269767	0.518461294931838	-0.976377210120993	0.807798771718598	-5	-5	0.130584621733924	-1.11622503864474	-0.780336899262978	-1.12831033431448
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.253478546645704	-0.991272113347615	-0.77634833281282	-0.192586753812181	-0.385894089041969	-5	-0.643324144341363	-1.8085489855351	-1.54546001503518	-5
Healthy	-1.33292079453578	-2.2839966563652	-5	-1.53536144090497	-5	-5	-1.93255715722362	-5	-5	-5	1.11006116551662	-0.163549286279845	0.459626159761796	-0.0877832592220495	0.772591589689166	-5	-5	-0.491928383400625	-1.09146136782804	-5
D015212	-0.839411431709965	-1.5036239459876	-0.667339399729365	-1.94309514866353	-0.920131664824827	-1.25995327594851	-2.69680394257951	-1.59482445378201	-2.11633856484638	-2.85698519974591	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.651169627621518	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.917433558799483	0.706219209471212	0.286368883434756	-0.2411864781194	-0.0490853225520574	-5	-5	-0.435251108186982	-1.82390874094432	-5
Healthy	-1.32744037223672	-2.31336373073771	-1.817870785947	-2.40120949323688	-1.1439360466669	-0.83221022084091	-2.73282827159699	-2.00305075150462	-1.11838712752165	-2.95467702121334	-0.37217346208207	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.07371138691886	-0.198198540425395	-5	0.252884570774634	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.826912118543145	0.895308708394291	0.504069685483838	-0.141595156094712	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-1.91506642506328	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.10948101372696	-5	0.395724677754903	0.608922707668188	0.497323653773914	-5	-5	-2.19997064075587	-1.34084471905937	-5
Healthy	-5	-5	-5	-5	-5	-5	-1.55299710153384	-5	-5	-2.65757731917779	-3.3767507096021	-5	-5	-5	-5	-5	-5	-5	-5	-5
D015212	-1.09903237608088	-5	-5	-5	-1.77494930386195	-5	-3.16749108729376	-1.52418358696868	-2.95467702121334	-5	-5	0.446948588865218	-5	0.0966145923059361	-5	-5	-5	-5	-5	-5
Healthy	-5	-0.409961092796556	-0.487502379896877	-1.16071054399385	-0.545734585683723	-5	-5	-5	-0.9313318567141	-5	0.0774805528404524	-5	0.300362841462312	-0.674381727189971	-5	-5	-5	-5	-5	-5
Healthy	-5	-1.64454847987348	-5	-5	-0.970819211092453	-5	-5	-5	-5	-5	1.18788464245824	-5	0.537200571959992	-5	-0.40749015209932	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.14845179764106	-5	1.1037630253144	-5	-0.896264677261667	-5	-5	-5	-5	-5
Healthy	-5	-1.58402558862343	-5	-5	-5	-5	-5	-5	-5	-5	0.626941597745119	-1.15689185800039	0.658668545157037	-0.646834195034242	-0.023475787838293	-5	0.115167671674623	-1.58922276662279	-1.17855198098247	-0.634493295922791
Healthy	-2.35457773065091	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.364526306414452	-1.1232050237993	-1.30803489723264	-0.465073223024301	-2.71669877129645	-5	-0.541377257132091	-5	-5	-1.82710530224782
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.10198099396184	-0.0140797798764326	0.506391370378413	0.226414291644976	-0.181675114367555	-5	-5	-1.56098327161249	-1.55330753362847	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-2.01592296609717	-5	0.206806993252573	-0.181952348900481	0.614278010594155	0.49663356302918	0.0507547195886184	-5	0.453822685040737	-1.54500278269054	-2.15989390554324	-1.11463877996849
Healthy	-5	-1.91186391129945	-5	-5	-2.12090412049993	-2.70996538863748	-1.74424521335696	-2.45717457304082	-5	-5	0.583331423302282	0.371771403587355	-0.281025246016849	-5	0.207462015482777	-1.35340024827963	0.165318532786218	-5	-5	-0.36937892216782
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.812846046214584	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.0472559759851017	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.12440998705416	0.213238762688236	0.735809609131684	0.501349608138651	-0.0986670263410532	-2.02319166266193	-0.62016893231046	-5	-5	-1.36632959394856
Healthy	-5	-5	-5	-1.77884667804529	-5	-5	-5	-5	-5	-5	-1.61314447081528	0.776311015237947	-0.609612519682721	-0.692354231183079	-1.66938333270556	-5	-0.532880472984023	-1.06088028235151	-5	-1.16367588429325
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.627607519291259	-5	-0.130363518685972	0.365632101817243	0.413624943969191	-5	-0.555096837204538	-1.35027581407048	-1.93218548883816	-1.49322446339336
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.128635093794761	-2.00656376950239	0.511960858925264	0.569514359510703	0.475999327046516	-1.50891858657681	-0.559515979176601	0.142361304900796	-5	-1.47069800221202
D015212	-1.77365791283637	-2.34775365899668	-0.768810854517332	-1.59653629865468	-0.744944696442558	-1.10012480397899	-5	-5	-1.11741854644555	-1.52215552366124	0.2202545723151	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.124979992624451	-5	-0.0522526797731903	-0.480053936162471	-5	-5	-5	-5	-5
Healthy	-2.20342566678957	-2.23657200643706	-2.02090709936167	-2.22767829327708	-1.38268506670171	-0.588986709516126	-1.33161408331	-1.07443009045662	-1.53357727756621	-2.65560772631489	0.481792216652641	1.13411683786113	-0.206167723971248	0.224460544652759	-0.47516266674324	-5	-0.91818479936772	-1.24397278702656	-5	-1.4145392704915
Healthy	-0.92804438969702	-5	-5	-1.2099260515737	-1.42227847549098	-5	-2.01144104312138	-1.81050968630063	-5	-1.79290445958078	0.730694277721078	0.673237539296802	-5	-0.159354510510606	-0.834933821610244	-5	-5	-1.33254704711005	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.439146302023834	0.783861433519853	-5	0.0283434730167417	-0.365411903162235	-5	-5	-0.584859647804127	-5	-5
D015212	-1.85823676972421	-1.25469094005917	-0.185692459780455	-1.45038376048091	-1.16096212661169	-0.988091386650846	-3.16749108729376	-2.00833099262005	-1.00682839496923	-1.85356186471423	0.500487590234434	-5	-5	-5	-2.33441900898205	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.624820246171354	-0.682375356919941	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.282554142851802	-5	0.616991948875913	0.198461885445639	-0.479673706392679	-5	-5	-5	-5	-5
