group	Bacteroidales	Enterobacterales	Pseudomonadales	Lactobacillales		Bacteroidales	Lachnospirales	Enterobacterales	Verrucomicrobiales	Lactobacillales	Burkholderiales	Erysipelotrichales	Acidaminococcales	Pseudomonadales	Peptostreptococcales
Healthy	75.927	0	0	0		75.927	1.72941	0	3.84496	0	0.7445	0.00174	0	0	0
Healthy	27.96087	0.76155	0.33242	0.4968		27.96087	46.51861	0.76155	0.79342	0.4968	0.06486	0.00415	0	0.33242	0.1088
Healthy	66.09812	0	0	0.05237		66.09812	3.10588	0	10.3809	0.05237	0.11834	0.00808	0.87857	0	0
Healthy	25.51014	2.10237	0	8.14983		25.51014	25.5392	2.10237	0	8.14983	0.20459	0.13303	0	0	0.07247
Healthy	18.16758	0	0	0		18.16758	12.06107	0	0	0	0	0	0	0	0
Healthy	78.57875	0.09832	0	0.03648		78.57875	0.68422	0.09832	0	0.03648	0.0657	0.03735	0	0	0
Healthy	64.93079	0	0	0		64.93079	18.72938	0	0	0	1.07337	0.06825	0	0	0
Healthy	39.03604	9.39904	4.54617	0.01927		39.03604	5.48461	9.39904	0.3477	0.01927	0.21451	0.8809	0	4.54617	0.0581
Healthy	88.7654	0.38656	0	0.20842		88.7654	1.21892	0.38656	0	0.20842	0.11966	0.02311	0	0	0
Healthy	79.91048	2.90482	0	0.07356		79.91048	11.90134	2.90482	0	0.07356	0.07877	0.01034	0	0	0
Healthy	64.14272	0.13452	0	0.00636		64.14272	6.58367	0.13452	0	0.00636	1.39314	0.02486	0	0	0
Healthy	38.36526	5.3394	0.05478	0.01559		38.36526	3.07898	5.3394	1.4567	0.01559	0.03034	0.51579	0	0.05478	0.00271
Healthy	80.84169	0.00402	0	0		80.84169	1.71238	0.00402	3.57301	0	0.70225	0	0	0	0
Healthy	25.1195	0.00781	0.00368	0.75851		25.1195	13.19326	0.00781	0.69873	0.75851	0.88008	1.03495	22.5247	0.00368	0.08429
Healthy	55.82578	0	0	1.65013		55.82578	23.45088	0	0.01236	1.65013	0.08336	7.32767	1.47114	0	0.08412
Healthy	27.29133	1.88746	0	0		27.29133	12.8256	1.88746	1.26245	0	1.38138	0	0	0	0
Healthy	78.2146	0	0	0		78.2146	11.33591	0	0	0	0	0.43276	0	0	0
Healthy	64.69453	1.46273	0	0.43462		64.69453	17.3938	1.46273	0	0.43462	0.56976	0.07146	0	0	0.00613
Healthy	79.61067	2.74832	0	0.09803		79.61067	11.91696	2.74832	0	0.09803	0.06262	0.00254	0	0	0
D014376	52.59207	12.1126	0	0.14674		52.59207	5.47525	12.1126	0.09793	0.14674	0.00124	0	0	0	0
Healthy	46.96026	0.3539	0	0.75909		46.96026	28.14546	0.3539	0.6796	0.75909	0	0	0	0	0.04315
Healthy	33.30529	0.24621	0	0.03125		33.30529	20.27504	0.24621	0	0.03125	1.2693	0.1551	0.26395	0	0.03226
Healthy	69.58044	0	0	0		69.58044	1.00013	0	0	0	0.0624	0.56566	0	0	0
Healthy	77.68829	0.04198	0	0.02956		77.68829	0.6717	0.04198	0	0.02956	0.07281	0.0243	0	0	0
Healthy	61.68826	0.03656	0.30313	0.0161		61.68826	19.14931	0.03656	0.6598	0.0161	0.05142	0	0	0.30313	0
Healthy	56.32307	0.13218	0	0.29615		56.32307	6.12314	0.13218	0	0.29615	0.0078	0.00486	0	0	0
Healthy	54.50758	0.29244	0	0.31688		54.50758	23.11718	0.29244	0	0.31688	0.0461	0	0	0	0.33346
Healthy	43.3074	0	0	0.02025		43.3074	2.7656	0	0	0.02025	0.11856	0	0	0	0
Healthy	72.56282	2.24934	0	0		72.56282	2.56661	2.24934	0	0	0.38935	0	0	0	0
Healthy	22.69552	0	0	0		22.69552	2.54508	0	0	0	0	0	0	0	0
Healthy	19.20653	0.95059	0	0.56117		19.20653	37.05151	0.95059	0	0.56117	0	12.33642	1.78486	0	0.62159
Healthy	61.23649	0.06129	0	0.08341		61.23649	21.07635	0.06129	0	0.08341	5.13042	0.01058	0	0	0
Healthy	61.52382	0.08635	0	0.05612		61.52382	20.93701	0.08635	0	0.05612	5.22325	0.04521	0	0	0
Healthy	61.23341	6.53906	0	0		61.23341	2.18098	6.53906	0.79293	0	1.43392	0	0	0	0
Healthy	60.29015	0.80726	0	0.47816		60.29015	7.5361	0.80726	5.96611	0.47816	2.31024	0.07757	0.26823	0	0
Healthy	60.90446	0	0	0		60.90446	3.34133	0	0.05654	0	2.72043	0	0	0	0
Healthy	38.99953	3.05793	0	9.5205		38.99953	15.7248	3.05793	0	9.5205	0	0.31989	0	0	0
