group	Phocaeicola	Prevotella	Faecalibacterium	Phytobacter	Ruminococcus_B	Haemophilus_D	Faecalimonas	Muricomes	Rothia	Eggerthella	Prevotella	Enterocloster	Collinsella	Holdemanella	Anaerostipes	Intestinibacter	Parasutterella	Desulfovibrio	Adlercreutzia	Pseudoflavonifractor
Healthy	0	0	8.95456	0.121	16.5662	0.44799	0	0	0.0396	0.13451	0	1.09541	0	0	0	0.17413	0	0	0	0
Healthy	1.47047	0	2.46552	0.34649	0	0	0	0	0	0	0	0.08203	0.6914	0.12129	0.00936	0	0.01275	0.66408	0	0.03694
Healthy	5.05938	8.03986	0.77987	2.66719	0	0	0	0	0	0	8.03986	0.19451	2.27129	1.19138	0	0	0	0	0	0
Healthy	46.0316	0.04001	8.27035	0.07952	0.0303	0	0.01235	0.00123	0	0	0.04001	0.11559	0	0	2.43132	0	0	0	0.11806	0
Healthy	10.89811	0	0.71987	0.08088	0	0	0	0	0	0	0	0.05055	1.0791	0	0	0	0.0234	0	0	0
Healthy	0.91743	5.62645	13.8765	0.03375	0	0.12773	0	0.00189	0.04553	0.00776	5.62645	3.12286	4.32512	1.13844	0.40929	0.25	0	0	0	0
Healthy	0.38277	0	0.11471	10.2181	0	0	0	0.04164	0	0.01097	0	0.08032	1.19682	0	0	0	0.00705	0	0	0.00161
Healthy	3.4087	44.97245	3.3535	0	0	0	0	0	0	0	44.97245	0.04111	0.28366	0	0	0	0	0.25567	0	0
Healthy	10.34301	13.0904	16.6374	0.06381	0	0	0	0	0	0	13.0904	0.28181	0.7939	0.40667	0.37965	0	0	0	0.04004	0
Healthy	28.1758	0	1.67666	0.06157	0.55343	0	0	0	0	0	0	0.01072	0	0	0	0	0.11666	0	0.00233	0
Healthy	7.85631	0	0.82745	0	0.00856	0	0	0.01123	0	0	0	0.17447	0.67999	0	0	0.00258	0.27735	0	0	0
Healthy	1.81614	16.1089	3.30743	0	0	0.0175	0	0	0	0	16.1089	0.4664	0.05868	1.30999	0.01932	0	0.00491	0	0.00077	0
Healthy	14.20044	0	9.70149	0	0	0	0	0	0	0	0	0.66465	1.71217	0	0	0.92052	0	0	0	0
Healthy	6.56319	29.5744	0.23802	0	0	0	0	0	0	0	29.5744	0.79934	0	1.12109	0.52611	0	0	0	0	0
Healthy	12.92692	0	1.4141	0	0.0593	0	0	0.02943	0	0	0	0.02036	0.20882	0	0	0	0	0	0.02643	0
Healthy	8.86103	68.4668	1.45529	4.2841	0	0	0	0	0	0	68.4668	0.61109	0	0	0	0	0	0	0	0
Healthy	17.95731	0	11.1457	0	0.01544	0.01667	0	0	0	0	0	0.14405	0.12154	0.14341	0.14366	0	0.01433	0	0.00714	0
Healthy	20.8163	0	31.1106	0.24207	0.00425	0.20553	0	0.14875	0	0	0	0.45248	0	0	0	0	0.01751	0	0	0.00432
Healthy	0	0	0.55691	2.0968	0	0	0	0	0	0	0	1.99695	0	0	0	0	0.34626	0	0	0
Healthy	17.71324	0	7.30624	0	0	0	0	0	0	0	0	0.07968	0	0	0.14314	0	0	0	0	0
Healthy	1.35581	0	3.13912	0.09698	0	0	0	0	0	0	0	0.36575	0.15766	0.1019	0.0218	0	0.00946	0	0.00932	0.01645
Healthy	5.60462	0	4.21366	0.02507	0	0	0	0	0	0	0	0	0.09721	0	0	0	0	0.55816	0.15579	0
Healthy	2.14329	0	10.2684	1.49435	0	0	0	0	0	0	0	2.0934	0	0	0	0	0	0	1.41636	0
Healthy	0	0	0.39654	0	6.73804	0	0	0	0	0	0	0	1.31584	0	0	0	0	0	0	0
Healthy	0	0	1.37565	0	0.05485	0	0	0.03884	0	0	0	0.14842	0	0	0.04991	0	0	0	0	0
Healthy	0.30053	0	22.7591	0	0.03057	0	0	0.00592	0	0.02293	0	1.267	3.60873	0	0.00606	0	0.00056	0.18316	0.04992	0.03608
Healthy	7.32995	0	0.00433	55.0788	0.0105	0	0	0	0.11153	0.0026	0	0	0	0	0	0	0	0	0	0
