s	Intestinibacter_bartlettii	Streptococcus_thermophilus	Coprococcus_A_catus	Anaerostipes_hadrus_A	Haemophilus_D_sp001815355	Streptococcus_parasanguinis_D	Longicatena_innocuum	Veillonella_dispar_A	Streptococcus_sp004166885	Rothia_sp001808955	Bacteroides_caccae	Mediterraneibacter_torques
Healthy	-5	-5	-2.02779716162094	-5	-5	-5	-5	-5	-5	-5	0.537022788341716	-1.52403841080758
Healthy	-0.963331189699903	-5	-0.406636387317002	-0.834904125245782	-0.242892584398765	-1.16723569505947	-3.42021640338319	-2.33535802444387	-1.64301859900687	-2.99139982823808	-0.284723872955117	-0.964490214910441
Healthy	-5	-5	-2.70774392864352	-5	-5	-5	-5	-5	-5	-5	0.284602161723968	-1.19368433019189
Healthy	-1.13978181533124	-0.709720471079483	-0.665164398473644	-0.423255645672583	-0.596210528483812	0.126667042330828	-3.05060999335509	-2.7851561519523	-1.20432849405398	-1.68193666503724	0.190185974931097	-1.39394125058969
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.252572654127424	0.30048461379044
Healthy	-5	-5	-5	-5	-5	-2.27327279097343	-5	-5	-5	-5	0.519818809203152	-2.17457388223218
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.265735009007227	-1.60519822283729
Healthy	-1.23574912456123	-5	-0.899284913426918	-1.76396685288236	-5	-5	-2.28903688100472	-5	-5	-2.00744648216786	-0.389531479694095	-1.18269912160668
Healthy	-5	-0.68103977147246	-5	-1.7972393126068	-5	-5	-5	-5	-5	-5	-5	-0.851273983601853
Healthy	-5	-1.1332992439575	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.0987094706026861
Healthy	-5	-5	-5	-5	-1.37458464784559	-2.58670023591875	-5	-5	-5	-5	0.854116490121966	-0.751413756144896
Healthy	-2.5654310959658	-5	-5	-1.43533393574791	-5	-2.53461714855158	-2.51286162452281	-5	-5	-3.431798275933	0.679916430169389	-0.254948642205653
Healthy	-5	-5	-5	-5	-2.39469495385889	-5	-5	-5	-5	-5	0.518874386283083	-1.43985416015095
Healthy	-1.07417242537526	-5	-0.476643793345207	-1.3840499483436	-2.99567862621736	-1.54898154784454	-5	-5	-2.24795155218056	-5	-1.24496406623223	-1.58236226034777
Healthy	-1.07504911108439	0.1768491650387	-0.927272310414734	-1.91865269219587	-5	-1.86646109162978	-5	-5	-3.07058107428571	-5	0.256825945408824	-1.28466531620769
Healthy	-5	-5	-0.779133866687876	-0.654979338457885	-5	-5	-5	-5	-5	-5	-0.348867421449519	-0.0881502035005799
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.368028903759593	-0.0972195581149567
Healthy	-2.21183162885883	-5	-0.449991908443365	-0.293026323823822	-1.64054397987901	-5	-5	-5	-5	-5	0.349176471805279	-1.21903497039168
Healthy	-5	-1.00859669741996	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.164207074952633
Healthy	-1.36491856398913	-1.17470373556904	-0.856922715826381	-2.22184874961636	-0.451107165863582	-1.04253638427007	-5	-1.7389751660076	-5	-5	0.197335703130062	-1.45234834164003
Healthy	-1.49120103459609	-5	-1.11810202642699	-1.47353148753052	-0.769423363731259	-1.75920122888267	-5	-5	-5	-5	0.0397748898159707	-0.422232545134857
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.61381329064447	-0.745137855719397
Healthy	-5	-5	-5	-5	-5	-2.05700040663396	-5	-5	-5	-5	0.520975847032181	-1.82652235654701
Healthy	-5	-5	-2.01727661233145	-5	-1.43687503966196	-5	-5	-5	-5	-5	0.825537111589703	-1.61690307005091
Healthy	-5	-5	-5	-1.43004118190341	-5	-2.31247103878537	-2.31247103878537	-5	-5	-5	0.818143383025334	-0.611650092129618
Healthy	-0.476943230474559	-5	-1.2572748686953	-1.39989874430861	-1.06717123309915	-2.89619627904404	-5	-2.01637371287547	-5	-5	-0.295943905267737	-0.434730839203644
Healthy	-5	-1.69336055897574	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.212075685884757
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-1.30233483735233
