group	Firmicutes_A	Actinobacteriota	Firmicutes		Bacteroidota	Firmicutes_A	Actinobacteriota	Proteobacteria	Verrucomicrobiota	Firmicutes	Methanobacteriota	Desulfobacterota	
Healthy	33.36806	0.0029	0.29654		43.91144	33.36806	0.0029	4.22613	0	0.29654	0	0	
Healthy	6.06456	0.253	0.52483		69.10783	6.06456	0.253	0.08618	0	0.52483	0.01411	1.42888	
Healthy	36.85416	0.39088	0.66711		22.25656	36.85416	0.39088	1.90489	10.2982	0.66711	0.58046	0.1026	
D003093	25.64744	17.59227	2.0403		45.9072	25.64744	17.59227	0.10148	0	2.0403	0	0.08429	
D003093	17.63396	0	0.02654		77.83429	17.63396	0	0.43529	0	0.02654	0	0	
Healthy	63.58426	1.51417	10.39962		13.31218	63.58426	1.51417	0.40844	0	10.39962	3.28183	0.02758	
Healthy	10.28299	0.2177	0.43095		67.98188	10.28299	0.2177	6.01844	0	0.43095	0	0	
Healthy	11.59731	14.05854	0.25387		55.93334	11.59731	14.05854	0.30246	0	0.25387	0.20356	0.08565	
Healthy	26.91062	0.62485	1.27675		50.09099	26.91062	0.62485	1.64625	0.03792	1.27675	0.07783	0	
Healthy	62.67512	2.11217	17.38857		9.77201	62.67512	2.11217	0.0753	0	17.38857	0.0354	0	
