f	Lachnospiraceae	Ruminococcaceae	Bifidobacteriaceae	Acutalibacteraceae	Streptococcaceae	Coriobacteriaceae	Lactobacillaceae	Akkermansiaceae	Acidaminococcaceae	Methanobacteriaceae	Enterobacteriaceae	Pseudomonadaceae	Micrococcaceae	Bacteroidaceae	Rikenellaceae	Tannerellaceae	Dialisteraceae	Burkholderiaceae	Marinifilaceae	Oscillospiraceae	Veillonellaceae	Pasteurellaceae	Desulfovibrionaceae
Healthy	1.04071109788179	1.44999323042507	-5	-0.100360035318269	-5	-0.274709231973527	-5	-5	1.09559158034694	-1.03602339000339	-0.289620274990133	-5	-2.37468754903833	1.50405158978688	-0.669018362299178	-3.21467016498923	-5	-1.58004425151024	-5	-2.7594507517174	-1.21112488422458	-0.190554765664231	-1.89177334362507
Healthy	0.640088704941548	0.541474401590156	-5	-0.0322087372703593	-0.722757627218642	-5	-5	1.30050874675137	0.0206802558933171	-0.265824467335679	0.811735155939139	-5	-5	1.25872082968974	0.935657378806223	0.25912301859412	-5	-1.30874164186689	-5	-0.10075419655213	-5	-5	-0.142926951366022
Healthy	1.59962711209816	0.689686149496244	1.08473888451752	-0.533666311867658	-0.421670292137101	-0.0771707803333511	-0.407046428452134	-0.0292627132592519	-5	-5	-5	-2.3045183235098	-5	1.11331149552203	-0.165604731586383	-0.0857150348338336	0.541559275925156	-5	-0.649616285841611	-5	-5	-5	-5
Healthy	1.59799393478019	-5	1.41724626659636	-5	0.126387945271084	-2.26921772433361	-5	-5	-5	-5	0.872929735359351	0.255696941128464	-1.77159964129699	-2.93181413825384	-5	-5	-5	-0.0538524375294762	-5	0.25375707174326	-0.641760491828228	-5	-5
Healthy	1.3757118865383	0.710355188383346	0.99456129217834	0.558809334357925	-1.48558507941963	-0.856080061614163	-5	-1.06108018775523	-5	-5	-5	-5	-5	1.476263690349	0.506372423814909	-0.741482440083547	-0.00398770325701485	-1.5480601306349	-0.0417659044388201	-5	-5	-1.0395292224657	-5
Healthy	0.163462532504318	0.860110916024717	1.67909232448385	-1.19921420967224	-1.11599807523121	-0.156617705783265	-0.224994271921535	-5	-0.952102376485589	-3.07572071393812	-1.78595132058806	-5	-2.74232142513082	1.29158416805232	-0.348935307995961	-0.0306633116762449	-5	0.590927615624735	-5	-2.93554201077308	-1.94962024373854	-1.95663772197887	-2.06752623532285
Healthy	1.18324449723243	-0.325662531844354	-5	0.339544849295641	-5	-5	-5	-0.392009141452825	0.515312075477326	-5	-0.981674054597079	-5	-5	1.75222451277329	0.374574226824472	0.919187437099777	-5	-0.492656952400061	-5	-5	-5	-5	-5
Healthy	1.04880679933663	0.555795528080129	-5	-0.588127870616758	-5	-1.53017798402184	-5	-5	-5	-5	-0.760825695821921	-2.36754270781528	-5	1.83080672342317	0.972997083553668	-0.0424980672678688	-5	-0.819415403397044	-0.0300020014016579	-3.22914798835786	-5	-1.18488734181019	-1.51498878542143
Healthy	0.237779922064522	-0.00751717674856065	-0.721932669111337	-5	-5	-5	-5	0.267716015946984	-5	-5	-1.21417208000413	-5	-5	1.92009137941587	0.206941852238958	0.741946945311592	-5	-0.293410221146578	-5	-1.2653601610123	-5	-5	-5
Healthy	1.01488034167546	1.29451935233853	-5	0.00361991650831003	-5	-1.10712659311123	-5	-1.06429125215734	-5	-5	-1.00117418095971	-5	-5	1.62225993759292	0.221416846209772	0.335590275135901	-5	-1.82159865846624	-0.400433488998382	-0.76654697795928	-0.673787070000569	-5	-0.606021397348228
Healthy	1.5890187229793	-0.0619708843121907	-5	-5	-5	-5	-5	-5	-5	0.877629887229984	-5	-5	-5	1.38516854159598	-0.215111803530104	0.624857335418775	-5	-5	-5	-5	-0.831649859814056	-5	-5
