group	Lachnospiraceae	Coriobacteriaceae	Lactobacillaceae	Streptococcaceae	Erysipelotrichaceae	Methanobacteriaceae	Erysipelatoclostridiaceae	Eggerthellaceae	Peptostreptococcaceae	Micrococcaceae	Lachnospiraceae	Ruminococcaceae	Bifidobacteriaceae	Acutalibacteraceae	Akkermansiaceae	Methanobacteriaceae	Coriobacteriaceae	Oscillospiraceae	Desulfovibrionaceae	Eggerthellaceae
Healthy	38.09029	0	0	0.34649	0	0.11191	0	1.54102	0	0	38.09029	10.34978	0.40697	10.8039	0	0.11191	0	0	0	1.54102
Healthy	6.73804	1.31584	0	0.45334	0	0	0	0	0	0	6.73804	0.39654	25.6546	0	0	0	1.31584	0	0	0
Healthy	12.91336	0	0	0	0.53907	0	0	0	0	0	12.91336	1.46969	0	0	0	0	0	0.26918	0	0
Healthy	21.6924	3.60873	0	0	0.1903	0	0	0.08408	0	0	21.6924	25.29761	0.19456	0.55688	19.023	0	3.60873	0.0678	0.19041	0.08408
Healthy	0.0105	0	0.00233	0.00532	0	0	0	0.0026	0.23549	0.11153	0.0105	0.00433	7.07153	0	0.00039	0	0	0	0	0.0026
Healthy	14.063	0.78351	0	0	1.18442	0	0	0	0	0	14.063	3.22833	10.5799	0	11.9695	0	0.78351	2.41601	0	0
Healthy	41.68406	0.41707	0	0.7126	1.65472	0.20726	0	0.00383	4.42379	0.00583	41.68406	7.11176	0.58348	0.24502	2.81759	0.20726	0.41707	0	0	0.00383
Healthy	11.91339	0.00433	0	0	0.73283	0	0	0	0	0	11.91339	1.23252	0	1.96572	0	0	0.00433	0.04376	0	0
Healthy	26.02128	0	0	0.02733	1.85933	2.44739	0	0	0	0	26.02128	1.69264	0.13293	2.58388	0.49181	2.44739	0	0	0	0
Healthy	3.89694	0.64273	0	0.04903	0.06299	0.00825	0.11073	0	0	0	3.89694	2.88207	0.74931	1.49656	0	0.00825	0.64273	2.63969	1.21704	0
Healthy	57.26534	0	0.12587	0.21686	0	0.21268	0	0	0	0	57.26534	0.76115	0	0	0	0.21268	0	0	0	0
Healthy	2.30841	0	0	0	0	0	0	0	0	0	2.30841	0.10161	0.1845	0	0	0	0	0.00677	0	0
Healthy	64.4011	0.46959	0	0.0318	0.00331	0	0.02077	0.00709	0	0	64.4011	14.5544	0.0008	0	0	0	0.46959	0.00176	0	0.00709
Healthy	11.56562	0.8622	0.24361	1.27155	0.04376	0	0	0.2489	0.20169	0.01325	11.56562	8.48485	2.76523	0.33886	0.00032	0	0.8622	0.01155	0.0392	0.2489
Healthy	1.72941	0.1628	0	0	0	0	0.00174	0	0	0	1.72941	1.79093	1.21132	2.00529	3.84496	0	0.1628	0.03959	0.0151	0
Healthy	46.51861	0.59158	0	0.4968	0.00415	0	0	0.00141	0.1088	0.00101	46.51861	9.8181	2.0393	0.01538	0.79342	0	0.59158	0.00501	0	0.00141
Healthy	3.10588	0.22282	0	0.05237	0.00808	0	0	0	0	0	3.10588	3.42493	0.11984	0	10.3809	0	0.22282	1.28496	0.33033	0
Healthy	25.5392	1.02795	0.00811	8.13615	0.07986	0.79834	0.05317	0.01142	0.07247	0.02079	25.5392	9.96325	1.01272	10.99563	0	0.79834	1.02795	0.01016	0.07805	0.01142
Healthy	12.06107	0.90246	0	0	0	0	0	0.89561	0	0	12.06107	44.3123	0	3.49728	0	0	0.90246	0	0	0.89561
Healthy	0.68422	0.03568	0	0.03648	0.03735	0	0	0	0	0	0.68422	5.07443	0.12056	0.10545	0	0	0.03568	2.80825	0.0016	0
Healthy	18.72938	0.0603	0	0	0.06825	0	0	0.06162	0	0	18.72938	3.78617	0	0.35928	0	0	0.0603	0.35053	0.40904	0.06162
