group	Bacteroidaceae	Rikenellaceae	Enterobacteriaceae	Burkholderiaceae	Marinifilaceae	Acidaminococcaceae	Selenomonadaceae	Desulfovibrionaceae	Pasteurellaceae	Lactobacillaceae	Lachnospiraceae	Enterobacteriaceae	Burkholderiaceae	Methanobacteriaceae	Streptococcaceae	Acidaminococcaceae	Erysipelotrichaceae	Veillonellaceae	Pasteurellaceae	Lactobacillaceae
Healthy	9.97773	9.92768	0	0.00056	0	0	0	0.19041	0	0	21.6924	0	0.00056	0	0	0	0.1903	0	0	0
Healthy	19.51684	0	55.0788	0	0	0	0	0	0	0.00233	0.0105	55.0788	0	0	0.00532	0	0	0.03501	0	0.00233
Healthy	15.59111	21.54638	0.57325	0	0	0.01608	0	0	0	0	14.063	0.57325	0	0	0	0.01608	1.18442	0	0	0
Healthy	20.84947	5.53874	0	0.06954	0	0	0	0	0.91179	0	41.68406	0	0.06954	0.20726	0.7126	0	1.65472	0.46493	0.91179	0
Healthy	32.40716	0.00185	33.3132	0	0	0	0	0	0	0	11.91339	33.3132	0	0	0	0	0.73283	0	0	0
Healthy	34.49539	0.57648	5.37164	0	0	0	0	0	0	0	26.02128	5.37164	0	2.44739	0.02733	0	1.85933	0	0	0
Healthy	47.92944	13.58558	0	2.99685	2.40498	0	0	1.21704	0	0	3.89694	0	2.99685	0.00825	0.04903	0	0.06299	0	0	0
Healthy	23.88824	1.15881	0	0.03267	0.43982	0	0	0	0.09139	0.12587	57.26534	0	0.03267	0.21268	0.21686	0	0	0.0235	0.09139	0.12587
Healthy	65.70584	0	1.15581	0	0	0	0	0	0	0	2.30841	1.15581	0	0	0	0	0	0.89971	0	0
Healthy	7.7264	0.02801	0.00483	0	0	0.00015	0	0	0.0471	0	64.4011	0.00483	0	0	0.0318	0.00015	0.00331	0.00247	0.0471	0
Healthy	14.2738	6.75317	26.8642	0	1.2285	0	0	0.0392	0.01153	0.24361	11.56562	26.8642	0	0	1.27155	0	0.04376	0.01516	0.01153	0.24361
Healthy	43.115	25.16108	0	0.7445	1.44785	0	0	0.0151	0	0	1.72941	0	0.7445	0	0	0	0	0	0	0
Healthy	24.94261	1.43902	0.18994	0.06486	0.12029	0	0	0	0.57161	0	46.51861	0.18994	0.06486	0	0.4968	0	0.00415	0.13564	0.57161	0
Healthy	53.20443	10.13026	0	0.11834	0.99503	0.87857	0	0.33033	0	0	3.10588	0	0.11834	0	0.05237	0.87857	0.00808	0	0	0
Healthy	19.65803	2.82233	1.84899	0.20459	0.5255	0	0	0.07805	0.25338	0.00811	25.5392	1.84899	0.20459	0.79834	8.13615	0	0.07986	0.2242	0.25338	0.00811
Healthy	11.22645	6.86182	0	0	0	0	0	0	0	0	12.06107	0	0	0	0	0	0	0	0	0
Healthy	54.59408	17.3234	0.09832	0.0657	1.15652	0	0	0.0016	0	0	0.68422	0.09832	0.0657	0	0.03648	0	0.03735	0	0	0
Healthy	19.53527	32.47975	0	1.07337	0.93643	0	0	0.40904	0	0	18.72938	0	1.07337	0	0	0	0.06825	0	0	0
Healthy	12.59282	19.9503	9.39904	0.08959	0.39453	0	0	0.18958	0	0	5.48461	9.39904	0.08959	0.07517	0.01927	0	0.8809	0.22665	0	0
Healthy	85.53744	0	0.38656	0.11966	0	0	0	0.00253	0	0	1.21892	0.38656	0.11966	0	0.20842	0	0.02311	0.02526	0	0
Healthy	44.79468	0	2.90482	0.07877	0	0	0	0.0383	0	0	11.90134	2.90482	0.07877	0	0.07356	0	0	0	0	0
