group	Anaerobutyricum_hallii_A	Enterocloster_aldenensis	Blautia_A_wexlerae	Dorea_formicigenerans	Anaerostipes_hadrus_A	Anaerostipes_hadrus	Blautia_A_hydrogenotrophica	Streptococcus_sp004166885	Gordonibacter_pamelaeae	Longicatena_innocuum	Alistipes_putredinis	Akkermansia_muciniphila_D	Dialister_invisus	Bifidobacterium_adolescentis	Ruminiclostridium_E_siraeum	Alistipes_shahii	Sutterella_wadsworthensis_A	Odoribacter_splanchnicus	Parasutterella_excrementihominis	Flavonifractor_sp000508885
Healthy	0.26674	0.17365	1.27903	0.08256	0	0.22003	0	0	0	0	10.3496	1.83608	0	1.53424	0.22622	3.82212	1.16431	1.88591	0	0
D003093	4.05587	0.56789	2.3103	0.60932	2.84692	0.32563	0.51041	0	0	0	6.29434	0.00323	0	0	0	0	0	2.84765	0.08264	0.00369
Healthy	0	0	0.10729	0.04752	0	0	0	0	0	0	5.80786	0	4.47702	0	0	0.74061	0	0	1.07698	0
Healthy	0	0	0	0	0	0	0	0	0	0	4.54462	7.69718	0	0	0.51705	0.03365	0	0	0.10417	0
Healthy	0.04396	0.4848	0.07178	0.2386	0.0017	0.24287	0	0	0	0	0	0	0	0	0	0.31732	0	0	0	0.13021
Healthy	0	0	0	0.03418	0	0	0	0	0	0	17.9802	5.35516	0	0	0.05143	1.38524	0	0	0	0
Healthy	0	0.01641	0.03836	0.06314	0	0	0	0	0	0	20.3673	0	2.48965	0	0	0.9162	0	1.45795	0.013	0
Healthy	3.49856	1.13025	0.53078	1.07415	0.02739	0.10532	0.04212	0	0.0618	0.00163	8.32523	4.75004	0.14204	0.00093	0.05591	0	0	1.36225	0.00147	0.04945
Healthy	0.0105	0	0.02584	0.00456	0	0	0	0	0.01047	0.00279	1.75975	7.16262	9.30256	0	2.67228	0.73351	0	0	0.01997	0.08469
Healthy	0.29161	0.19726	0.2837	0.14329	0.02982	0.07586	0	0	0	0	5.95256	0.03189	0.26986	1.85778	27.6619	0.92559	1.85847	1.54784	0	0
Healthy	2.37613	0.85549	4.65973	3.79291	0.08128	0.24463	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D003093	1.97219	5.00909	1.28389	1.42495	0.37422	0.0692	0	0	0	0	0.23984	0.57305	0	9.54331	1.66892	0.4009	0.75279	0	0	0
Healthy	0.00425	0	0	0	0.01443	0	0.01228	0	0	0	0	0	3.34381	0	0	0	0	0	0.11156	0.17562
Healthy	0.87265	0.03017	0.33867	0	0.0626	0.23778	0	0	0	0	0	0	1.41269	1.67753	0.61967	2.80545	0	0	0.03569	0
Healthy	0	0	0.06136	0	0	0	0	0	0	0	0	0	0	0	2.4149	0.63546	5.7003	0.9632	0	0
Healthy	0	0	0.08017	0	0	0	0	0	0	0	0	0	0	0	3.31537	0.86552	7.09637	1.07873	0	0
Healthy	0.08798	0.04344	0.27957	0.17733	0.00159	0.0473	0	0	0	0	0	0	5.34871	0.15831	0	0.00082	0	0.587	0	0.07704
Healthy	0.02841	0	0.08851	0.07619	0	0	0	0	0	0	18.1186	0	0	0	0	3.44256	2.59178	0.79485	0.38392	0
Healthy	0	0	0.04586	0	0	0	0	0	0	0	0.49633	0	4.62199	0	0.17968	0.79313	6.27355	1.04245	0.05957	0
Healthy	0	0	0	0	0	0	0	0	0	0	12.0945	17.199	0	0	0.92377	2.08397	0.03447	0	0.02873	0
Healthy	0.46926	0	0.09467	0	0.02719	0.05741	0.02391	0	0.00802	0	0	3.52859	0	4.33729	0	0.01419	0	0	0.02799	0.03246
Healthy	0.12008	0	0.0048	0	0	1.2924	0	0.00344	0	0.00194	0	0	0	0	0	0	0	0	0.17411	0.04607
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	5.07885	0	0	0	5.86197	0	0.04242	0.1339
