group	Prevotella	Alistipes	Phytobacter	Odoribacter	Paraprevotella	Alistipes_A	Parasutterella	Bilophila	Ruminococcus_C	Faecalimonas	Prevotella	Mediterraneibacter	Anaerobutyricum	Phascolarctobacterium	Blautia_A	Haemophilus_D	Flavonifractor	Parasutterella	Clostridium_Q	Muricomes
Healthy	0	15.10948	0	0.79281	0	0	0	0.01125	0	0	0	0.03468	0	0	0.0369	0	0.25381	0	0	0
Healthy	0	5.8663	0.08321	0	1.53566	0.02574	0	0.20998	0.28584	0	0	2.18279	0.9071	0	0.57222	0	0.08686	0	0.02605	0
Healthy	40.4897	0.8965	0	0	0.30236	0	0	0	0	0	40.4897	0.58787	0.22621	0	0.1772	0	0.10013	0	0	0
Healthy	0	16.04646	0.15123	0.77438	0	0.02747	0.23778	0.04823	0	0	0	0	0.02999	0	0.03083	0	0.02179	0.23778	0	0
Healthy	0	6.13869	0	0.14977	2.92008	0.0285	0	0	0	0	0	0.26184	0	0	0.00565	0	0.1212	0	0	0
Healthy	3.81452	5.44351	2.8125	0.67975	1.89042	0	0	0.05661	0.19191	0.04977	3.81452	0.00798	0.42331	0	0.29976	0	0.00865	0	0.01224	0
Healthy	6.31915	0	0	0	0	0	0.04874	0	0	0	6.31915	0.31804	0.4936	0	0.13302	0	0	0.04874	0	0
Healthy	0	20.28008	0	0.7634	0.28279	0	0	0.01742	0	0	0	1.24791	0.32437	0	0.42806	0.08119	0.01974	0	0	0
Healthy	2.16791	0.27958	0	0	0.36175	0.08691	0	0	0	0.01282	2.16791	0.67365	0.18274	8.28949	0.21301	0	0	0	0	0.01663
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	44.60152	10.28757	0	1.11619	0.31065	0.04463	0	0	0	0	44.60152	0.27629	0	0.86272	0	0	1.31228	0	0	0
Healthy	44.6447	8.59861	0	0.87961	0.30954	1.3879	0	1.50048	0	0	44.6447	1.10457	0	0.06803	0	0	0.13412	0	0	0
Healthy	0	1.62392	0	0	0	0	0.0586	0	0	0	0	0.03261	1.40782	0	0.2328	3.85851	0	0.0586	0	0
Healthy	0	5.15366	0	0.23793	0.15921	0.05701	0	0.00355	0	1.15388	0	0.04471	3.00802	0	0.39242	0.00058	0.11742	0	0.00579	0.00591
Healthy	0	6.33041	0.88276	0	0	0.04649	0	0.00858	0.02732	0.31519	0	0.11433	0.15216	1.22966	1.00121	0.14273	0.03588	0	0	0.06166
Healthy	0	4.32853	0	0	0	0.26009	0.1002	0	0	0	0	0.15385	0.39885	0	0.12754	0.19515	0.02712	0.1002	0	0
Healthy	56.7831	0	0	0	0	0	0	0	0	0	56.7831	5.77681	0	3.19845	0	0.81232	0	0	0	0
Healthy	2.96841	4.0178	0	0	0	0	0	0	0	0	2.96841	0.25898	5.83452	0	2.84013	0	0	0	0	0
Healthy	0	0	3.66846	0	0	0	0	0	0	2.02445	0	0.35605	0	0	0	0.32966	0.04332	0	0.17018	4.07451
Healthy	0	0	0.121	0	0	0	0	0	0	0	0	1.25114	0	0	2.43898	0.44799	0	0	0.92036	0
Healthy	0	21.21031	0.34649	0	0	0.18828	0.01275	0	0.07178	0	0	0.1005	0.08323	0	0.13568	0	0.20774	0.01275	0.02305	0
Healthy	8.03986	2.14488	2.66719	0	0	0	0	0	0.15842	0	8.03986	0.36132	0.86242	1.01512	0.40834	0	0	0	0	0
Healthy	0.04001	0.72472	0.07952	0.85088	0	0.1986	0	0.06978	0	0.01235	0.04001	1.07663	0.27006	0	0.23597	0	0.06439	0	0	0.00123
Healthy	0	8.27981	0.08088	0	0.15503	0	0.0234	0.00756	0	0	0	2.25541	0.02937	0	0	0	0.07299	0.0234	0	0
Healthy	5.62645	0.38998	0.03375	1.447	0.35896	0.18705	0	0	3.95234	0	5.62645	0.50233	3.90154	0	1.28674	0.12773	0	0	0	0.00189
Healthy	0	1.20878	10.2181	0	0	0	0.00705	0.06999	0	0	0	0.00737	0	0	0.15744	0	0.05826	0.00705	0.01988	0.04164
Healthy	44.97245	9.69106	0	1.07194	0.25917	0.01799	0	0	0	0	44.97245	0.31177	0	0.80514	0	0	1.33726	0	0	0
Healthy	13.0904	9.00838	0.06381	0.62491	0.73037	1.35444	0	0.00124	0.27903	0	13.0904	0.41848	0.48446	0	0.20733	0	0.05911	0	0	0
Healthy	0	14.2955	0.06157	0.60288	0	0.2643	0.11666	0	0	0	0	0.03975	0	0	0	0	0.00889	0.11666	0	0
Healthy	0	4.85341	0	0	0	0.12613	0.27735	0.1094	0	0	0	0.17169	0.07101	0	0.08157	0	0.14954	0.27735	0	0.01123
Healthy	16.1089	1.25469	0	1.44036	0	0.00065	0.00491	0	0	0	16.1089	0.60007	0.36709	0	0.25761	0.0175	0.08893	0.00491	0	0
Healthy	0	1.26871	0	0	0	0	0	0	2.72606	0	0	0.4069	2.07775	0	0.53567	0	0	0	0	0
Healthy	29.5744	1.04566	0	0	0.84185	0	0	0	0	0	29.5744	0.08099	1.01417	2.18475	0.43257	0	0	0	0	0
Healthy	0	7.19544	0	0	0	0.01592	0	0.05044	0.01323	0	0	1.01673	0	0	0	0	0.04979	0	0	0.02943
Healthy	68.4668	0	4.2841	0	0	0	0	0	0	0	68.4668	0	0	0	0	0	0.08548	0	0.03436	0
Healthy	0	10.80823	0	0.92049	0	0	0.01433	0.10707	0.054	0	0	0.41924	0.16832	0.00113	0.32221	0.01667	0.06861	0.01433	0	0
Healthy	0	0	0.24207	0	0	0	0.01751	0	0.27168	0	0	0.10179	0	0	0	0.20553	0.2382	0.01751	0.40084	0.14875
Healthy	0	10.77377	2.0968	0	0	0.26641	0.34626	0.0043	0	0	0	0.02376	0	0	0	0	0.2224	0.34626	0.63302	0
Healthy	0	0.61666	0	0	0	0	0	0	0	0	0	3.65165	0.82993	0	0.88487	0	0	0	0	0
Healthy	0	5.5241	0.09698	0.39279	0.95887	0.01816	0.00946	0.01379	0	0	0	0.58388	0.1047	1.31009	0.26133	0	0.07061	0.00946	0	0
Healthy	0	16.91407	0.02507	1.30125	0	0.00472	0	0	0	0	0	0.31967	0	0	0.01581	0	0	0	0	0
Healthy	0	4.64923	1.49435	0	0	0	0	0	0	0	0	1.06834	0	1.07483	0.83816	0	0	0	0	0
D014607	54.14062	16.46781	0.13498	0.82941	3.34742	0.61479	0.00661	0.01529	0.03878	0	54.14062	0.20108	0	0	0.02486	0	0.00554	0.00661	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0.94071	0	0	0	0	0	0	0	0	0	0.10634	0	0	0.02511	0	0.01016	0	0.15742	0.03884
Healthy	0	9.92768	0	0	0	0	0.00056	0.00725	0	0	0	0.02141	0.03732	0	0.02943	0	0.03172	0.00056	0.00845	0.00592
Healthy	0	0	55.0788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	2.12059	21.54638	0.57325	0	0.82044	0	0	0	0.00839	0	2.12059	3.4149	0	0	0	0	0	0	0	0
Healthy	6.79792	5.53874	0	0	0	0	0.06954	0	0	0.71715	6.79792	9.01518	0.26443	0	0.34818	0.91179	0	0.06954	0	0
Healthy	0	0.00185	33.3132	0	5.3688	0	0	0	0	0	0	0.55036	0.17258	0	0.18999	0	0.04376	0	0	0
Healthy	0	0.57648	5.37164	0	0	0	0	0	0	0	0	0.25141	2.54507	0	0.60366	0	0	0	0	0.35918
Healthy	31.28285	11.64109	0	2.40498	0.12916	1.94449	0	1.21704	0	0	31.28285	0.40435	0	0	0.02905	0	0.09056	0	0	0
Healthy	0	1.15881	0	0.43982	0.15027	0	0.00138	0	0	0	0	0.49241	0.60179	0	0.29519	0.09139	0	0.00138	0	0
Healthy	0	0	1.15581	0	0	0	0	0	0	0	0	0.20743	0	0	0	0	0.00677	0	0	0
Healthy	0.0586	0.02801	0.00483	0	0	0	0	0	0	0.00102	0.0586	1.37903	0.45317	0.00015	0.4357	0.04679	0.00013	0	0.00971	0
Healthy	0	6.33589	26.8642	1.2285	0.12661	0.41728	0	0.0392	1.76167	0	0	1.21669	3.01429	0	0.71833	0.01153	0.01155	0	0	0.0216
Healthy	0	25.13414	0	1.44785	0.89577	0.02694	0.01241	0.0151	0.03379	0	0	0.0538	0.0073	0	0	0	0.00971	0.01241	0	0
Healthy	21.8334	1.43234	0.18994	0.12029	0.05402	0.00668	0	0	0.30472	0	21.8334	0.10851	0.19956	0	0.38947	0.57161	0.00501	0	0	0
Healthy	45.2425	10.10083	0	0.99503	0.25049	0.02943	0	0	0	0	45.2425	0.29819	0	0.87857	0	0	1.28496	0	0	0
Healthy	0	2.82154	1.82775	0.5255	0.22683	0.00079	0	0	0	0.06483	0	0.04036	0.16639	0	2.27022	0.25338	0.01016	0	0	0.01164
Healthy	0	6.86182	0	0	0	0	0	0	0	0	0	2.97291	0	0	0	0	0	0	0	0
Healthy	0	17.3234	0.09832	1.15652	0	0	0.00305	0.0016	0	0	0	0.0859	0.01332	0	0.04375	0	0.17711	0.00305	0.03226	0
Healthy	0	32.21796	0	0.93643	0	0.26179	0.12849	0	0	0	0	0.02481	0.0201	0	0.04747	0	0.16664	0.12849	0	0
Healthy	0.00981	19.83227	9.34072	0.39453	0	0.11803	0.00271	0.07043	0	0.01255	0.00981	0.17879	0.39557	0	0.06503	0	0.02287	0.00271	0.02058	0.04988
Healthy	0	0	0.38656	0	0	0	0.11966	0.00253	0	0	0	0.14083	0.00928	0	0.01191	0	0.13158	0.11966	0.44575	0
Healthy	0	0	2.74432	0	0	0	0.07877	0.0383	0	0.05621	0	1.25518	0	0	0.06956	0	0.45575	0.07877	1.11267	0
Healthy	0	13.62675	0.09232	2.24413	1.5988	0.02118	0.00641	0	0	0	0	0.17724	0.04734	0	0.1027	0.0422	0.16672	0.00641	0	0
Healthy	0.00378	6.54158	5.3394	1.48008	0	0	0.01428	0.01813	0	0.89341	0.00378	0.55596	0.01762	0	0.12309	0	0.02925	0.01428	0.02463	0.10218
Healthy	0	23.59823	0	1.43627	0.77136	0.02461	0.00873	0.02838	0.01788	0	0	0.0681	0.01828	0	0.00329	0.00402	0.00901	0.00873	0	0
Healthy	5.62755	1.31923	0.00681	0	1.06194	0.89575	0.00842	0.00834	0.0004	0	5.62755	0.02935	0.6216	22.5247	0.24514	0.001	0.05635	0.00842	0	0
Healthy	26.4025	0.37341	0	1.30351	2.04582	0.04706	0.08336	0	0	0	26.4025	0.05952	1.08564	1.47114	0.57152	0	0.00715	0.08336	0	0
Healthy	0	2.76763	1.88746	0	0.18981	0	0	0.05407	0.11252	0	0	0.81629	1.43622	0	0.50349	0	0	0	0	0
Healthy	64.6746	1.39526	0	0	0.42302	0	0	0	0	0	64.6746	0.92559	0	0	0.11172	0	0	0	0	0
Healthy	19.2902	4.61983	0	0.71395	0	0	0	0	0	0	19.2902	0.06038	0.97938	0	0.66603	0.02287	0	0	0	0
Healthy	0	0	2.54476	0	0	0	0.06262	0.03517	0	0.05726	0	1.4595	0	0	0.0708	0	0.38809	0.06262	1.42773	0
Healthy	0	0.71322	0	1.15119	1.02811	0	0	0	0	0	0	0.78863	1.09596	0	0.65927	0.3539	0	0	0	0
Healthy	0	6.33976	0.02159	1.32887	0	0.04851	0	0	0.06187	0	0	0.75001	0.12368	0	0.17479	0.17004	0.00902	0	0	0
Healthy	33.229	5.13345	0	1.28332	0.89632	2.23811	0.0624	1.45753	0	0	33.229	0.17982	0	0	0	0	0.37301	0.0624	0	0
Healthy	0	17.45545	0.04198	1.10504	0	0	0.00294	0.00154	0	0	0	0.08724	0.00512	0	0.04838	0	0.13614	0.00294	0.049	0
Healthy	1.63861	5.85943	0	0	0.0323	0.06231	0.04305	0	0	0	1.63861	0.02415	0.01327	0	0.01696	0.03656	0.00925	0.04305	0	0
Healthy	0	15.5661	0.13218	0.94826	0	0	0.0078	0.11107	0	0	0	0.24453	0.19987	0	0.36115	0	0.17474	0.0078	0	0
Healthy	0.02165	2.42525	0.20678	0.41661	0.25658	0	0.0461	0	0.38224	0	0.02165	0.85903	0.77112	0	0.67249	0.08566	0	0.0461	0	0
Healthy	0	15.48183	0	0.64273	0	0	0	0.03259	0	0	0	1.62957	0	0	0	0	1.1756	0	0.02063	0
Healthy	0	11.63406	2.24934	0	0	0.28592	0.38935	0.01931	0	0	0	0.04984	0	0	0	0	0.22674	0.38935	0.63739	0
