f	Bacteroidaceae	Lachnospiraceae	Ruminococcaceae	Rikenellaceae	Bifidobacteriaceae	Marinifilaceae	Streptococcaceae	Selenomonadaceae	Coriobacteriaceae	Enterobacteriaceae	Lactobacillaceae	Pasteurellaceae	Coprobacteraceae	Desulfovibrionaceae	Veillonellaceae	Eggerthellaceae	Peptostreptococcaceae	Micrococcaceae	Dialisteraceae	Methanobacteriaceae	Acidaminococcaceae
Healthy	1.55696393400083	0.930982632957629	1.43494188581265	1.06594812991886	-5	0.14447768699984	-0.846063245539065	-5	-1.78727984558216	-5	-5	-5	-5	-1.43168091490489	-5	-5	-5	-5	-5	-5	-5
Healthy	1.27546131576099	0.663210772256511	0.554371636252344	0.951375894353253	-5	-5	-0.669342765288606	-5	-5	0.804400475980121	-5	-5	-1.27351730321517	-0.183427303973897	-5	-5	-5	-5	-5	-0.262688062010375	0.00220927298801476
Healthy	1.39716209898583	0.518965108499921	-0.159498701709034	1.20753338824139	-5	-5	-5	-5	-0.991357252434715	-5	-5	-5	-5	-1.24123945609002	-5	-5	-5	-5	-5	-5	-5
Healthy	1.49551658621369	1.38272503194164	0.0216068482110759	-0.622711966364296	-1.02122621566988	0.014293671949801	-5	-5	-1.15851539066461	-5	-5	-5	-0.638933550246058	-1.57528166266843	-5	-5	-5	-5	-0.228280266826629	1.19431477032722	-1.93404701968613
Healthy	1.50486419997644	1.10938143304344	0.0385963207931104	0.480972246500199	-5	-5	-5	-5	-5	1.21513266374785	-5	-5	-0.811380832792151	-5	-5	-5	-0.45143861810245	-5	-5	-0.48537256758866	-5
Healthy	1.86838348948559	0.607349921956901	0.393483947973508	0.177146758624016	-0.65380355627079	-5	-1.20453710560962	-5	-5	0.223698374168054	-5	-5	-5	-1.0073581301216	-5	-5	-5	-5	-5	-5	-5
Healthy	1.04513709227305	1.77027099352016	0.473172996720667	-5	-5	-5	-0.938698343793955	-5	-5	-5	-5	-5	-5	-5	-0.0579869836405412	-5	-5	-5	0.628762773290026	0.506717392419689	-5
Healthy	1.74525737558798	0.475268662137219	0.342472029664019	0.926392871256541	-0.207181230830761	-0.00246945725840384	-5	-5	-0.719763190390311	-1.54760015408856	-5	-1.9734667354767	-5	-0.998699066979582	-0.650955713397964	-5	-5	-5	0.80006033001252	-5	-5
Healthy	0.899410628259633	1.20174796898831	0.415457483406035	0.207173711781878	1.35339280128144	-5	1.1958479212595	-5	0.451102996833693	0.243191885767495	-5	-5	-5	-5	-5	-5	-5	-5	0.379401614039029	0.0200254863257827	-5
Healthy	1.54821959852132	1.17840854131628	0.329745582554248	0.760112485603433	0.703513198641274	-0.226637820770666	-0.472524771587791	-5	0.239269440429388	0.811834968573133	-0.882165481456253	-1.46218090492673	-5	-1.43937612545007	-2.32422165832591	-5	-1.32385531964379	-2.82390874094432	-5	-5	0.335862919556807
