group	Enterobacterales	Lactobacillales	Erysipelotrichales	Actinomycetales	Veillonellales	Coriobacteriales		Bacteroidales	Lachnospirales	Actinomycetales	Enterobacterales	Veillonellales	Verrucomicrobiales	Burkholderiales	Erysipelotrichales	Coriobacteriales	Peptostreptococcales
Healthy	0.24621	0.03125	0.1551	0.50648	0.01651	0.27859		33.30529	20.27504	0.50648	0.24621	0.01651	0	1.2693	0.1551	0.27859	0.03226
Healthy	0	0	0.56566	0.11493	0	0.14886		69.58044	1.00013	0.11493	0	0	0	0.0624	0.56566	0.14886	0
Healthy	0.04198	0.02956	0.0243	0.09615	0	0.05215		77.68829	0.6717	0.09615	0.04198	0	0	0.07281	0.0243	0.05215	0
Healthy	0.03656	0.0161	0	0.00498	0.0072	0		61.68826	19.14931	0.00498	0.03656	0.0072	0.6598	0.05142	0	0	0
Healthy	0.13218	0.29615	0.00486	12.13953	0.00213	1.61836		56.32307	6.12314	12.13953	0.13218	0.00213	0	0.0078	0.00486	1.61836	0
Healthy	0.29244	0.31688	0	0.20582	0.0216	0.08121		54.50758	23.11718	0.20582	0.29244	0.0216	0	0.0461	0	0.08121	0.33346
Healthy	0	0.02025	0	0	0	0.06576		43.3074	2.7656	0	0	0	0	0.11856	0	0.06576	0
Healthy	2.24934	0	0	0	0	0		72.56282	2.56661	0	2.24934	0	0	0.38935	0	0	0
Healthy	0	0	0	3.41848	0.31288	0		22.69552	2.54508	3.41848	0	0.31288	0	0	0	0	0
Healthy	0.95059	0.56117	12.33642	0	0.06109	2.23707		19.20653	37.05151	0	0.95059	0.06109	0	0	12.33642	2.23707	0.62159
Healthy	0.06129	0.08341	0.01058	0	0.00798	0.16171		61.23649	21.07635	0	0.06129	0.00798	0	5.13042	0.01058	0.16171	0
Healthy	0.08635	0.05612	0.04521	0	0	0.19611		61.52382	20.93701	0	0.08635	0	0	5.22325	0.04521	0.19611	0
Healthy	6.53906	0	0	0.018	9.44246	0.02368		61.23341	2.18098	0.018	6.53906	9.44246	0.79293	1.43392	0	0.02368	0
Healthy	0.80726	0.47816	0.07757	0.73847	0.15883	0		60.29015	7.5361	0.73847	0.80726	0.15883	5.96611	2.31024	0.07757	0	0
