group	Streptococcus	Ruminococcus_B	Clostridium_Q	Longicatena	Muricomes	Eisenbergiella	Schaedlerella	Erysipelatoclostridium	Gordonibacter	Eggerthella	Prevotella	Ruminococcus_H	Barnesiella	Mediterraneibacter	Anaerobutyricum	Blautia_A	Parasutterella	Clostridium_Q	Muricomes	Anaerotruncus
Healthy	0.00441	0	0	0	0	0	0	0	0	0	40.4897	0.07529	0.04919	0.58787	0.22621	0.1772	0	0	0	0
Healthy	0.00552	0	0	0	0	0	0	0	0	0	0	0.96809	3.20915	0	0.02999	0.03083	0.23778	0	0	0
Healthy	0.04713	0.00185	0	0.00235	0	0	0	0	0	0	0	0.65772	4.11412	0.26184	0	0.00565	0	0	0	0
Healthy	0.04653	0.0157	0.01224	0.01801	0	0	0.00194	0	0.00348	0	3.81452	2.3538	0.52356	0.00798	0.42331	0.29976	0	0.01224	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	6.31915	0	0.15386	0.31804	0.4936	0.13302	0.04874	0	0	0
Healthy	2.16794	0	0	0	0	0	0	0	0	0	0	1.63394	5.44263	1.24791	0.32437	0.42806	0	0	0	0
Healthy	0	0	0	0	0.01663	0.08333	0	0	0	0	2.16791	5.97462	0.24568	0.67365	0.18274	0.21301	0	0	0.01663	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0.04301	0	0	0	0	0	0	0	0	0	44.60152	0	0.74068	0.27629	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	44.6447	0.00984	3.25057	1.10457	0	0	0	0	0	0
D015212	0.12744	0	0.00448	0.17886	0.02531	0.01278	0.0794	0.09466	0	0.03004	0	0	0	0.05028	0.7278	1.77464	0.00869	0.00448	0.02531	0
Healthy	0.9221	0	0	0	0	0	0	0	0	0	0	1.33345	0	0.03261	1.40782	0.2328	0.0586	0	0	0
Healthy	0.15545	0.8993	0.00579	0.59191	0.00591	0.05218	0.25763	1.22214	0.08424	0.0022	0	13.6181	0.62205	0.04471	3.00802	0.39242	0	0.00579	0.00591	0.16946
Healthy	0.38092	0.57964	0	0.07364	0.06166	0	0	0.04188	0.01546	0.0161	0	4.71234	0	0.11433	0.15216	1.00121	0	0	0.06166	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	6.0794	0	0.15385	0.39885	0.12754	0.1002	0	0	0
D015212	0.04024	0.04126	0.05562	1.24638	0.03544	0.02344	0.10277	0.02973	0.0098	0.014	0	0	0	0.00305	0.72242	0.13889	0.00328	0.05562	0.03544	0.03
Healthy	0.8025	0	0	0	0	0	0	0	0	0	56.7831	4.21521	0.20778	5.77681	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	2.96841	0	4.13991	0.25898	5.83452	2.84013	0	0	0	0
Healthy	1.28005	27.9887	0.17018	0.07394	4.07451	0	0	0	0	0.03904	0	0	0	0.35605	0	0	0	0.17018	4.07451	0
Healthy	0.20985	16.5662	0.92036	0.00254	0	0	0	0.05781	0	0.13451	0	0	0	1.25114	0	2.43898	0	0.92036	0	0
Healthy	0.0582	0	0.02305	0.02371	0	0	0	0	0	0	0	2.11964	2.14547	0.1005	0.08323	0.13568	0.01275	0.02305	0	0.05211
Healthy	16.77604	0	0	0	0	0	0	0	0	0	8.03986	1.28553	0	0.36132	0.86242	0.40834	0	0	0	0
Healthy	0.17892	0.0303	0	0	0.00123	0	0	0	0	0	0.04001	0	0	1.07663	0.27006	0.23597	0	0	0.00123	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	5.52631	2.67909	2.25541	0.02937	0	0.0234	0	0	0
