group	Enterobacteriaceae	Veillonellaceae	Lactobacillaceae	Erysipelatoclostridiaceae	Micrococcaceae		Akkermansiaceae	Burkholderiaceae	Methanobacteriaceae	Coriobacteriaceae	Acidaminococcaceae	Erysipelotrichaceae	Erysipelatoclostridiaceae	Veillonellaceae	Pasteurellaceae	Peptostreptococcaceae
Healthy	1.79721	0	0	0	0		0	0.06696	0	0	0	0.02595	0	0	0	0
Healthy	0	0.21553	0	0	0		0.69377	0.00362	0	0.21112	0	0	0	0.21553	0	0.20544
Healthy	0.03177	0	0	0	0		12.3504	0.11739	0	0.03176	0	0.00781	0	0	0	0
Healthy	5.33933	0	0	0	0		5.12023	5.95538	0.54418	0	0.29827	0	0	0	0.00728	0
Healthy	0.50252	0	0	0	0		0.14545	0.00293	0	0.74854	0.06687	0.52419	0	0	0	0
Healthy	0.06854	0.02628	0.00431	0.16383	0		0	0.00066	0	0	0	0.05298	0.16383	0.02628	0.09878	0
Healthy	0	0	0	0	0		1.67518	6.45037	0.24888	0	1.68323	0	0	0	0	0
Healthy	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	0.16819	0.00976	0	0	0		0.87803	0.14799	0.94585	0	0	0.00557	0	0.00976	0	0
Healthy	0	0.01316	0.01273	0	0.00254		0	0.86213	0	0.59238	1.61096	0.03077	0	0.01316	0	0.14257
Healthy	0.77609	0.78312	0	0	0		0	0	0	0	0	0	0	0.78312	0	0
Healthy	0.00672	0.00199	0	0	0		0.00032	0.22029	0	0.07111	0	0.02119	0	0.00199	0.00574	0
Healthy	0	0	0	0	0		0	0.03347	0	0	0	0.00749	0	0	0	0
Healthy	0.32465	0.00441	0	0	0		1.83282	1.81278	0	0.43663	3.84463	1.48201	0	0.00441	0.00188	0.0005
Healthy	0	0.08596	0	0	0		5.82674	2.33934	0	0	0.26043	0.06644	0	0.08596	0.7776	0
Healthy	0	0	0	0	0		0	1.44712	0	0.52109	0	0.18432	0	0	0	0.02075
Healthy	0	0	0	5.00368	0		0	0	0.64383	0	0.13631	2.67906	5.00368	0	0	0
Healthy	0	0.03605	0	0	0		0	0.06726	0	0.00539	0	0.06627	0	0.03605	0.32129	0.15627
Healthy	0	0	0.0243	0	0		0	0.10798	0	2.6665	0	0.13293	0	0	0	0
Healthy	10.2792	0	0	0	0		43.4724	0.30043	0	1.31779	0	0.13948	0	0	0	0
Healthy	0	0.02171	0	0	0		0.03469	2.817	0	0.04025	0	0.00218	0	0.02171	0.10061	0.0079
Healthy	0	0.09462	0.05484	0.38321	0		0	0	0	0.12091	2.27477	2.25374	0.38321	0.09462	0.1786	0
Healthy	0.02306	0.05051	0.08794	0	0.00028		0	0.32375	0	0	0	0.02658	0	0.05051	0.31579	0
Healthy	0.1535	0.00416	0	0	0		0.63493	0.63109	0.68638	0.26266	2.65359	6.99111	0	0.00416	0	0
Healthy	0.32002	0.35686	0.15323	0	0		0.03989	0.04169	0	0.06391	0	0.17487	0	0.35686	0.27083	0.01532
Healthy	0.00675	0.04856	0	0	0		0	0.36764	0	0	0	0.04409	0	0.04856	0.10494	0
Healthy	0	0	0	0	0		0.04755	0.83322	0	0.10602	3.62986	1.27333	0	0	0	0.06537
Healthy	0	0	0.00784	0	0		0.89222	2.23462	0	0	0	0.02267	0	0	0	0.0115
Healthy	0	0	0	1.01754	0		0.00828	0	0.65232	0	0	0.67306	1.01754	0	0.03779	0.09801
Healthy	4.05791	0	0	0.00257	0		0	0	0	0.0029	0.94659	0.134	0.00257	0	0.00324	0
Healthy	0.06093	0	0	0.52483	0		0	0.02525	0.01411	0.1261	0	0	0.52483	0	0	0
Healthy	1.58967	0	0.02227	0	0		10.2982	0.25774	0.58046	0.24638	0	0.63958	0	0	0.00321	0.03777
Healthy	0	0.09326	0	1.69259	0.25219		0	0	3.28183	1.21051	5.59783	7.85353	1.69259	0.09326	0.40844	2.2151
Healthy	0	0	0	0	0		0	6.01844	0	0.02509	0	0	0	0	0	0
Healthy	0.21949	0	0	0	0.00164		0	0.08297	0.20356	1.35987	0	0.02318	0	0	0	0
Healthy	0.09903	0.12044	0	0	0		0.03792	1.54425	0.07783	0.34311	0	1.27484	0	0.12044	0.00297	0
Healthy	0	0.09329	0	2.81525	0.00719		0	0	0.0354	2.10498	0.32028	10.1207	2.81525	0.09329	0.0753	1.24703
Healthy	0.09194	0	0	0	0		12.3729	0.13831	0	0.06188	0	0	0	0	0	0
Healthy	1.75244	0	0	0	0		0	0.98994	0	0	1.28601	0.02979	0	0	0.00663	0.03032
Healthy	0	0.0917	0.17341	0	0		0.00277	1.49689	0	1.08668	0	0	0	0.0917	0	0
Healthy	0.06126	0	0	0	0		0.70351	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0		1.23746	0	0	1.80325	0.27572	0	0	0	0	0
Healthy	0.03357	0.02405	0	0.27432	0		0	0	0	0.01862	3.9126	0.46132	0.27432	0.02405	0	0.37331
Healthy	0	0	0	0.07512	0		0	0	0.09233	0.58449	0.07944	0.13173	0.07512	0	0	0
Healthy	0	1.7791	0	0	0		0	0	6.53455	0	0	0	0	1.7791	3.11775	0
Healthy	0.1379	0.02851	0	0	0		0.10576	0.56031	0	0.05074	0	0.18382	0	0.02851	0	0.05455
Healthy	0	0.04973	0	0	0		0	2.29366	0	0.10742	3.90432	0.01604	0	0.04973	0.8832	0
Healthy	0.25725	1.05939	0	0	0		0	0.02592	0	0.23506	0	0.08464	0	1.05939	0	0
Healthy	0	0.01162	0	0.22449	0		0.11581	0.89833	6.73	0	0	0.00342	0.22449	0.01162	0.01154	0.01811
Healthy	0	0	0	0	0		0	0.1559	0	0	0	0.29707	0	0	0	0
Healthy	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	0.43749	0.03376	0.04242	0.05964	0		0	0.38966	0	0	0	0.11423	0.05964	0.03376	0.00061	0.00252
Healthy	0.09323	0.01978	0	0	0		0	1.51147	0.20474	0.20445	0	0.01542	0	0.01978	0.03129	0
Healthy	0	0.00961	0	0	0		0.2178	0.01562	0	0.2881	0	0.76407	0	0.00961	1.34731	0.31638
Healthy	0	0	0	0	0		0	0.00297	0	0.25558	0	0	0	0	0	0.2142
Healthy	0.09307	0	0	0.49986	0		0	0.0279	0.01774	0.16083	0	0	0.49986	0	0	0
Healthy	0	0	0	0	0		22.8919	0.01838	1.96453	0.45095	2.43258	0.299	0	0	0	0
Healthy	1.60547	0.03581	0	0	0		0	0.0386	0	0.09204	0.02727	0.23297	0	0.03581	0.08277	0.13173
Healthy	0	0	0	6.1286	0		0.31809	0	3.37489	0	0	1.28671	6.1286	0	0	0.60065
Healthy	0	0.52921	0	0	0		8.57815	0.32791	0	0.06604	0	0	0	0.52921	0	0
Healthy	0.09818	0	0	0	0		0	0.14634	0	0	0	0.03309	0	0	0	0
Healthy	0.10716	0	0	0.01756	0		0	0.33167	0	0.51228	0	0	0.01756	0	0	0
Healthy	0.72001	0.07498	0	0	0.00073		0.07407	0.05758	0	0.84728	0	0.27483	0	0.07498	0.64406	0.00386
