group	Phytobacter_ursingii	Streptococcus_sp001556435	Streptococcus_parasanguinis_D	Ruminococcus_B_gnavus	Clostridium_A_leptum	Streptococcus_thermophilus	Streptococcus_sp004166885	Rothia_sp001808955	Eggerthella_lenta	Longicatena_innocuum	Anaerobutyricum_hallii_A	Blautia_A_wexlerae	Streptococcus_sp001556435	Parabacteroides_johnsonii	Dorea_formicigenerans	Paraprevotella_clara	Anaerostipes_hadrus_A	Ruminococcus_C_callidus	Paraprevotella_xylaniphila	Enterocloster_sp000155435
Healthy	0.38656	0	0	0.00801	0.39264	0.20842	0	0	0	0	0.00928	0	0	0	0	0	0.01594	0	0	0.0023
Healthy	2.74432	0	0	0.02072	0.04091	0.07356	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21244
Healthy	0.09232	0.00378	0.00258	0	0	0	0	0	0	0	0.04734	0.1027	0.00378	0.06277	0	1.18681	0	0	0.41199	0
Healthy	5.3394	0.00982	0.00291	0.00157	0.04056	0	0	0.00036	0	0.00306	0.01762	0.11723	0.00982	0	0.00505	0	0.03669	0	0	0.02238
Healthy	0	0	0	0	0	0	0	0	0	0	0.01828	0.00329	0	0	0	0.64304	0	0.01788	0.12832	0
Healthy	0.00681	0.065	0.02824	0	0.0976	0	0.00564	0	0	0	0.6216	0.24514	0.065	0	0.50902	0.84451	0.04129	0.0004	0.21743	0
Healthy	0	0.07603	0.01359	0.037	0.00058	1.50261	0.00084	0	0	0	1.08564	0.57152	0.07603	0.04616	0.68709	0	0.01205	0	2.04582	0
Healthy	1.88746	0	0	0	0	0	0	0	0	0	1.43622	0.50349	0	0	0.05316	0.18981	0.22131	0.11252	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0.11172	0	0	0	0	0	0	0.42302	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.97938	0.66603	0	0	0.70136	0	0.50929	0	0	0
Healthy	2.54476	0	0	0.02249	0.04359	0.09803	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2032
Healthy	0	0.49377	0.09066	0	0	0.06687	0	0	0	0	1.09596	0.65927	0.49377	0	0.4027	0.9108	0.00599	0	0.11731	0
Healthy	0.02159	0.01385	0.0174	0	0.01383	0	0	0	0	0	0.12368	0.17479	0.01385	1.07733	0.07206	0	0.0336	0.06187	0	0
Healthy	0	0	0	0	0.07405	0	0	0	0	0	0	0	0	0	0	0.7195	0	0	0.17682	0
Healthy	0.04198	0.0208	0.00876	0.08768	0.12658	0	0	0	0	0	0.00512	0.04838	0.0208	0	0	0	0	0	0	0
Healthy	0	0	0	0	0.00883	0	0	0	0	0	0.01327	0.01696	0	1.05365	0.02212	0	0	0	0.0323	0
Healthy	0.13218	0.2447	0.00486	0.02744	0.12458	0	0	0	0.01249	0.00486	0.19987	0.36115	0.2447	0	0.1375	0	0.03714	0	0	0
Healthy	0.20678	0.31562	0.00126	0.03811	0	0	0	0	0	0	0.77112	0.67249	0.31562	0.10245	0.17711	0.25137	0.03981	0.38224	0.00521	0
Healthy	0	0	0	0	0.13817	0.02025	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	2.24934	0	0	0	0	0	0	0	0	0	0	0	0	21.0303	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0.92595	0.38106	0.00708	0	0	0	0	0	0	0.11357	5.61766	2.3284	0.38106	0	10.386	0	0.44808	0.74382	0	0
Healthy	0	0.03432	0.04909	0	0	0	0	0	0	0	0	0.13979	0.03432	0	0.03446	0	0	0	0	0
Healthy	0	0.03532	0.0208	0	0	0	0	0	0	0	0	0.122	0.03532	0	0.0268	0	0	0	0	0
Healthy	6.53906	0	0	0	0	0	0	0	0	0	0	0.00957	0	0.04649	0	0	0	0	0	0
Healthy	0	0.09997	0.07003	0	0	0.26878	0	0	0	0	0	0	0.09997	0	0.00369	0	0.00482	0.00218	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.04986	0.01045	0	0	0	0	0	0	0	0
Healthy	2.25779	7.69814	0.69733	0.9565	0	0.04136	0.01819	0	0	0.09192	0	0.01188	7.69814	6.51039	0	0	0	0	0	0.01345
Healthy	0	0.36728	0	0	0	0	0	0	0	0	1.04451	2.54985	0.36728	0.2378	0.45244	0	0.1792	0	0	0
