group	Gammaproteobacteria	Desulfovibrionia		Bacteroidia	Clostridia	Gammaproteobacteria	Verrucomicrobiae	Bacilli	Methanobacteria	Desulfovibrionia	
Healthy	0.38901	0.07482		70.56182	10.29137	0.38901	0.14766	0.00552	0.0539	0.07482	
Healthy	0.16367	0		64.07224	31.97915	0.16367	0	0.04243	0	0	
Healthy	1.5313	0		83.56988	3.07896	1.5313	0.83505	0.05424	0	0	
Healthy	2.8125	0.05661		37.34462	47.58903	2.8125	0.00071	0.07124	0	0.05661	
Healthy	0.04874	0		20.76636	46.68091	0.04874	0	11.24847	0	0	
Healthy	0.11785	0.11021		13.76706	30.58217	0.11785	0	0.11229	0	0.11021	
Healthy	8.07395	0		46.47794	26.44987	8.07395	0.02587	0.60722	0	0	
Healthy	0.54305	0.01742		49.42088	32.10056	0.54305	0	3.8281	0	0.01742	
Healthy	0.02496	0.01113		45.03545	27.14749	0.02496	1.81914	0	9.02686	0.01113	
Healthy	0.04642	0.01529		7.28498	67.15059	0.04642	0	1.13999	3.78245	0.01529	
Healthy	0.41786	0.066		81.27551	9.21369	0.41786	0	0.13624	0	0.066	
Healthy	10.18708	0.73443		13.21373	6.314	10.18708	43.4397	0.17547	0	0.73443	
Healthy	1.36805	0		53.02912	27.46917	1.36805	1.87694	0	0	0	
Healthy	1.84029	0.02349		12.07781	63.16396	1.84029	0	2.54003	0	0.02349	
Healthy	0	0		3.61561	75.1473	0	0	0	0	0	
Healthy	0.11483	0.31288		65.94451	7.72351	0.11483	10.5195	0.07386	0	0.31288	
Healthy	0	1.50048		77.56292	9.8679	0	0	0.30044	0.09708	1.50048	
D001528	1.31694	0.028		69.16648	6.86225	1.31694	0	0.01643	0	0.028	
Healthy	0.04694	0		29.81266	39.85001	0.04694	0	10.42887	0.67796	0	
Healthy	3.91711	0		22.77193	22.14707	3.91711	0	1.86789	0	0	
Healthy	0.39918	0.01044		76.63304	6.85786	0.39918	0	0.09797	0	0.01044	
Healthy	1.00813	0		45.48252	24.07003	1.00813	0	0.71156	0	0	
Healthy	0.41691	0.00355		10.42839	52.22403	0.41691	6.51919	2.37947	0	0.00355	
Healthy	0.0414	0.08483		66.78557	10.76554	0.0414	0.63345	0.03241	0	0.08483	
Healthy	2.88335	0.01117		44.35637	38.38682	2.88335	0.00699	0.87812	1.82276	0.01117	
Healthy	0.29535	0		50.42891	40.68505	0.29535	0	0	0	0	
Healthy	0.48382	0		63.94943	26.29315	0.48382	0	0.12761	0	0	
Healthy	2.9113	0		30.0198	4.44671	2.9113	0	32.73426	0	0	
Healthy	0	0		61.69048	10.27166	0	0	0.24703	0	0	
Healthy	0.81232	0		57.9843	26.52187	0.81232	0	2.60774	0	0	
Healthy	0.09599	0.19699		5.40398	64.31868	0.09599	0	0.96391	3.42295	0.19699	
Healthy	0.6764	0		19.00735	41.09663	0.6764	0	14.02652	3.06148	0	
Healthy	4.21267	0		0	35.21632	4.21267	0	1.64296	0	0	
Healthy	1.47275	0.01015		45.86689	27.91366	1.47275	0	0.17983	0	0.01015	
Healthy	0.02892	0		72.28686	19.18823	0.02892	0	0	0	0	
Healthy	2.59823	0		22.0643	31.40078	2.59823	0	0.29067	0	0	
Healthy	0.2694	0.13413		44.13677	11.44158	0.2694	7.1259	0.18017	0	0.13413	
Healthy	0.24799	0		15.68105	66.50543	0.24799	0.00548	1.94967	0	0	
Healthy	0.59653	0		92.17976	3.09498	0.59653	1.8733	0	0	0	
Healthy	0.35924	0.66408		45.26359	6.64172	0.35924	0.13239	0.54845	0	0.66408	
Healthy	7.45975	0		61.21567	13.51689	7.45975	0	0.02539	0	0	
Healthy	2.71161	0		18.16766	9.18061	2.71161	0	21.27618	0	0	
Healthy	3.19333	0.1381		45.81514	13.41177	3.19333	0	0.15116	0.07196	0.1381	
Healthy	0.07952	0.06978		63.72663	18.60734	0.07952	0	0.17892	0	0.06978	
Healthy	0.52274	0		11.94756	47.19961	0.52274	0.69784	0.29905	1.31778	0	
Healthy	0.15017	0		60.09151	23.67351	0.15017	0	3.37988	0	0	
Healthy	0.10428	0.00756		31.15761	12.84356	0.10428	0.03307	0.02407	0	0.00756	
Healthy	0.31866	0		21.40224	35.43325	0.31866	0	5.08692	0	0	
Healthy	0	0		6.10528	35.0942	0	0	0.07046	0	0	
Healthy	10.50216	0.45505		13.2891	6.40872	10.50216	43.9894	0.13551	0	0.45505	
Healthy	0.04867	0		84.30083	6.49942	0.04867	0	0.22781	0	0	
Healthy	0.2106	0.1039		39.73911	26.65133	0.2106	2.98314	0.57817	1.67696	0.1039	
Healthy	0.09557	0.33848		65.75268	7.82485	0.09557	10.41	0.06869	0	0.33848	
Healthy	0.27484	0.0425		56.41676	5.38511	0.27484	0	0.25247	0	0.0425	
Healthy	3.08931	0.13362		46.58744	13.49291	3.08931	0	0.10707	0.05882	0.13362	
Healthy	0.16428	0.77618		59.46027	6.12905	0.16428	4.66138	0.00942	0.16213	0.77618	
Healthy	0.86782	0.0132		56.5792	22.03842	0.86782	0	0.37228	0	0.0132	
Healthy	2.57426	0.00124		46.11877	26.40525	2.57426	0.10078	0.85784	0	0.00124	
Healthy	0.00203	0		97.67362	0.00089	0.00203	0.00431	0.23432	0	0	
Healthy	0.17823	0		70.63059	3.28311	0.17823	0	0.02247	0	0	
Healthy	0.8243	0		45.27481	20.80519	0.8243	3.29025	0.1106	2.94825	0	
Healthy	0.01818	0.65749		29.47014	14.01587	0.01818	23.1101	0.31626	2.14605	0.65749	
Healthy	0.27735	0.1094		44.41535	11.05421	0.27735	7.09147	0.17455	0	0.1094	
Healthy	0.02241	0		36.30805	42.33858	0.02241	0	5.2092	0.02465	0	
Healthy	0	0		18.17723	55.66819	0	0	0	0	0	
Healthy	0	0		42.50091	40.80151	0	0	1.96262	0	0	
Healthy	1.24412	0		85.49418	10.62527	1.24412	0	0	0	0	
Healthy	0.17416	0.05044		63.68496	16.35226	0.17416	0	0.04651	0	0.05044	
Healthy	4.2841	0		92.81289	2.18622	4.2841	0.55019	0.01292	0	0	
Healthy	4.1579	0		92.94877	2.19771	4.1579	0.55513	0	0	0	
Healthy	2.56184	0.10707		49.73983	32.41273	2.56184	0.38836	0.50817	0	0.10707	
Healthy	0.3374	0.07095		76.96651	6.63736	0.3374	0	0.14595	0	0.07095	
Healthy	2.50738	0		45.9343	25.40455	2.50738	0.10918	0.77947	0.00287	0	
Healthy	0.07875	0		74.91638	11.4144	0.07875	0.2125	0	0	0	
Healthy	2.5813	0		51.54426	43.83014	2.5813	0	0.10367	0	0	
Healthy	0.20324	0		66.92907	7.64717	0.20324	0	0.2637	0	0	
Healthy	0.46694	0		11.35751	62.3889	0.46694	0	0.32166	0	0	
Healthy	0.14013	0		33.89588	50.40328	0.14013	0	1.99244	0	0	
Healthy	1.64109	0.09375		86.92476	7.17314	1.64109	0	0.16887	0	0.09375	
Healthy	2.44306	0.03142		71.0787	3.46566	2.44306	0	0	0	0.03142	
Healthy	0	0		26.51604	46.10202	0	0	0	0	0	
Healthy	6.19712	0.0062		34.73166	23.64598	6.19712	0	3.99975	0.08105	0.0062	
Healthy	0.72719	0.08154		14.1769	69.4009	0.72719	0.09373	1.54894	0.18576	0.08154	
Healthy	0.53971	0.55816		58.04866	8.75437	0.53971	8.71159	0	0	0.55816	
