group	Dialister	Ruminococcus_B	Dorea	Longicatena	Anaerostipes	Intestinibacter	Adlercreutzia	Anaerotruncus	Gordonibacter	Eggerthella	Agathobacter	Ruminococcus_H	Roseburia	Mediterraneibacter	Enterocloster	Anaerobutyricum	Collinsella	Bariatricus	Blautia_A	Dorea
Healthy	0	0	0.00989	0	0	0	0	0	0	0	1.98558	0.00984	0.52164	1.10457	0.37487	0	0.63218	0.04993	0	0.00989
Healthy	0.19855	0	0.01748	0	0.59193	1.16392	0.0955	0	0	0	7.84389	1.33345	2.89841	0.03261	0.28899	1.40782	0.3371	0	0.2328	0.01748
Healthy	0	0.8993	0.04477	0.59191	1.72021	0	0.40741	0.16946	0.08424	0.0022	0.41305	13.6181	9.34309	0.04471	1.12486	3.00802	1.97032	0.79959	0.39242	0.04477
Healthy	0	0.57964	0	0.07364	0.74149	0.28618	0.15492	0	0.01546	0.0161	8.17556	4.71234	1.55626	0.11433	0.98337	0.15216	0	0.81399	1.00121	0
Healthy	0	0	0.13158	0	0.15794	0.05986	0.01904	0	0	0	23.3399	6.0794	1.56946	0.15385	0.41058	0.39885	0.31569	0.51643	0.12754	0.13158
Healthy	0	0	0	0	0	0	0	0	0	0	0.96796	4.21521	1.6611	5.77681	0.07476	0	0	0.02666	0	0
Healthy	0	0	2.54844	0	2.42031	0	0.51527	0	0	0	0	0	5.87948	0.25898	2.01212	5.83452	3.24867	0.26241	2.84013	2.54844
Healthy	0.05242	27.9887	0	0.07394	0	0.01366	0	0	0	0.03904	0	0	0	0.35605	0.44703	0	0	0	0	0
Healthy	0	16.5662	0	0.00254	0	0.17413	0	0	0	0.13451	0	0	0	1.25114	1.09541	0	0	0	2.43898	0
Healthy	2.97255	0	0.01852	0.02371	0.00936	0	0	0.05211	0	0	0	2.11964	0	0.1005	0.08203	0.08323	0.6914	0	0.13568	0.01852
Healthy	0	0	0.79977	0	0	0	0	0	0	0	2.0672	1.28553	1.95372	0.36132	0.19451	0.86242	2.27129	0	0.40834	0.79977
Healthy	0	0.0303	0.17601	0	2.43132	0	0.11806	0	0	0	0.02483	0	1.08866	1.07663	0.11559	0.27006	0	0.33604	0.23597	0.17601
Healthy	12.9858	0	0	0	0	0	0	0	0	0	0	5.52631	1.58347	2.25541	0.05055	0.02937	1.0791	2.12341	0	0
Healthy	4.58123	0	1.05475	0.00403	0.40929	0.25	0	0.03246	0	0.00776	0.12807	0.00231	4.14852	0.50233	3.12286	3.90154	4.32512	0.98779	1.28674	1.05475
Healthy	2.60171	0	0	0.10487	0	0	0	0	0.14118	0.01097	0	1.95838	0	0.00737	0.08032	0	1.19682	0	0.15744	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.33764	0	1.42881	0.31177	0.04111	0	0.28366	0.09443	0	0
Healthy	5.94604	0	0.22893	0	0.37965	0	0.04004	0	0	0	1.35048	0.07926	1.89802	0.41848	0.28181	0.48446	0.7939	0.36895	0.20733	0.22893
Healthy	5.89113	0.55343	0.00637	0.02247	0	0	0.00233	0	0	0	0.81193	0	0	0.03975	0.01072	0	0	0	0	0.00637
Healthy	17.7048	0.00856	0.01205	0	0	0.00258	0	0.20305	0.02894	0	3.22329	4.46956	0.45649	0.17169	0.17447	0.07101	0.67999	0.07025	0.08157	0.01205
Healthy	0	0	0.36276	0.00342	0.01932	0	0.00077	0	0	0	0.68407	0.09014	0.40581	0.60007	0.4664	0.36709	0.05868	0.7908	0.25761	0.36276
Healthy	5.0839	0	0	0	0	0.92052	0	0	0	0	9.75385	11.7396	7.94456	0.4069	0.66465	2.07775	1.71217	2.37879	0.53567	0
Healthy	0	0	0.42913	0	0.52611	0	0	0	0	0	0	3.13501	1.60463	0.08099	0.79934	1.01417	0	0.70173	0.43257	0.42913
Healthy	0.01411	0.0593	0.01714	0	0	0	0.02643	0	0	0	5.10639	0	8.18068	1.01673	0.02036	0	0.20882	0.20999	0	0.01714
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.61109	0	0	0	0	0
Healthy	1.21706	0.01544	0.10267	0	0.14366	0	0.00714	0	0	0	12.82	0.48557	1.97574	0.41924	0.14405	0.16832	0.12154	0.26633	0.32221	0.10267
Healthy	0.62783	0.00425	0.00131	0	0	0	0	0.00167	0	0	9.55614	0	1.05499	0.10179	0.45248	0	0	0	0	0.00131
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0.03262	0.02376	1.99695	0	0	0	0	0
Healthy	5.62249	0	0.89458	0	0.14314	0	0	0	0	0	22.3249	6.32555	1.70697	3.65165	0.07968	0.82993	0	0.05153	0.88487	0.89458
Healthy	0	0	0.0981	0	0.0218	0	0.00932	0	0	0	7.50067	1.72462	1.40921	0.58388	0.36575	0.1047	0.15766	0.40466	0.26133	0.0981
Healthy	0	0	0.01103	0	0	0	0.15579	0	0	0	2.17687	0.12041	1.66892	0.31967	0	0	0.09721	0.05616	0.01581	0.01103
Healthy	0	0	0	0	0	0	1.41636	0	0.12466	0	11.9018	10.8039	7.72664	1.06834	2.0934	0	0	1.21033	0.83816	0
Healthy	0	6.73804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.31584	0	0	0
