group	Prevotella	Phytobacter	Ruminococcus_B	Haemophilus_D	Faecalimonas	Muricomes	Clostridium_Q	Longicatena	Anaerotruncus	Eggerthella	Bacteroides	Parabacteroides	Dialister	Barnesiella	Ruminiclostridium_E	Methanobrevibacter_A	Odoribacter	Flavonifractor	Alistipes_A	Parasutterella
Healthy	0	0	0	0	0	0.09622	0	0	0	0	8.70722	5.48968	0.20528	0.74262	0	0	0	0.02147	0.00788	0.01982
Healthy	0	0.04178	0	0	0	0	0	0	0	0	12.23413	5.2338	0	6.29834	0.92377	0	0	0.04991	0	0.02873
Healthy	0	78.7042	0.07356	0	0	0.0059	0.00113	0.00209	0.02013	0	0.92068	0.02172	0	0	0	0	0	0.05913	0.04022	0.02799
Healthy	33.1072	0.12255	0	0	0	0	0	0	0	0	12.83802	8.26991	0	0.08709	0.04141	0	0	0	0.02595	0.25346
Healthy	0	0	1.68189	0	0	0	0	0.27498	0	0	29.93929	1.39305	6.30271	0	0	0	0	0.05422	0.13634	0.19767
Healthy	0	0.36158	0.09022	0.04462	0.0228	0.00265	0.08828	0.00545	0.00553	0.01042	44.95971	0	0	0	0	0	0	0.04607	0	0.17411
Healthy	0	0	2.69923	0	0	0.01559	0	0	0	0	48.7416	0	0	0	0	0	0	0	0	0
Healthy	0	2.27843	0.00665	0.62055	0	0.56096	1.87455	0	0	0	47.8383	0	5.07885	0	0	0	0	0.1339	0	0.04242
Healthy	0.03605	18.6713	0.00084	0.00123	1.61297	0	0	0	0	0	5.78663	22.9141	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	4.75974	0	0	1.08835	0.62242	0	0	0	0	0
Healthy	0.00828	1.0251	0	0.07592	0.32361	0.14054	0.0681	0	0.13267	0	37.59433	5.40089	0.80153	0	0	0	0	0.50529	0	0.37347
Healthy	4.29422	0.09689	0.02697	3.13703	0.62747	0	0	0.15287	0	0	26.75722	7.4342	2.64985	0	0.00235	0	0	0.04823	0	0
Healthy	0	0	0.09717	0	0	0	0.05149	0.5723	0	0	5.30319	0.26959	1.99584	0	0	0	0	0	0	0
Healthy	46.7432	0	0	0	0	0	0	0	0	0	19.09021	0	0	0	0.14519	0	0	0	0	0
Healthy	6.74233	0	0	0.06709	0	0	0	0	0	0	13.40581	0.73403	0	0.10558	0.66989	0.57278	1.80602	1.53569	0.07651	0.00222
Healthy	0	0	2.17421	0	0	0.00102	0	0.01338	0	0.03764	11.18146	0.37816	0.65623	0.54445	0	0	0	0.00225	0.00358	0
Healthy	10.3598	0.29883	0	0.12678	0	0	0	0	0	0	0.70692	0.84661	0	0.16735	24.0999	0.1514	0.70656	0	0.01553	0
Healthy	0.03398	1.00992	0	0	0	0.02914	0.00519	0.01167	0	0	30.39863	6.32032	0.03571	2.88154	0	0	0.79541	0.16651	0.32215	0.0042
