group	Faecalibacterium_sp900539885	Prevotella_copri_A	Bacteroides_stercoris	Phocaeicola_plebeius_B	Phocaeicola_coprocola	Phocaeicola_sp900554435	Bifidobacterium_pseudocatenulatum	Ruminococcus_B_gnavus	Flavonifractor_sp000508885	Enterocloster_citroniae	Bacteroides_uniformis	Dialister_invisus	Alistipes_shahii	Sutterella_wadsworthensis_A	Odoribacter_splanchnicus	Bacteroides_intestinalis_A	Alistipes_A_indistinctus	Flavonifractor_plautii	Parasutterella_excrementihominis	Flavonifractor_sp000508885
Healthy	3.86935	0	0	0	0	5.20955	3.61122	0.05193	0.04945	0.02497	1.72814	0.14204	0	0	1.36225	0	0.0424	0.03209	0.00147	0.04945
Healthy	3.14863	36.8941	0.63777	0	0	1.99673	0	0	0	0	2.60261	0	2.1926	0.08094	1.05331	0.09713	0.02117	1.2697	0	0
Healthy	0.40714	0	35.6876	0	0	0	0	0.01119	0.08469	0	13.4649	9.30256	0.73351	0	0	0	0	0.09114	0.01997	0.08469
Healthy	5.60286	2.41062	0.10781	0	5.91044	1.76265	0	0.05435	0	0	0.24741	0.26986	0.92559	1.85847	1.54784	1.06953	0	0.01682	0	0
Healthy	21.7045	2.04231	0	0	0	0	0	0.0266	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	18.062	35.8204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	16.8632	0.03222	30.2849	0.02653	0.013	0	0	0.24991	0.23245	0.08433	2.73136	0	1.18242	0	0	0.26579	0.00478	0.04112	0.39081	0.23245
Healthy	0.51861	0	0	0	0	0	0	0.01424	0.17562	0	11.1052	3.34381	0	0	0	0	0	0.0301	0.11156	0.17562
Healthy	0.02963	0	0	0	0	0	0	0	0	0	0.00591	0.00048	0	0	0	0	0	0	0	0
D001172	14.0613	0.5452	17.9081	0.26926	0.23305	6.34385	2.176	0.00898	0.00481	0.00056	0.14335	0	8.12042	0	0.94598	0.77498	0.07222	0.00351	0.22768	0.00481
Healthy	0	0	0	0	0	0	0	0.8125	0	0	0	0	0.07741	0	0	0	0	0	0	0
Healthy	4.29314	0	0	9.67282	0	0	0	0	0	0	21.9602	1.41269	2.80545	0	0	0	0	0	0.03569	0
Healthy	15.0865	0	5.36025	0	0	0	0.08891	0.28342	0	0	3.44932	0	1.28503	0.26927	0	2.82228	0	0	0	0
Healthy	6.5334	0	0	0	0	0	0	0	0	0	12.6788	0	0.63546	5.7003	0.9632	0	0	0.15639	0	0
