group	Firmicutes_A	Actinobacteriota	Firmicutes	Verrucomicrobiota		Bacteroidota	Firmicutes_A	Actinobacteriota	Proteobacteria	Firmicutes_C	Verrucomicrobiota	Firmicutes	Methanobacteriota	Desulfobacterota	
Healthy	11.05421	6.05152	0.17455	7.09147		44.41535	11.05421	6.05152	0.27735	17.72904	7.09147	0.17455	0	0.1094	
Healthy	42.33858	0.25895	5.2092	0		36.30805	42.33858	0.25895	0.02241	0.00465	0	5.2092	0.02465	0	
Healthy	55.66819	7.64681	0	0		18.17723	55.66819	7.64681	0	5.0839	0	0	0	0	
Healthy	40.80151	0	1.96262	0		42.50091	40.80151	0	0	2.18475	0	1.96262	0	0	
Healthy	16.35226	1.16459	0.04651	0		63.68496	16.35226	1.16459	0.17416	0.01886	0	0.04651	0	0.05044	
D009765	20.7895	13.49529	1.00104	0		33.05182	20.7895	13.49529	0	22.9846	0	1.00104	0	0	
D009765	17.21423	0	1.14463	0		62.76821	17.21423	0	0.61424	6.03964	0	1.14463	0	0	
Healthy	2.18622	0	0.01292	0.55019		92.81289	2.18622	0	4.2841	0	0.55019	0.01292	0	0	
Healthy	32.41273	0.74596	0.50817	0.38836		49.73983	32.41273	0.74596	2.56184	1.21819	0.38836	0.50817	0	0.10707	
Healthy	43.83014	0.01142	0.10367	0		51.54426	43.83014	0.01142	2.5813	1.15201	0	0.10367	0	0	
D009765	55.40576	0.90877	0.63778	0.5488		25.66097	55.40576	0.90877	0.52408	0.05568	0.5488	0.63778	0	0.04166	
Healthy	3.46566	0	0	0		71.0787	3.46566	0	2.44306	0	0	0	0	0.03142	
Healthy	46.10202	10.94462	0	0		26.51604	46.10202	10.94462	0	5.62249	0	0	0	0	
D009765	33.59008	8.60958	0	3.8027		40.19462	33.59008	8.60958	0.86501	0.01524	3.8027	0	0	0.07807	
Healthy	69.4009	0.70339	1.54894	0.09373		14.1769	69.4009	0.70339	0.72719	1.31405	0.09373	1.54894	0.18576	0.08154	
Healthy	8.75437	0.75156	0	8.71159		58.04866	8.75437	0.75156	0.53971	0.46112	8.71159	0	0	0.55816	
Healthy	59.24397	1.94799	0.34649	0		22.14347	59.24397	1.94799	1.72334	1.07483	0	0.34649	0.11191	0	
Healthy	7.13458	27.02805	0.45334	0		0.35748	7.13458	27.02805	0	0	0	0.45334	0	0	
Healthy	14.65223	0	0.53907	0		80.38068	14.65223	0	0	0	0	0.53907	0	0	
D009765	12.03825	2.98369	3.67157	14.5182		30.17486	12.03825	2.98369	3.17268	0.03648	14.5182	3.67157	0.45188	0	
Healthy	47.61645	3.88737	0.1903	19.023		20.33218	47.61645	3.88737	0.00056	0	19.023	0.1903	0	0.19041	
Healthy	0.25032	7.18566	0.02015	0.00039		28.87276	0.25032	7.18566	55.0788	0.03501	0.00039	0.02015	0	0	
Healthy	19.70734	11.36341	1.18442	11.9695		38.75978	19.70734	11.36341	0.57325	0.01608	11.9695	1.18442	0	0	
Healthy	53.46463	1.01021	2.36732	2.81759		29.53286	53.46463	1.01021	0.98133	0.46493	2.81759	2.36732	0.20726	0	
Healthy	15.15539	0.00433	0.73283	0		33.23081	15.15539	0.00433	35.06305	0	0	0.73283	0	0	
Healthy	30.2978	0.13293	1.88666	0.49181		41.87328	30.2978	0.13293	7.37478	0	0.49181	1.88666	2.44739	0	
D009765	28.9527	0.85459	0.16352	0		60.31766	28.9527	0.85459	2.23842	0	0	0.16352	0	0	
Healthy	10.91526	1.39204	0.22275	0		69.54234	10.91526	1.39204	2.99685	0	0	0.22275	0.00825	1.21704	
Healthy	58.02649	0	0.34273	0		28.72289	58.02649	0	0.12406	0.38925	0	0.34273	0.21268	0	
D009765	53.4367	2.03331	2.11525	0		27.17567	53.4367	2.03331	0.07042	0	0	2.11525	0	0	
Healthy	2.41679	0.1845	0	0		65.70584	2.41679	0.1845	1.15581	11.06571	0	0	0	0	
Healthy	78.95978	0.47748	0.05588	0		7.75441	78.95978	0.47748	0.05193	0.21693	0	0.05588	0	0	
Healthy	20.60257	3.89993	1.55892	0.00032		25.16801	20.60257	3.89993	33.33013	0.01516	0.00032	1.55892	0	0.0392	
Healthy	5.56522	1.37412	0.00174	3.84496		75.927	5.56522	1.37412	0.7445	0	3.84496	0.00174	0	0.0151	
D009765	6.75435	44.9581	0.75332	19.4317		3.22604	6.75435	44.9581	0	0	19.4317	0.75332	0	0	
Healthy	56.4659	2.6333	0.50095	0.79342		27.96087	56.4659	2.6333	1.15883	0.13564	0.79342	0.50095	0	0	
Healthy	7.81577	0.34266	0.06045	10.3809		66.09812	7.81577	0.34266	0.11834	0.87857	10.3809	0.06045	0	0.33033	
Healthy	46.58071	2.0746	8.3062	0		25.51014	46.58071	2.0746	2.30696	0.2242	0	8.3062	0.79834	0.07805	
Healthy	59.87065	1.79807	0	0		18.16758	59.87065	1.79807	0	0	0	0	0	0	
Healthy	8.67235	0.15624	0.07383	0		78.57875	8.67235	0.15624	0.16402	0	0	0.07383	0	0.0016	
Healthy	23.22536	0.12192	0.06825	0		64.93079	23.22536	0.12192	1.07337	0	0	0.06825	0	0.40904	
Healthy	12.4343	7.66135	1.06066	0.3477		39.03604	12.4343	7.66135	15.09609	0.22665	0.3477	1.06066	0.07517	0.18958	
Healthy	2.54611	0.13178	0.23153	0		88.7654	2.54611	0.13178	0.50622	3.58941	0	0.23153	0	0.00253	
Healthy	12.398	0	0.0839	0		79.91048	12.398	0	2.98359	0	0	0.0839	0	0.0383	
Healthy	13.57223	0.75234	0.03122	0		64.14272	13.57223	0.75234	1.52766	0.38466	0	0.03122	0.17643	0.13826	
Healthy	11.91527	0.07109	0.53138	1.4567		38.36526	11.91527	0.07109	5.42452	2.03817	1.4567	0.53138	3.08044	0.35495	
Healthy	5.40666	1.18002	0	3.57301		80.84169	5.40666	1.18002	0.70627	0	3.57301	0	0	0.02838	
Healthy	19.94983	1.86936	1.80416	0.69873		25.1195	19.94983	1.86936	0.89157	22.53688	0.69873	1.80416	0	0.37016	
