group	Prevotella_copri_A	Phocaeicola_plebeius_B	Phocaeicola_coprocola	Phytobacter_ursingii	Ruminococcus_B_gnavus	Streptococcus_parasanguinis_D	Veillonella_atypica	Streptococcus_sp004166885	Rothia_sp001808955	Streptococcus_pseudopneumoniae_O	Prevotella_copri_A	Bacteroides_eggerthii	Bifidobacterium_longum	Phocaeicola_sp900554435	Bacteroides_sp900066265	Anaerostipes_hadrus	Intestinibacter_bartlettii	Anaerostipes_hadrus_A	Streptococcus_parasanguinis_D	Parasutterella_excrementihominis
Healthy	0	0	0	0.08321	0	0	0	0	0	0	0	0	0.25793	0.38557	0	0.02282	0	0.48382	0	0
Healthy	40.4897	0.47009	0	0	0	0.00441	0	0	0	0	40.4897	0	0	0	0	0.03739	0	0.05161	0.00441	0
Healthy	0	0	0	0.15123	0	0	0	0	0	0	0	0	0.59074	0	0	0	0	0	0	0.23778
Healthy	0	17.3552	0	0	0.00185	0	0	0	0	0	0	1.504	0.06193	11.3558	1.56053	0.00253	0	0	0	0
Healthy	0	4.26576	5.85582	2.8125	0.0157	0	0	0	0	0	0	0.01107	0	3.14765	0	0.00428	0.00354	0.00725	0	0
Healthy	6.31915	0	0	0	0	0	0	0	0	0	6.31915	0	0	0	0	0	0	0	0	0.04874
Healthy	0	0	2.8849	0	0	0.89689	0.01388	0.04292	0	0	0	0	0.33107	0	0.26868	0.09527	0	0.22523	0.89689	0
Healthy	2.16791	0.11315	0	0	0	0	0	0	0	0	2.16791	0.32132	0.04047	0	0.00992	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	10.8628	0	0	0	0	0	0	0
Healthy	36.384	0	0	0	0	0	0	0	0	0	36.384	0	0	2.09355	0	0	0	0	0	0
Healthy	40.479	0	0	0	0	0	0	0	0	0	40.479	0	0	3.49499	0.1888	0	0	0	0	0
Healthy	0	1.74234	0	0	0	0	0.28384	0	0	0	0	0	0.69119	0	0	0.33099	1.16392	0.26094	0	0.0586
Healthy	0	0	0	0	0.8993	0.00625	0	0.0084	0	0	0	0	0.03459	0	0	1.69309	0	0.02712	0.00625	0
Healthy	0	0	0	0.88276	0.57964	0.11801	0.02137	0.02727	0.00033	0	0	0	0.24078	0	0	0.30021	0.28618	0.44128	0.11801	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	17.3947	0	0.15794	0.05986	0	0	0.1002
Healthy	56.7831	0	0	0	0	0	0	0	0	0	56.7831	0	0	0	0	0	0	0	0	0
Healthy	2.96841	0	0	0	0	0	0	0	0	0	2.96841	0	0.26781	0.82445	0.09776	1.84722	0	0.57309	0	0
Healthy	0	0	0	3.66846	27.9887	0.06322	0.82987	0	0	0	0	0	0	0	0	0	0.01366	0	0.06322	0
Healthy	0	0	0	0.121	16.5662	0.03145	0.96817	0	0.0396	0	0	0	0.01181	0	0	0	0.17413	0	0.03145	0
Healthy	0	0	0	0.34649	0	0.0338	0	0	0	0	0	0	1.20908	0.73884	0	0	0	0.00936	0.0338	0.01275
Healthy	7.32897	0	0	2.66719	0	1.6941	0	0	0	0	7.32897	0.1129	0.55383	0.36726	0	0	0	0	1.6941	0
Healthy	0.04001	0	0	0.07952	0.0303	0.00537	0.03269	0	0	0	0.04001	0	0.43785	0	3.30215	2.37608	0	0.04458	0.00537	0
Healthy	0	7.30243	0	0.08088	0	0	0	0	0	0	0	1.2508	35.1461	1.85912	0	0	0	0	0	0.0234
Healthy	5.62645	0	0	0.03375	0	0.14081	0.00663	0	0.04553	0	5.62645	0	1.33115	0	0	0.39887	0.25	0.01042	0.14081	0
Healthy	0	0	0	10.2181	0	0	0	0	0	0	0	0	0	0	0.19824	0	0	0	0	0.00705
Healthy	36.9097	0	0	0	0	0	0	0	0	0	36.9097	0	0	1.96435	0	0	0	0	0	0
Healthy	13.0904	0	0.03225	0.06381	0	0	0	0	0	0	13.0904	0	0.2013	3.03237	0.02837	0.17231	0	0.20734	0	0
Healthy	0	0	0	0.06157	0.55343	0	0	0	0	0	0	0	0.27682	0	0	0	0	0	0	0.11666
Healthy	0	0	0	0	0.00856	0	0	0	0	0	0	0	0.99513	0	0	0	0.00258	0	0	0.27735
Healthy	16.1089	0	0	0	0	0.00351	0	0	0	0	16.1089	0	0.0079	0	0	0.00777	0	0.01155	0.00351	0.00491
Healthy	0	0	0	0	0	0	0	0	0	0	0	0.09981	2.22429	0.57855	0	0	0.92052	0	0	0
Healthy	29.5744	0	0	0	0	0	0	0	0	0	29.5744	2.45756	0	0	0	0.19982	0	0.32629	0	0
Healthy	0	0	0	0	0.0593	0	0	0	0	0	0	0	0.13578	5.86584	0.09962	0	0	0	0	0
Healthy	68.4668	0	0	4.2841	0	0	0	0	0	0	68.4668	0	0	0	0	0	0	0	0	0
Healthy	0	0	2.65692	0	0.01544	0.01745	0	0	0	0	0	2.29387	0.41331	8.05185	3.23678	0.04337	0	0.10029	0.01745	0.01433
Healthy	0	0	0	0.24207	0.00425	0.01752	0.14726	0	0	0	0	0	0	0	0	0	0	0	0.01752	0.01751
Healthy	0	0	0	2.0968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34626
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	10.6165	0	0	0.14314	0	0	0	0
Healthy	0	0.42546	0	0.09698	0	0	0	0	0	0	0	0	0.0877	0	0	0.01909	0	0.00271	0	0.00946
Healthy	0	0	0	0.02507	0	0	0	0	0	0	0	0	0.26125	0	0	0	0	0	0	0
Healthy	0	0	0	1.49435	0	0	0	0.26262	0	0	0	0.2694	0	1.34618	0	0	0	0	0	0
Healthy	0	0	0	0	6.73804	0	0	0	0	0	0	0	11.7854	0	0	0	0	0	0	0
Healthy	0	0	0	0	0.05485	0	0	0	0	0	0	0	0	0	0	0	0	0.04991	0	0
Healthy	0	0	0	0	0.03057	0	0	0	0	0	0	0	0	0	0	0.00066	0	0.0054	0	0.00056
Healthy	0	0	0	55.0788	0.0105	0	0	0	0.11153	0.00287	0	0	0.45638	0	0	0	0	0	0	0
Healthy	2.12059	2.14077	0.99546	0.57325	0	0	0	0	0	0	2.12059	0	0	0	0	0	0	0	0	0
Healthy	6.79792	0	0	0	0	0.55818	0.24037	0	0.00583	0	6.79792	0.08027	0	0.15159	0	0.66597	4.42379	0.40163	0.55818	0.06954
Healthy	0	3.26995	0	33.3132	0	0	0	0	0	0	0	1.60664	0	0	0	0.02036	0	0.08509	0	0
Healthy	0	0	0	5.37164	0	0	0	0	0	0	0	0	0	0	0.07653	0.08494	0	0.23759	0	0
Healthy	27.3794	0	0	0	0	0	0	0	0	0	27.3794	0	0	1.54109	0.41814	0	0	0	0	0
Healthy	0	0.06923	2.77506	0	0	0.05624	0.01935	0	0	0	0	5.33573	0	1.64142	0	0.04396	0	0.21148	0.05624	0.00138
Healthy	0	0	0	1.15581	0.27628	0	0	0	0	0	0	43.603	0.1845	0	0	0	0	0	0	0
D014376	0	0	0	0.01187	1.36273	0.15163	0.02026	0	0	0.00177	0	0	0.00901	0	0	0	0.10787	0	0.15163	0
Healthy	0	0	0	0.00483	0.00977	0.00139	0	0.00512	0	0.00131	0	0	0	0.00055	0	0.33342	0	0.01471	0.00139	0
Healthy	0	0	0	26.8642	0.02066	0.04336	0	0.00281	0.01325	0	0	0	0.65007	0	0	0.06616	0.20169	0.06382	0.04336	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	13.7235	0.36239	0	0.34008	0	0	0	0	0.01241
Healthy	21.8334	0	0	0.18994	0	0.06803	0.00967	0.02274	0.00101	0	21.8334	0	0.32129	1.27234	0.0672	0.0936	0.1088	0.14624	0.06803	0
Healthy	37.0762	0	0	0	0	0	0	0	0	0	37.0762	0	0	2.05116	0	0	0	0	0	0
Healthy	0	0	0	1.82775	0.27636	1.33864	0.15174	0.06246	0.02079	0.07114	0	0	0.68255	0	0	0.13148	0.07247	0.37734	1.33864	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	15.8139	0.09832	0.08189	0.00532	0	0	0	0	0	0	0.06027	0	0	0	0	0	0.00532	0.00305
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.26375	0	0	0	0	0.12849
Healthy	0	0	0	9.34072	0.00957	0	0	0	0.00982	0	0	0	0.99464	0	0	0.02834	0.0581	0.01721	0	0.00271
Healthy	0	0	0	0.38656	0.00801	0	0	0	0	0	0	57.7019	0	0	0	0	0	0.01594	0	0.11966
Healthy	0	0	0	2.74432	0.02072	0	0	0	0	0	0	13.7988	0	0	0	0	0	0	0	0.07877
Healthy	0	0	0	0.09232	0	0.00258	0	0	0	0	0	0	0.11514	0	0	0	0	0	0.00258	0.00641
Healthy	0	0	0	5.3394	0.00157	0.00291	0	0	0.00036	0.0019	0	0.02492	0.00488	0	0	0.02022	0.00271	0.03669	0.00291	0.01428
Healthy	0	0	0	0	0	0	0	0	0	0	0	12.8006	0.29831	0	0.31417	0	0	0	0	0.00873
Healthy	5.61313	0	0	0.00681	0	0.02824	0	0.00564	0	0	5.61313	0.01315	0.63589	0	0	0.03316	0.08429	0.04129	0.02824	0.00842
Healthy	26.4025	0	0	0	0.037	0.01359	0	0.00084	0	0.00727	26.4025	0	0	7.26919	0	0.15664	0.08412	0.01205	0.01359	0.08336
Healthy	0	0	0	1.88746	0	0	0	0	0	0	0	0	11.5889	1.04943	0	0.40681	0	0.22131	0	0
Healthy	64.6746	0	0	0	0	0	0	0	0	0	64.6746	0	0	0	0	0	0	0	0	0
Healthy	19.2902	0	0	0	0	0	0	0	0	0	19.2902	0	0.20813	11.6161	0.72571	0.53383	0.00613	0.50929	0	0
Healthy	0	0	0	2.54476	0.02249	0	0	0	0	0	0	12.8752	0	0	0	0	0	0	0	0.06262
D014376	22.7117	0	0.00202	12.1126	0	0	0	0	0.00587	0	22.7117	1.83636	0	0.50921	0.04397	0	0	0	0	0.00124
Healthy	0	0	0	0	0	0.09066	0.00508	0	0	0	0	0	0	4.79263	0	0.13132	0.04315	0.00599	0.09066	0
Healthy	0	0	0	0.02159	0	0.0174	0	0	0	0	0	0	0.41307	0	0.72365	0.0136	0.03226	0.0336	0.0174	0
Healthy	26.782	0	0	0	0	0	0	0	0	0	26.782	0	0.11493	1.45829	0.60414	0	0	0	0	0.0624
Healthy	0	0	15.6071	0.04198	0.08768	0.00876	0	0	0	0	0	0	0.04577	0	0	0	0	0	0.00876	0.00294
Healthy	1.63861	0.01221	0.02398	0	0	0	0	0	0	0	1.63861	0	0.00498	19.33	0.06884	0	0	0	0	0.04305
Healthy	0	0	0	0.13218	0.02744	0.00486	0	0	0	0	0	0	3.60476	1.2191	0	0	0	0.03714	0.00486	0.0078
Healthy	0.00339	13.6042	16.5033	0.20678	0.03811	0.00126	0	0	0	0	0.00339	0.07142	0.04194	6.05461	0.42784	0.0162	0.33346	0.03981	0.00126	0.0461
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	2.24934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38935
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0.85165	0	0	0	0	0	0	0
Healthy	18.9557	0	0	0.92595	0	0.00708	0.05428	0	0	0	18.9557	0	0	0	0	1.70359	0.61622	0.44808	0.00708	0
Healthy	0	0	0	0	0	0.04909	0	0	0	0	0	0	0	0	7.17641	0	0	0	0.04909	0.177
Healthy	0	0	0	0	0	0.0208	0	0	0	0	0	0	0	0	7.00533	0	0	0	0.0208	0.21624
Healthy	0	0.72888	0	6.53906	0	0	0	0	0	0	0	19.5835	0	0	0	0	0	0	0	0.03166
Healthy	0	0	0	0	0	0.07003	0.08584	0	0	0	0	14.764	0	0	0	0	0	0.00482	0.07003	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.30276	0	0	0	0	0.00178
Healthy	0	0	0	2.25779	0.9565	0.69733	0	0.01819	0	0.14648	0	0	0	0	0	0	0	0	0.69733	0
Healthy	2.47081	1.09425	0.10027	0	0	0	0	0	0	0	2.47081	0	0	0	0	0.19916	0	0.1792	0	0
Healthy	46.9053	0	0	0	0	0	0	0	0	0	46.9053	0	0	4.24481	0	0	0	0	0	0
Healthy	0	0	0	0	0	0.01546	0	0	0	0	0	0	0.00486	0	7.27836	0	0	0	0.01546	0.21496
Healthy	0	0	0	0.48396	0	0	0	0	0	0	0	0	0.21558	0	0	0	0	0	0	0.06696
Healthy	0	23.6438	18.0169	0	0	0.0533	0.11773	0	0	0	0	0	0.10378	0	0	0.03802	0.20544	0	0.0533	0
Healthy	0	0	0	0.03177	0	0	0	0	0	0	0	1.93917	1.12684	0.39591	0	0	0	0	0	0.02779
D014376	0.00426	0	0	2.51289	0	0	0	0	0	0	0.00426	0.00492	0	2.13187	0.44678	0	0.01937	0	0	0.03779
Healthy	0.76927	1.04695	0.39657	5.33933	0	0	0	0	0	0	0.76927	2.21792	0	0.73433	0	0.07437	0	0.12675	0	0
Healthy	0	0	0	0.50252	0	0.04352	0	0	0	0	0	0	1.07843	0.6692	0	0	0	0.00874	0.04352	0.00293
