group	Veillonella	Longicatena	Rothia		Prevotella	Akkermansia	Enterocloster	Methanobrevibacter_A	Collinsella	Anaerostipes	Clostridium_A	Intestinibacter	Parasutterella	Adlercreutzia
Healthy	0.00213	0.00486	0		0	0	0.87453	0.1953	1.20806	0.03714	0.12458	0	0.0078	0.2947
Healthy	0.0216	0	0		0.02165	0	0.11748	0	0.06525	0.05601	0	0.33346	0.0461	0.01596
Healthy	0	0	0		0	0	1.0797	0	0.06576	0	0.13817	0	0	0
Healthy	0	0	0		0	0	1.84129	0	0	0	0	0	0.38935	0
Healthy	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	0.06109	0.11357	0		19.16408	0	1.47994	1.04804	2.23707	2.15167	0	0.61622	0	0
Healthy	0.00798	0	0		0	0	0	0	0.03354	0	0	0	0.177	0.12817
Healthy	0	0	0		0	0	0	0	0.021	0	0	0	0.21624	0.17511
Healthy	0	0	0		0	0.79293	0	0	0.02368	0	0	0	0.03166	0
Healthy	0.15883	0	0		0	5.96611	0.0024	0	0	0.00482	0	0	0	0
Healthy	0	0	0		0	0.05654	0.00678	0	0.00925	0	0	0	0.00178	0
Healthy	0.56786	0.19375	0		0	0	4.8671	0	0	0	0	0	0	0
Healthy	0	0	0		2.47081	0	0.55029	0	1.21596	0.37836	0	0	0	0
Healthy	0	0	0		46.9053	0	0	0	0	0	0	0	0	0
Healthy	0.00816	0	0		0	0	0	0	0	0	0	0	0.21496	0.13351
Healthy	0	0	0		0	0	2.45195	0	0	0	0.14612	0	0.06696	0
Healthy	0.21553	0	0		0	0.69377	0.01355	0	0.21112	0.03802	0	0.20544	0	0
Healthy	0	0.00781	0		0	12.3504	0.38134	0	0.03176	0	0.64429	0	0.02779	0.09891
Healthy	0	0	0		0.76927	5.12023	0.37201	0.54418	0	0.20112	0	0	0	0
Healthy	0	0.02778	0		0	0.14545	0.11354	0	0.74854	0.00874	0.13202	0	0.00293	0
Healthy	0.02628	0	0		0.07335	0	3.39605	0	0	0	0.02372	0	0.00066	0
Healthy	0	0	0		30.2506	1.67518	1.04591	0.24888	0	0.35642	0	0	0	0
Healthy	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	0.00976	0.00557	0		0	0.87803	0.72264	0.94585	0	0	0	0	0.14799	0
Healthy	0.01316	0.00208	0.00254		0	0	0.37319	0	0.59238	0.09245	0.00309	0.14257	0.0141	0.08882
Healthy	0.78312	0	0		0	0	0.02153	0	0	0	0	0	0	0
Healthy	0.00199	0	0		4.16846	0.00032	0.43994	0	0.07111	0.05321	0.08401	0	0.00148	0.07246
Healthy	0	0	0		0	0	0.94566	0	0	0.37913	0	0	0.03347	0
Healthy	0.00441	0.0017	0		0	1.83282	1.1891	0	0.43663	0.03441	0.04035	0.0005	0.00369	0.05093
Healthy	0.08596	0	0		0	5.82674	0.02274	0	0	0	0	0	0	0
Healthy	0	0.06253	0		0	0	1.73631	0	0.52109	0.36031	0	0.02075	0	0.02508
Healthy	0	0	0		10.99475	0	0.68081	0.64383	0	0	0	0	0	0
Healthy	0.03605	0	0		0	0	0.50755	0	0.00539	0	0	0.15627	0.06726	0
Healthy	0	0.05188	0		0	0	2.92509	0	2.6665	0.09112	0.00841	0	0	0.29366
Healthy	0	0.11701	0		0	43.4724	0.0707	0	1.31779	0	0.03254	0	0	0
Healthy	0.02171	0.00218	0		44.56042	0.03469	0.09132	0	0.04025	0.23957	0.90885	0.0079	0	0
Healthy	0.09462	0	0		18.44766	0	0.11107	0	0.12091	0.11667	0	0	0	0
Healthy	0.05051	0.02432	0.00028		0	0	1.48272	0	0	0.68653	1.03316	0	0.32375	0.11938
Healthy	0.00416	0.02879	0		1.87086	0.63493	1.43878	0.68638	0.26266	0.23006	0.01237	0	0.01279	0.01051
Healthy	0.35686	0	0		71.33699	0.03989	0.08296	0	0.06391	0.22292	0	0.01532	0.04169	0.00776
Healthy	0.04856	0.04388	0		0	0	1.56976	0	0	0.27952	0.09336	0	0.36764	0.18069
Healthy	0	0	0		0	0.04755	0.01838	0	0.10602	0.03031	0	0.06537	0.00524	0
Healthy	0	0.02267	0		0.00788	0.89222	0.12508	0	0	0.15292	0.02781	0.0115	0	0.04102
Healthy	0	0	0		31.91189	0.00828	1.90811	0.65232	0	0	0	0.09801	0	0
Healthy	0	0	0		43.91144	0	0.00306	0	0.0029	0.01897	0	0	0	0
Healthy	0	0	0		32.72713	0	0.6449	0.01411	0.1261	0	0.16526	0	0.02525	0
Healthy	0	0	0		1.53426	10.2982	0.8111	0.52733	0.24638	0.02219	0.04013	0.03777	0.0008	0
Healthy	0.09326	0.52628	0.25219		13.31218	0	2.29031	3.28183	1.21051	0.16591	0	2.2151	0	0
Healthy	0	0	0		0	0	0	0	0.02509	0	0	0	0.06619	0
Healthy	0	0.02318	0.00164		0	0	0.9056	0.20356	1.35987	0.01982	0.07793	0	0.08297	0.2894
Healthy	0.12044	0	0		29.073	0.03792	0.51812	0.07783	0.34311	0.04027	0	0	0.00992	0.0399
Healthy	0.09329	0	0.00719		9.77201	0	0.40363	0.0354	2.10498	4.46794	0	1.24703	0	0
Healthy	0	0	0		0	12.3729	0.39675	0	0.06188	0	0.6945	0	0.07824	0.08275
Healthy	0	0.02979	0		76.5522	0	0.11697	0	0	0.03629	0	0.03032	0	0
Healthy	0.0917	0	0		0	0.00277	0.29471	0	1.08668	0.03593	0	0	0.00099	0.13587
Healthy	0	0	0		0	0.70351	0.03597	0	0	0.0411	0	0	0	0
Healthy	0	0	0		6.45476	1.23746	1.77449	0	1.80325	0.07413	0.04805	0	0	0
Healthy	0.02405	0.00627	0		0	0	0	0	0.01862	0	0.05085	0.37331	0	0
Healthy	0	0	0		44.49039	0	0.49546	0.09233	0.58449	0	0	0	0	0
Healthy	1.7791	0	0		0	0	0	6.53455	0	0	0	0	0	0
Healthy	0.02851	0.0124	0		0	0.10576	0.28666	0	0.05074	0.11863	0.05784	0.05455	0.56031	0
Healthy	0.04973	0	0		0	0	0	0	0.10742	0.26708	0	0	0	0
Healthy	1.05939	0	0		0	0	0.15126	0	0.23506	0.0748	0.33726	0	0.02592	0
Healthy	0.01162	0.00303	0		0	0.11581	0.06838	6.73	0	0.55785	0.0007	0.01811	0.01676	0.01832
Healthy	0	0.29707	0		0	0	0.05462	0	0	0	0.52929	0	0.1559	0
Healthy	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	0.03376	0.11423	0		0.00782	0	0.28044	0	0	0	0	0.00252	0.35406	0
