group	Bacteroidales	Enterobacterales	Burkholderiales	Acidaminococcales	Pseudomonadales	Selenomonadales	Desulfovibrionales		Lachnospirales	Actinomycetales	Enterobacterales	Lactobacillales	Burkholderiales	Methanobacteriales	Erysipelotrichales	Acidaminococcales	Pseudomonadales	Peptostreptococcales
Healthy	77.68829	0.04198	0.07281	0	0	0	0.00154		0.6717	0.09615	0.04198	0.02956	0.07281	0	0.0243	0	0	0
Healthy	61.68826	0.03656	0.05142	0	0.30313	0.01237	0		19.14931	0.00498	0.03656	0.0161	0.05142	0	0	0	0.30313	0
Healthy	56.32307	0.13218	0.0078	0	0	0	0.11107		6.12314	12.13953	0.13218	0.29615	0.0078	0.1953	0.00486	0	0	0
Healthy	54.50758	0.29244	0.0461	0	0	1.86885	0		23.11718	0.20582	0.29244	0.31688	0.0461	0	0	0	0	0.33346
Healthy	43.3074	0	0.11856	0	0	0	0.03259		2.7656	0	0	0.02025	0.11856	0	0	0	0	0
Healthy	72.56282	2.24934	0.38935	0	0	0	0.05179		2.56661	0	2.24934	0	0.38935	0	0	0	0	0
Healthy	22.69552	0	0	0	0	0	0		2.54508	3.41848	0	0	0	0	0	0	0	0
Healthy	19.20653	0.95059	0	1.78486	0	0	0		37.05151	0	0.95059	0.56117	0	1.04804	12.33642	1.78486	0	0.62159
Healthy	61.23649	0.06129	5.13042	0	0	0	0.14748		21.07635	0	0.06129	0.08341	5.13042	0	0.01058	0	0	0
Healthy	61.52382	0.08635	5.22325	0	0	0	0.14814		20.93701	0	0.08635	0.05612	5.22325	0	0.04521	0	0	0
Healthy	61.23341	6.53906	1.43392	0	0	0	0.33399		2.18098	0.018	6.53906	0	1.43392	0	0	0	0	0
Healthy	60.29015	0.80726	2.31024	0.26823	0	0	0		7.5361	0.73847	0.80726	0.47816	2.31024	0	0.07757	0.26823	0	0
Healthy	60.90446	0	2.72043	0	0	0	0		3.34133	0.54376	0	0	2.72043	0	0	0	0	0
Healthy	38.99953	3.05793	0	0	0	0	0		15.7248	0	3.05793	9.5205	0	0	0.31989	0	0	0
Healthy	16.03709	0	0.18887	0	0	0	0		23.11447	0	0	0.58813	0.18887	0	0	0	0	0
Healthy	72.96854	0	0	0	0	0	0		2.78405	0	0	0	0	0	0	0	0	0
Healthy	63.08919	0.10077	5.04198	0	0	0	0.20481		21.6091	0.00486	0.10077	0.06844	5.04198	0	0.02511	0	0	0
Healthy	86.49669	1.79721	0.06696	0	0	0	0.10238		3.97071	0.21558	1.79721	0.09177	0.06696	0	0.02595	0	0	0
Healthy	62.46336	0	0.00362	0	0	0	0.01272		18.07872	0.27018	0	0.06962	0.00362	0	0	0	0	0.20544
Healthy	50.72942	0.03177	0.11739	0	0	0	0.97352		0.41292	1.51004	0.03177	0	0.11739	0	0.00781	0	0	0
Healthy	65.12554	5.34661	5.95538	0.29827	0	0	0.06167		2.80028	0	5.34661	0	5.95538	0.54418	0	0.29827	0	0
Healthy	45.519	0.50252	0.00293	0.06687	0	0	0.65801		0.61733	1.07843	0.50252	0.08386	0.00293	0	0.52419	0.06687	0	0
Healthy	38.42566	0.16732	0.00066	0	0	0	0.06499		36.3664	0	0.16732	0.31316	0.00066	0	0.21681	0	0	0
Healthy	57.43447	0	6.45037	1.68323	0	0	0.05635		15.4323	0	0	0.01933	6.45037	0.24888	0	1.68323	0	0
Healthy	25.9085	0	0	0	0	0	0		68.2424	0	0	0	0	0	0	0	0	0
Healthy	60.72875	0.16819	0.14799	0	0	0	0.37818		4.86264	3.76883	0.16819	0.14173	0.14799	0.94585	0.00557	0	0	0
