group	Phocaeicola_sp900554435	Phocaeicola_plebeius_B	Ruminococcus_B_gnavus	Bacteroides_intestinalis_A	Haemophilus_D_sp001815355	Bacteroides_nordii	Enterocloster_citroniae	Streptococcus_sp004166885	Streptococcus_pseudopneumoniae_O	Eggerthella_lenta	Dialister_invisus	Bifidobacterium_adolescentis	Ruminiclostridium_E_siraeum	Methanobrevibacter_A_smithii_A	Sutterella_wadsworthensis_A	Odoribacter_splanchnicus	Bacteroides_intestinalis_A	Streptococcus_thermophilus	Parasutterella_excrementihominis	Flavonifractor_sp000508885
Healthy	0	0	0.0148	0	0	0	0.00853	0	0	0	10.2571	4.54784	0.26842	0	0	0.45607	0	0	0.02565	0.00503
Healthy	0	9.80824	0	0	0.36026	0	0	0	0	0	1.84818	1.09735	0	0	0	0	0	0	0.05455	0
Healthy	0	0	0	0	0	0	0	0	0	0	9.46156	2.50444	10.6343	0	0	0	0	3.31825	0	0
Healthy	6.48184	0	0.01194	3.90124	0.00195	0.02495	0.02462	0	0	0	0	2.25976	0.67935	0.52921	0	3.30425	3.90124	0.04614	0	0.00098
Healthy	0	0	0	0	0.023	0	0	0	0	0	6.24256	0.29756	0.17288	0	0	1.03995	0	0	0.29286	0.03838
Healthy	0	0	0	0	0.19266	0	0	0	0.02732	0	0	0.04775	0	0	10.9103	0	0	0	0	0
Healthy	0	0	0	0.69698	0	0	0	0	0	0	0	0.94063	0.41444	2.8803	0	2.06509	0.69698	0.11588	0	0
Healthy	0	0	1.75437	0	0	0	0	0	0	0	6.41941	0	0	0	0	0.55504	0	0	0.21457	0
Healthy	0	0	0.02053	0	0	0	0	0	0	0	3.32443	0	0	0	0	0	0	0.23259	0.0857	0.18101
Healthy	1.34036	0	0	0	0	0.02027	0	0	0	0	0	0	1.37095	0	0	1.31168	0	0	0.04583	0.0137
Healthy	0.11814	0	0	0.78176	0	0	0	0	0	0	0	0	4.84916	0	0	0	0.78176	0	0	0
Healthy	5.90502	0	0.04255	3.68885	0	0	0	0	0	0	0.0024	0.71784	0	0	0.15651	0	3.68885	0	0	0
Healthy	0	0	0	2.2582	0	0	0	0	0	0	0	0	10.3731	0	0	1.39468	2.2582	0.14253	1.28454	0.00071
Healthy	0	0	0.12522	0	0	0	0	0	0	0	3.23865	0	0	0	0	0	0	0	0.26069	0
Healthy	0.5959	0	0	1.65739	0	0	0	0	0	0	0	0	0.00489	0.54614	0	0	1.65739	0.21411	0.00459	0.09636
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1273	0	0	0.01474	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1002	0	0	0	0	1.59455
Healthy	3.93028	0	0.07063	0	0	0	0	0	0	0	0	0	0	15.6428	0	1.03345	0	0	0	0
Healthy	0	0	5.39169	0	0	0	0	0	0	0	0	0	0	0.32705	0	0	0	0	0.04035	0
Healthy	0	0	0	0	0	0	0.00562	0	0	0	0	0	0	0	0	0	0	0.06243	0.08025	0.43714
Healthy	1.47976	0.03558	0	0	0	0	0	0	0	0	4.25365	0	1.77715	3.21156	0	0	0	0	0	0
Healthy	0	0	0	4.91021	0	0	0	0	0	0	0	2.16689	2.26474	0.11285	1.15039	1.1161	4.91021	0	0	0
Healthy	5.73941	0	0.06041	3.6468	0	0	0	0	0	0	0	0.74652	0	0	0.19017	0	3.6468	0	0	0
Healthy	0	0	0.00483	0	0.01062	0	0	0	0	0	6.31044	0.2985	0.18227	0	0	0.99432	0	0	0.29889	0.08478
Healthy	0.19643	0	0	0	0	0	0	0	0	0	2.39552	17.4742	0	1.04718	0	0	0	2.9827	0	0
Healthy	6.38856	0	0.01648	0	0.03449	0.01078	0	0	0.00854	0	0	1.59247	0	0	8.85718	0.59341	0	0	0.13187	0
Healthy	0	0	0	0	0.24747	0	0	0	0	0	1.6894	0.91049	0.57146	0.14447	2.86579	1.76986	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	1.52824	0	0	0	0	0	0	0
Healthy	4.81957	0	0.0054	0.31115	0.40379	0	0	0	0	0	5.34705	0	15.0678	0.1448	0	0.74523	0.31115	0	0	0
Healthy	0	0	0.00686	0	0	0	0	0	0	0	6.35013	0	0	0	0	0	0	0	0.12857	1.70662
Healthy	14.2983	0	0	0.77957	0.01729	0	0.0049	0	0	0	0	0.46944	0	0	5.92629	0.75776	0.77957	0	0.0276	0.01813
Healthy	22.344	0	0.8581	0.29232	0	0.08636	0	0	0	0	0	0	0	0	0	0.78479	0.29232	0	0.04209	0.00454
Healthy	0	0	0	0	0	0	0	0	0	0	11.5958	0	4.76676	0.60936	0.29073	2.25825	0	0	0.00574	0
Healthy	0	0	0.00091	0	0	0.44311	0	0	0.0109	0	0.22524	0	2.28599	0.01981	1.38231	2.31492	0	0	0	0
Healthy	0	0	0.00557	0	2.02288	0	0	0.01138	0.00212	0.00368	0	0	0	0	0.0035	0	0	0	0	0.00315
Healthy	0	0	0.14116	0	0.19393	0	0.01718	0	0	0.00018	4.06746	0	0	0	0	0	0	0.45744	0.00678	0.07731
Healthy	0	0	2.0423	0.00489	0	1.70714	0	0	0.00788	0	0	5.38485	0	0	0.77874	0	0.00489	0	0	0
