group	Lachnospiraceae	Ruminococcaceae	Acutalibacteraceae	Bifidobacteriaceae	Akkermansiaceae	Methanobacteriaceae	Coriobacteriaceae	Streptococcaceae	Peptostreptococcaceae	Erysipelatoclostridiaceae	Bacteroidaceae	Lachnospiraceae	Enterobacteriaceae	Burkholderiaceae	Methanobacteriaceae	Streptococcaceae	Marinifilaceae	Acidaminococcaceae	Erysipelotrichaceae	Lactobacillaceae
Healthy	46.55662	0.12429	0	0	0	0	0	0	0	8.60814	16.79646	46.55662	0	0.04874	0	0	0	0	2.64033	0
Healthy	25.0635	5.30787	1.70945	0.33771	0	0	0.23481	2.29794	0	0.84799	21.19058	25.0635	0	0.46186	0	2.29794	0.7634	0	0.15335	0.52882
Healthy	56.88681	4.28916	5.97462	1.2613	0	3.78245	0.17433	0	0	0.07633	6.09663	56.88681	0	0.04642	3.78245	0	0	8.81102	1.06366	0
Healthy	12.1476	62.9997	0	21.2371	0	0	0	0	0	0	3.61561	12.1476	0	0	0	0	0	0	0	0
Healthy	2.9794	3.43183	0	0.14666	10.5195	0	0.24373	0.04301	0	0	52.81819	2.9794	0	0.11483	0	0.04301	1.11619	0.86272	0.03085	0
D015179	25.21404	8.24335	6.69101	0.28968	0	2.96474	0.71634	0.34282	0.15756	0.00397	25.70776	25.21404	2.33756	0.01691	2.96474	0.34282	0.73957	0	1.27683	0.03746
Healthy	4.23484	2.17847	0.00984	0	0	0.09708	0.63218	0	0	0.10067	60.23069	4.23484	0	0	0.09708	0	0.87961	0.06803	0.19977	0
Healthy	13.98492	5.66478	1.33345	35.90039	0	0	0.3371	0.9221	1.16392	0	21.04416	13.98492	0	0.0586	0	0.9221	0	0	0.86835	0
Healthy	22.45504	14.94631	14.60672	0.03459	6.51919	0	1.97032	0.15545	0	1.22214	3.37515	22.45504	0	0.09116	0	0.15545	0.23793	0	0.98615	0
Healthy	25.21853	8.10271	4.71234	0.24421	0.00699	1.82276	0	0.38092	0.28618	0.04188	37.40606	25.21853	0.88276	1.77066	1.82276	0.38092	0	1.22966	0.07916	0.00868
Healthy	29.12875	5.37472	6.0946	0	0	0	0.31569	0	0.05986	0	44.30969	29.12875	0	0.1002	0	0	0	0	0	0
Healthy	20.95243	1.35423	4.21521	0	0	0	0	0.8025	0	0.22354	57.65788	20.95243	0	0	0	0.8025	0	3.19845	1.5817	0
Healthy	38.42361	2.67302	0	0.26781	0	3.06148	3.24867	0.20201	0	0	10.76303	38.42361	0.0911	0.16065	3.06148	0.20201	0	0	0.05851	2.24067
Healthy	35.15934	0	0	0	0	0	0	1.28005	0.01366	0	0	35.15934	3.81252	0.00158	0	1.28005	0	0	0.07394	0
D015179	3.36984	1.34547	0.27513	0.30379	2.85328	3.42802	1.67098	0.03057	0	0.09347	40.54099	3.36984	0.17022	0.0514	3.42802	0.03057	1.48515	0	0.30235	0
Healthy	22.27209	8.95456	0	0.18712	0	0	0	0.23032	0.17413	0.05781	22.0643	22.27209	0.47522	1.67502	0	0.23032	0	0	0.00254	0
D015179	8.81468	7.6419	7.40657	16.33308	0.07248	6.7112	0.9625	0.24591	0.03097	3.08003	12.82231	8.81468	0.34271	0.02109	6.7112	0.24591	1.81511	1.61342	1.57316	0
Healthy	0.65685	2.58941	2.25608	1.20908	0.13239	0	0.6914	0.0582	0	0	15.46975	0.65685	0.34649	0.01275	0	0.0582	0	0.06831	0.49025	0
D015179	6.61562	1.9523	5.61322	2.17163	1.22138	11.4011	0.73701	0	2.12864	0.15126	28.21511	6.61562	0.2509	0	11.4011	0	0	0	0.19736	0
Healthy	6.95679	0.93829	1.28553	1.62673	0	0	2.27129	16.77604	0	2.91725	15.45515	6.95679	2.71161	0	0	16.77604	0	2.97004	1.19138	0.39151
Healthy	10.2726	8.27035	0	0.43785	0	0	0	0.17892	0	0	58.28202	10.2726	0.07952	0	0	0.17892	0.85088	0	0	0
Healthy	6.52439	0.71987	5.52631	35.20264	0.03307	0	1.0791	0	0	0.02407	19.05947	6.52439	0.08088	0.0234	0	0	0	0	0	0
Healthy	17.31738	17.86356	0.00231	5.45267	0	0	4.32512	0.27012	0.25	3.67433	14.09378	17.31738	0.03375	0.08772	0	0.27012	1.447	0	1.14247	0
Healthy	0.38881	3.93808	1.98079	0.0103	43.9894	0	1.19682	0	0	0	9.11642	0.38881	10.2181	0.28406	0	0	0	0	0.13551	0
Healthy	3.13409	3.3535	0	0.13383	10.41	0	0.28366	0.05589	0	0	53.17229	3.13409	0	0.09557	0	0.05589	1.07194	0.80514	0.0128	0
D015179	8.1626	11.31491	3.5409	1.68469	16.5825	0.4181	0.59857	0.08669	0	1.04913	8.32682	8.1626	0.17095	0	0.4181	0.08669	0	1.3069	0.00509	0.08339
Healthy	8.78889	17.47799	0.07926	2.43475	0.10078	0	0.7939	0.45117	0	0	31.38157	8.78889	0.06381	2.51045	0	0.45117	0.62491	0	0.40667	0
Healthy	1.4222	1.67666	0.17536	0.27682	0	0	0	0	0	0	54.35535	1.4222	0.06157	0.11666	0	0	0.60288	0	0.02247	0
Healthy	4.3198	1.132	4.53107	5.34259	7.09147	0	0.67999	0	0.00258	0	29.52946	4.3198	0	0.27735	0	0	0	0	0.17455	0
Healthy	38.69933	3.44451	0.10581	0.1995	0	0.02465	0.05868	0.01403	0	3.85188	27.07981	38.69933	0	0.00491	0.02465	0.01403	1.44036	0	1.34329	0
D015179	60.02725	5.34639	9.89577	2.58686	0	0	1.86908	1.40793	0	0	1.9293	60.02725	0	0.06535	0	1.40793	0	0	0.04588	2.07809
Healthy	24.09166	18.91641	11.7396	5.93464	0	0	1.71217	0	0.92052	0	16.90852	24.09166	0	0	0	0	0	0	0	0
Healthy	37.42848	0.23802	3.13501	0	0	0	0	0	0	0.83359	39.98426	37.42848	0	0	0	0	0	2.18475	1.12109	0.00794
Healthy	14.87514	1.42733	0	0.92934	0	0	0.20882	0	0	0	51.95529	14.87514	0	0.17416	0	0	0	0	0.04651	0
Healthy	0.64545	1.45529	0	0	0.55019	0	0	0.01292	0	0	92.81289	0.64545	4.2841	0	0	0.01292	0	0	0	0
Healthy	20.44622	11.38099	0.49975	0.61728	0.38836	0	0.12154	0.34776	0	0	33.16603	20.44622	0	2.54517	0	0.34776	0.92049	0.00113	0.14758	0.01283
Healthy	11.94382	31.38395	0.25985	0.01142	0	0	0	0.10367	0	0	51.54426	11.94382	0.27184	2.10393	0	0.10367	0	0	0	0
D015179	27.22745	12.50207	0.0954	5.05296	8.1867	0.01411	0.25126	0.44527	0.07028	0	9.43022	27.22745	0.51843	0.07943	0.01411	0.44527	0.78567	0	0.13334	0
D015179	11.45617	17.26343	0	7.78294	12.0828	0	0.1469	0	0	0	11.39371	11.45617	0.66341	0	0	0	0	0	0	0
Healthy	2.68635	0.55691	0	0	0	0	0	0	0	0	36.08333	2.68635	2.0968	0.34626	0	0	0	0	0	0
