group	Bacteroidaceae	Ruminococcaceae	Enterobacteriaceae	Veillonellaceae	Pasteurellaceae	Peptostreptococcaceae	Lactobacillaceae	Eggerthellaceae	Erysipelatoclostridiaceae		Bacteroidaceae	Rikenellaceae	Tannerellaceae	Dialisteraceae	Burkholderiaceae	Methanobacteriaceae	Marinifilaceae	Oscillospiraceae	Veillonellaceae	Pasteurellaceae
Healthy	20.3233	2.34681	0	0	0	0	0	0	0		20.3233	6.96963	1.38836	0	0	2.20838	0	0.87914	0	0
Healthy	33.35016	4.13225	0.13388	0.00243	0	0	0	0	0		33.35016	15.94123	3.84116	7.61668	0.11188	0.91984	1.23081	0.08279	0.00243	0
Healthy	45.14646	3.61009	0.09389	0	0	0	0	0.00443	0		45.14646	15.84127	4.39523	2.84921	0.26229	0.06314	0.77326	0.01522	0	0
Healthy	50.4625	10.20938	0	0	0	0	0	0	0		50.4625	0.91171	0	0	0.04924	0	0	0	0	0
Healthy	87.56983	0.47776	0.01077	0.00567	0.01136	0.42534	0	0	0		87.56983	0.22771	0	0.82615	0	0	0	0.03935	0.00567	0.01136
Healthy	28.09092	4.02687	0.00903	0.02073	0	0	0	0.02361	0		28.09092	1.77545	17.6543	10.2571	0.02565	0	0.45607	0.24086	0.02073	0
Healthy	49.94599	4.42476	0	0	1.81989	0.14632	0	0	0		49.94599	1.87102	0.28595	1.84818	0.05455	0	0	0	0	1.81989
Healthy	2.75743	24.1703	0	0	0	0	0	0	0		2.75743	0.82712	0	9.46156	0	0	0	0	0	0
Healthy	39.23273	4.47674	0.0092	0	0.00195	0.01345	0	0.28108	0		39.23273	6.22792	3.48193	0	0	0.52921	3.30544	0.38997	0	0.00195
Healthy	55.7372	2.12034	0.07286	0.23551	0.023	0	0	0	0		55.7372	8.66821	5.10208	6.24256	0.29286	0	1.03995	0.60257	0.23551	0.023
Healthy	9.03133	0.00368	16.2661	3.20071	0.19266	0	0	0	0		9.03133	0	0.75704	0	10.9103	0	0	0	3.20071	0.19266
Healthy	26.41612	10.01197	0	0	0	0	0	0	0.22036		26.41612	8.31905	6.52016	0	0	2.8803	2.06509	0.33091	0	0
Healthy	55.57526	1.86857	0.02321	0	0	0	0	0	0		55.57526	11.07429	1.47904	6.41941	0.21457	0	0.55504	0.0481	0	0
Healthy	85.81859	0.90434	0.37736	0.03427	0	0	0	0	0		85.81859	0	3.29067	3.32443	0.0857	0	0	0.18962	0.03427	0
Healthy	54.33304	3.8008	0.0328	0	0	0	0	0	0.50213		54.33304	6.63942	4.94019	0	0.04583	0	1.31168	4.02394	0	0
Healthy	25.45826	10.05209	2.17787	0	0	0	0	1.92975	0		25.45826	1.29699	1.76152	0	0	0	0	0	0	0
Healthy	52.38883	1.40551	0	0	0	0	0	0.0123	0		52.38883	7.02145	1.69946	0.0024	0.15651	0	0	0.04008	0	0
Healthy	36.05486	27.22336	0	0	0	0	0	0	0		36.05486	11.63986	4.03444	0	1.28454	0	1.39468	0.12367	0	0
Healthy	62.4949	1.60969	0	0	0	0	0	0	0		62.4949	14.76102	1.95304	3.23865	0.26069	0	0	0.01668	0	0
Healthy	18.8565	3.58402	6.37382	0	0	0	0	0	0		18.8565	8.94078	2.08417	0	0.03316	0.54614	0	0.66922	0	0
Healthy	52.84841	2.37657	0	0	0	0.09037	0	0	0		52.84841	0.12639	1.16581	0	0.01474	0	1.1273	0	0	0
D001172	40.61616	12.99143	0.06192	0.00049	0.01478	0	0.00112	0.00631	0		40.61616	3.2984	0.83596	0	0.42227	0	0	1.10272	0.00049	0.01478
Healthy	24.95525	0.69262	0	0	0	0	0	0	0		24.95525	16.12624	0	0	0.1002	0	0	1.66202	0	0
Healthy	31.29799	1.051	0	0	0	0	0	0	0		31.29799	0.23838	2.05761	0.59117	0	15.6428	1.03345	0.0234	0	0
Healthy	31.97894	1.09293	16.4109	0	0	0.35363	0	0	0		31.97894	3.02671	1.90474	0	0.04035	0.32705	0	0	0	0
Healthy	73.8556	2.47447	1.67377	0	0	0	0	0	0		73.8556	1.50364	8.83823	0	0.08025	0	0	0.96798	0	0
Healthy	11.09524	2.97284	0	0.875	0	0	0	0	0		11.09524	0	0.90553	4.25365	0	3.21156	0	0	0.875	0
Healthy	13.88747	4.90963	0	0	0	0.28594	0	0	0		13.88747	7.9668	1.56111	0	1.15039	0.11285	1.1161	0.04687	0	0
Healthy	52.38316	1.40013	0	0	0	0	0	0.02018	0		52.38316	7.21644	1.80397	0	0.19017	0	0	1.6631	0	0
Healthy	55.62337	2.20024	0.02833	0.22337	0.01062	0	0	0	0		55.62337	8.44097	5.15553	6.31044	0.29889	0	0.99432	0.69402	0.22337	0.01062
Healthy	7.9325	2.60289	1.75061	0	0	0	0	0	2.57172		7.9325	1.61128	0.24212	2.39552	0	1.04718	0	0	0	0
