group	Bacteroidaceae	Ruminococcaceae	Enterobacteriaceae	Burkholderiaceae	Coriobacteriaceae	Desulfovibrionaceae	Micrococcaceae		Lachnospiraceae	Tannerellaceae	Acutalibacteraceae	Barnesiellaceae	Methanobacteriaceae	Streptococcaceae	Coriobacteriaceae	Oscillospiraceae	Desulfovibrionaceae	Eggerthellaceae
Healthy	12.59282	2.97653	9.39904	0.08959	0.58354	0.18958	0.00982		5.48461	1.7933	3.61899	4.25885	0.07517	0.01927	0.58354	0.25382	0.18958	0.06985
Healthy	85.53744	0.80297	0.38656	0.11966	0.13178	0.00253	0		1.21892	3.22796	0.39264	0	0	0.20842	0.13178	0.13158	0.00253	0
Healthy	44.79468	0	2.90482	0.07877	0	0.0383	0		11.90134	35.1158	0.04091	0	0	0.07356	0	0.45575	0.0383	0
Healthy	32.48011	6.18389	0.09232	1.39314	0.15204	0.13826	0		6.58367	9.79868	0.63795	5.56533	0.17643	0.00636	0.15204	0.16672	0.13826	0.03016
Healthy	22.29547	6.07336	5.3394	0.03034	0.00031	0.35495	0.00036		3.07898	0.00738	2.62589	8.0343	3.08044	0.01463	0.00031	0.06471	0.35495	0.05899
Healthy	50.05089	1.69158	0	0.70225	0.1128	0.02838	0		1.71238	5.73169	1.97063	0	0	0	0.1128	0.03207	0.02838	0
Healthy	11.45445	6.1481	0.00681	0.88008	0.29588	0.37016	0		13.19326	3.9656	0.0976	7.4203	0	0.09888	0.29588	0.42658	0.37016	0
Healthy	53.10742	1.00071	0	0.08336	0.03785	0	0		23.45088	0.87545	0.66502	0.11893	1.90301	1.60955	0.03785	0.00715	0	0
Healthy	21.86425	14.56236	1.88746	1.38138	1.00364	0.05407	0		12.8256	1.66492	3.92368	0.59791	0.42914	0	1.00364	0	0.05407	0
Healthy	74.44349	3.19307	0	0	0	0	0		11.33591	2.37585	0	0	0	0	0	0	0	0
Healthy	57.19175	7.34323	1.43986	0.56976	0.38453	0.03475	0		17.3938	0.81371	0	1.35529	0	0.40837	0.38453	0	0.03475	0.03878
