group	Firmicutes_A	Actinobacteriota	Firmicutes	Verrucomicrobiota	Methanobacteriota		Bacteroidota	Proteobacteria	Desulfobacterota	
Healthy	42.38918	3.17337	0.4464	0	0		20.1959	0.47565	0.01352	
Healthy	36.57424	20.14354	0.35671	0.87286	1.43462		22.26482	3.38383	0.11973	
Healthy	23.98365	1.47329	0.10518	1.05654	0		52.15726	0.59902	0.20998	
Healthy	28.72613	0.03064	0.00441	0.01073	0		61.05334	0.11734	0	
Healthy	10.29137	4.3473	0.00552	0.14766	0.0539		70.56182	0.38901	0.07482	
Healthy	31.97915	0.45638	0.04243	0	0		64.07224	0.16367	0	
Healthy	3.07896	0.19576	0.05424	0.83505	0		83.56988	1.5313	0	
Healthy	47.58903	0.31581	0.07124	0.00071	0		37.34462	2.8125	0.05661	
Healthy	46.68091	0	11.24847	0	0		20.76636	0.04874	0	
Healthy	30.58217	2.18797	0.11229	0	0		13.76706	0.11785	0.11021	
Healthy	26.44987	0.95593	0.60722	0.02587	0		46.47794	8.07395	0	
Healthy	32.10056	0.60735	3.8281	0	0		49.42088	0.54305	0.01742	
Healthy	27.14749	0.43579	0	1.81914	9.02686		45.03545	0.02496	0.01113	
Healthy	67.15059	1.43563	1.13999	0	3.78245		7.28498	0.04642	0.01529	
Healthy	9.21369	0.60994	0.13624	0	0		81.27551	0.41786	0.066	
Healthy	6.314	1.52229	0.17547	43.4397	0		13.21373	10.18708	0.73443	
Healthy	27.46917	0	0	1.87694	0		53.02912	1.36805	0	
Healthy	63.16396	9.51811	2.54003	0	0		12.07781	1.84029	0.02349	
D000236	68.40216	2.34915	2.81065	0.43411	4.35192		10.19545	1.78317	0	
Healthy	75.1473	21.2371	0	0	0		3.61561	0	0	
Healthy	7.72351	0.39039	0.07386	10.5195	0		65.94451	0.11483	0.31288	
Healthy	9.8679	0.63218	0.30044	0	0.09708		77.56292	0	1.50048	
Healthy	39.85001	3.10523	10.42887	0	0.67796		29.81266	0.04694	0	
D000236	64.81147	3.60469	4.21448	0.00423	0		20.1467	0.07273	0.00067	
Healthy	22.14707	36.33299	1.86789	0	0		22.77193	3.91711	0	
Healthy	52.22403	2.50785	2.37947	6.51919	0		10.42839	0.41904	0.00355	
Healthy	24.07003	23.77029	0.71156	0	0		45.48252	1.00813	0	
Healthy	6.85786	0.57632	0.09797	0	0		76.63304	0.39918	0.01044	
Healthy	10.76554	0.36374	0.03241	0.63345	0		66.78557	0.0414	0.08483	
Healthy	40.68505	0.33473	0	0	0		50.42891	0.29535	0	
Healthy	38.38682	0.437	0.87812	0.00699	1.82276		44.35637	2.88335	0.01117	
Healthy	4.44671	20.8616	32.73426	0	0		30.0198	2.9113	0	
Healthy	26.29315	0.25051	0.12761	0	0		63.94943	0.48382	0	
Healthy	10.27166	0.13008	0.24703	0	0		61.69048	0	0	
Healthy	26.52187	0	2.60774	0	0		57.9843	0.81232	0	
D000236	43.14408	17.82144	0.75669	0.11858	0		17.57877	2.59658	0	
Healthy	41.09663	4.03175	14.02652	0	3.06148		19.00735	0.6764	0	
Healthy	64.31868	2.64138	0.96391	0	3.42295		5.40398	0.09599	0.19699	
Healthy	27.91366	8.49309	0.17983	0	0		45.86689	1.47275	0.01015	
Healthy	35.21632	0.03904	1.64296	0	0		0	4.21267	0	
Healthy	19.18823	0	0	0	0		72.28686	0.02892	0	
Healthy	11.44158	6.21017	0.18017	7.1259	0		44.13677	0.2694	0.13413	
Healthy	31.40078	0.36123	0.29067	0	0		22.0643	2.59823	0	
D000236	31.83956	4.06102	32.49254	0	0.05041		21.13672	0.40393	0	
Healthy	3.09498	0.20647	0	1.8733	0		92.17976	0.59653	0	
Healthy	66.50543	0.63076	1.94967	0.00548	0		15.68105	0.24799	0	
Healthy	6.64172	1.92278	0.54845	0.13239	0		45.26359	0.35924	0.66408	
Healthy	13.51689	0.67161	0.02539	0	0		61.21567	7.45975	0	
Healthy	9.18061	3.89802	21.27618	0	0		18.16766	2.71161	0	
Healthy	18.60734	0.55591	0.17892	0	0		63.72663	0.07952	0.06978	
Healthy	13.41177	2.844	0.15116	0	0.07196		45.81514	3.19333	0.1381	
Healthy	23.67351	0.389	3.37988	0	0		60.09151	0.15017	0	
Healthy	47.19961	0.60172	0.29905	0.69784	1.31778		11.94756	0.52274	0	
Healthy	35.43325	9.87513	5.08692	0	0		21.40224	0.31866	0	
Healthy	12.84356	36.28174	0.02407	0.03307	0		31.15761	0.10428	0.00756	
Healthy	6.40872	1.35927	0.13551	43.9894	0		13.2891	10.50216	0.45505	
Healthy	35.0942	0	0.07046	0	0		6.10528	0	0	
Healthy	6.49942	0.03053	0.22781	0	0		84.30083	0.04867	0	
Healthy	26.65133	6.88401	0.57817	2.98314	1.67696		39.73911	0.2106	0.1039	
Healthy	7.82485	0.41749	0.06869	10.41	0		65.75268	0.09557	0.33848	
Healthy	5.38511	1.39339	0.25247	0	0		56.41676	0.27484	0.0425	
Healthy	13.49291	2.98358	0.10707	0	0.05882		46.58744	3.08931	0.13362	
Healthy	6.12905	1.93619	0.00942	4.66138	0.16213		59.46027	0.16428	0.77618	
Healthy	22.03842	0.4735	0.37228	0	0		56.5792	0.86782	0.0132	
Healthy	26.40525	3.26869	0.85784	0.10078	0		46.11877	2.57426	0.00124	
Healthy	0.00089	0.42012	0.23432	0.00431	0		97.67362	0.00203	0	
Healthy	3.28311	0.27915	0.02247	0	0		70.63059	0.17823	0	
Healthy	20.80519	4.82032	0.1106	3.29025	2.94825		45.27481	0.8243	0	
Healthy	14.01587	0.44499	0.31626	23.1101	2.14605		29.47014	0.01818	0.65749	
Healthy	11.05421	6.05152	0.17455	7.09147	0		44.41535	0.27735	0.1094	
Healthy	42.33858	0.25895	5.2092	0	0.02465		36.30805	0.02241	0	
