group	Veillonellales	Coriobacteriales	Peptostreptococcales		Bacteroidales	Lachnospirales	Enterobacterales	Verrucomicrobiales	Burkholderiales	Methanobacteriales	Erysipelotrichales	Coriobacteriales	Acidaminococcales	Peptostreptococcales
Healthy	0	0.14886	0		69.58044	1.00013	0	0	0.0624	0.02876	0.56566	0.14886	0	0
Healthy	0	0.05215	0		77.68829	0.6717	0.04198	0	0.07281	0	0.0243	0.05215	0	0
Healthy	0.0072	0	0		61.68826	19.14931	0.03656	0.6598	0.05142	0	0	0	0	0
Healthy	0.00213	1.61836	0		56.32307	6.12314	0.13218	0	0.0078	0.1953	0.00486	1.61836	0	0
Healthy	0.0216	0.08121	0.33346		54.50758	23.11718	0.29244	0	0.0461	0	0	0.08121	0	0.33346
Healthy	0	0.06576	0		43.3074	2.7656	0	0	0.11856	0	0	0.06576	0	0
Healthy	0	0	0		72.56282	2.56661	2.24934	0	0.38935	0	0	0	0	0
Healthy	0.31288	0	0		22.69552	2.54508	0	0	0	0	0	0	0	0
Healthy	0.06109	2.23707	0.62159		19.20653	37.05151	0.95059	0	0	1.04804	12.33642	2.23707	1.78486	0.62159
Healthy	0.00798	0.16171	0		61.23649	21.07635	0.06129	0	5.13042	0	0.01058	0.16171	0	0
Healthy	0	0.19611	0		61.52382	20.93701	0.08635	0	5.22325	0	0.04521	0.19611	0	0
Healthy	9.44246	0.02368	0		61.23341	2.18098	6.53906	0.79293	1.43392	0	0	0.02368	0	0
Healthy	0.15883	0	0		60.29015	7.5361	0.80726	5.96611	2.31024	0	0.07757	0	0.26823	0
Healthy	0.23887	0.00925	0		60.90446	3.34133	0	0.05654	2.72043	0	0	0.00925	0	0
Healthy	0.56786	0	0		38.99953	15.7248	3.05793	0	0	0	0.31989	0	0	0
Healthy	0	1.21596	0		16.03709	23.11447	0	0	0.18887	0	0	1.21596	0	0
Healthy	10.1396	0	0		72.96854	2.78405	0	0	0	0	0	0	0	0
Healthy	0.00816	0.13351	0		63.08919	21.6091	0.10077	0	5.04198	0	0.02511	0.13351	0	0
Healthy	0	0	0		86.49669	3.97071	1.79721	0	0.06696	0	0.02595	0	0	0
