g	Phytobacter	Acinetobacter	Pseudomonas_E	Leclercia	Serratia	Veillonella	Staphylococcus	Longicatena	Bacteroides	Phocaeicola	Alistipes	Faecalibacterium	Agathobacter	Parabacteroides	Roseburia	Mediterraneibacter	Enterocloster	Blautia_A
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	1.12349262823002	1.59103910539667	1.06650408002839	0.597826770377936	0.0692091448179196	0.103064449522434	0.459832591038708	-0.806013236914305	-5	-5
D007234	1.61247773013192	-1.71489297043319	-0.251625886660065	-0.722413704215237	0.227068741642177	-2.48945498979339	-0.889309302726246	0.191107131756712	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.138826693810669	-5	-5	-5	-5	-5	-5	-5	1.70205674450689	1.40656402339806	-0.47362194804811	0.411463129730481	-5	-1.07572071393812	0.485613549095518	-0.116179636472111	-0.263834651705105	-1.1439360466669
Healthy	-1.34794715175189	-5	-5	-5	-5	-5	-5	-5	1.02810010488922	0.284107995197332	1.3638446693063	0.920613718564758	0.465274264253977	1.1939645351747	0.429939519038902	0.152725477208115	-5	-5
D007234	1.72386850704776	-5	1.09655235455813	-5	0.187303519290599	-5	-5	-5	1.34353699205621	-5	-5	-5	-5	-0.707899061519581	-5	-5	0.277661922309125	-5
Healthy	-0.436139369480359	-5	-5	-5	-5	-0.692824987959655	-5	-5	0.894455634909287	1.30729018061431	1.45896537235672	0.629901724475788	-5	0.718447710099263	-0.592626093688996	-0.641398984056981	-1.78462684721658	-1.41600820080168
Healthy	0.328275604985012	-5	-5	-5	-5	-2.08354605145007	-5	-2.14206473528057	1.12296843999036	1.20082807172646	0.943786750180887	0.587639137769875	0.789213945113378	0.16683254525725	-0.114474819516688	-0.114932933118282	0.280610235670447	-0.241913597183244
D007234	-1.33761997998375	-5	-5	-5	-5	1.61403525645518	1.31291853753562	-2.00217691925427	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
D007234	1.63781792809619	-0.851058185097089	-0.443142921632784	-1.77237035042899	-0.53877167821945	-1.89483057200067	-1.08175990977858	0.576140860328306	-5	-5	-5	-5	-5	-5	-5	-0.705688119097987	-5	-5
Healthy	0.0261940310141587	-5	-5	-5	-5	-5	-5	-2.55284196865778	1.69569675659865	-0.195676525802456	0.396769311460364	-0.390245560871144	-0.604708561615517	0.24360598252689	-5	-2.01010543628123	-0.552624875685551	-1.58753945257004
Healthy	-5	-5	-5	-5	-5	-2.67778070526608	-5	-5	0.870808745883327	1.18444469282898	0.902693512358132	0.748410545912575	0.719923479529221	0.148361998868332	0.530526257087582	-0.0651532428924179	-0.704938955422377	-0.54712535624405
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.33654998567353	-0.150236726737866	-5	0.819021810408162	0.754532565943352	-0.067779986122881	0.668361684991407
Healthy	-0.366875075889939	-5	-5	-5	-5	-1.62653627836763	-5	-5	1.88263375241411	0.9775164660035	-5	-0.285150739162974	-5	0.502208552047306	-0.367633828104151	-1.1919917000896	-0.867676259959009	-1.91044811711355
D007234	-5	-5	1.38518088567486	-5	-5	-5	0.351167980231891	1.65465207944646	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	1.44388589005597	1.37526717364479	0.574391293348047	0.632776062724541	0.862383650213745	-0.566790391228526	0.388536344172804	-0.751953130641338	-1.52028076456043	-0.470210448900383
