group	Faecalibacterium	Mediterraneibacter	Streptococcus	Enterocloster	Bariatricus	Blautia_A	Dorea	Eubacterium_G	Eubacterium_I	Coprococcus_A	Bacteroides	Alistipes	Parabacteroides	Sutterella	Odoribacter	Flavonifractor	Alistipes_A	Parasutterella	Holdemania	Pseudodesulfovibrio
Healthy	3.68747	0.01206	0.0434	1.22485	0.2981	0.93517	0.15698	0.1812	0.1627	0.05733	43.0888	14.88692	2.36362	0	4.36243	0.00911	0	0	0	0
Healthy	7.98751	0.32129	0.05048	0.13632	0.05578	0.15126	0.13256	0.1802	0.00697	0.12783	3.9422	4.65659	1.19501	0.30764	0.84118	0.02344	0.02471	0.00114	0	0.00119
D000236	11.5299	0.2516	2.74074	1.26001	0.66679	2.22629	0.16358	0.84957	0.22739	0.43504	8.20201	5.55049	0.89102	0	0	0	0	0	0	0
Healthy	1.11355	0.63161	0.31769	0.25737	0.6993	0.52206	0.17017	0.17161	0.03809	0.04133	14.45132	1.00068	2.10844	0.37442	1.06521	0	0	0.02046	0	0
Healthy	4.47299	0.1324	0.38617	0.0024	0.02335	0.01875	0	0.00203	0	0	33.62182	17.98824	1.85882	2.38969	0.7931	0.0685	0	0	0.07792	0
Healthy	4.26482	0.22834	0.00291	0.01641	0.03658	0.03836	0.06314	0	0	0	7.84251	28.77168	5.22934	0	1.45795	0	0.20337	0.013	0	0
Healthy	5.49425	2.57159	0.68029	0.03353	3.90069	0.18631	1.19353	3.61987	0.67598	0	5.36384	1.46658	0.38155	0	0.52809	0.1098	0.06156	0.18365	0	0
Healthy	3.86935	0.76747	0.07392	1.90813	0.15763	0.5729	1.07415	0.5328	1.62433	0	13.27297	8.7859	1.46835	0	1.36225	0.08154	0.0424	0.00147	0.0726	0.04863
Healthy	3.14863	0.3143	0.05079	0.05766	0.0344	0	0	0.03111	0	0	5.531	9.84734	0.89272	0.08094	1.05331	1.2697	0.02117	0	0	0.08559
Healthy	0.40714	0.00976	0	0.28013	0.05957	0.02584	0.00456	0.08737	0	0.00678	49.62456	2.49326	1.75228	0	0	0.17583	0	0.01997	0.35396	0.14991
Healthy	5.60286	0.86068	0.02683	0.19726	0.43148	0.2837	0.14329	0.36718	0.17875	0.11158	7.42691	7.99269	1.40721	1.85847	1.54784	0.01682	0	0	0	0
Healthy	21.7045	5.6824	0	0.85549	0.46665	4.65973	3.79291	0.07597	0.64915	0.5795	0	0	0	0	0	0	0	0	0	0
D000236	9.73243	0	0.10315	1.51759	0.96784	0.55704	0.54786	0.61955	0	0.17529	2.25806	3.77343	3.07648	0	0	0	0	0	0	0
Healthy	18.062	1.73861	0.05086	0.49992	1.2423	1.63427	1.69863	0	0.0088	0.22088	0	0	0	0	0	0	0	0	0	0
Healthy	16.8632	0.00521	0.01848	0.96425	0.47997	0.34622	0	0.43194	0	0	44.14174	1.60532	2.47829	0	0	0.27357	0.00478	0.39081	0.12269	0
