group	Agathobacter	Prevotella	Butyrivibrio_A	Barnesiella	Methanobrevibacter_A	Mediterraneibacter	Anaerobutyricum	Anaerostipes	Paraprevotella	Coprobacter	Prevotella	Barnesiella	Mediterraneibacter	Enterocloster	Anaerobutyricum	Blautia_A	Paraprevotella	Dorea	Anaerostipes	Coprobacter
Healthy	1.73815	2.12059	0	0	0	3.4149	0	0	0.82044	0.07552	2.12059	0	3.4149	1.22495	0	0	0.82044	0	0	0.07552
Healthy	13.0256	6.79792	0	1.3095	0.20726	9.01518	0.26443	1.0676	0	0	6.79792	1.3095	9.01518	5.10983	0.26443	0.34818	0	0.45702	1.0676	0
Healthy	7.97763	0	0	0.78884	0	0.55036	0.17258	0.10545	5.3688	0.03296	0	0.78884	0.55036	0.4649	0.17258	0.18999	5.3688	0.13819	0.10545	0.03296
Healthy	10.4535	0	6.79222	0.42416	2.44739	0.25141	2.54507	0.32253	0	0	0	0.42416	0.25141	0.27615	2.54507	0.60366	0	0.13797	0.32253	0
Healthy	1.4496	31.28285	0	1.96991	0.00825	0.40435	0	0	0.12916	0	31.28285	1.96991	0.40435	0.6479	0	0.02905	0.12916	0.0541	0	0
Healthy	4.3973	0	43.5642	1.05127	0.21268	0.49241	0.60179	0.25544	0.15027	0.04616	0	1.05127	0.49241	0.33257	0.60179	0.29519	0.15027	0.14741	0.25544	0.04616
Healthy	1.80195	0	0	0	0	0.20743	0	0	0	0	0	0	0.20743	0.02275	0	0	0	0	0	0
Healthy	7.74604	0.0586	0	0	0	1.37903	0.45317	0.34813	0	0	0.0586	0	1.37903	0.44734	0.45317	0.4357	0	0.07974	0.34813	0
Healthy	1.10025	0	0	2.89475	0	1.21669	3.01429	0.12998	0.12661	0	0	2.89475	1.21669	0.25967	3.01429	0.71833	0.12661	0.23069	0.12998	0
Healthy	1.25576	0	0	0	0	0.0538	0.0073	0	0.89577	0	0	0	0.0538	0.0491	0.0073	0	0.89577	0	0	0
Healthy	38.7322	21.8334	0	0.52702	0	0.10851	0.19956	0.23984	0.05402	0.00196	21.8334	0.52702	0.10851	2.00065	0.19956	0.38947	0.05402	0.49999	0.23984	0.00196
Healthy	0.38192	45.2425	0	0.79806	0	0.29819	0	0	0.25049	0.01366	45.2425	0.79806	0.29819	0.05866	0	0	0.25049	0	0	0.01366
Healthy	7.33956	0	0	0.83378	0.77623	0.04036	0.16639	0.50882	0.22683	0.03313	0	0.83378	0.04036	2.04222	0.16639	2.27022	0.22683	0.59673	0.50882	0.03313
Healthy	7.07654	0	0	0	0	2.97291	0	0	0	0	0	0	2.97291	0	0	0	0	0	0	0
Healthy	0	0	0	2.03364	0	0.0859	0.01332	0	0	0.33205	0	2.03364	0.0859	0.4271	0.01332	0.04375	0	0	0	0.33205
Healthy	0.58116	0	12.3068	2.7135	0	0.02481	0.0201	0	0	0.10525	0	2.7135	0.02481	0	0.0201	0.04747	0	0.08596	0	0.10525
Healthy	0.83227	0.00981	0	4.25885	0.07517	0.17879	0.39557	0.04555	0	0.03318	0.00981	4.25885	0.17879	1.15285	0.39557	0.06503	0	0.00404	0.04555	0.03318
Healthy	0	0	0	0	0	0.14083	0.00928	0.01594	0	0	0	0	0.14083	0.12766	0.00928	0.01191	0	0	0.01594	0
Healthy	0	0	0	0	0	1.25518	0	0	0	0	0	0	1.25518	8.90162	0	0.06956	0	0.37376	0	0
Healthy	2.04603	0	0	5.56533	0.17643	0.17724	0.04734	0	1.5988	0.40654	0	5.56533	0.17724	0	0.04734	0.1027	1.5988	0	0	0.40654
Healthy	0.05495	0.00378	0	8.0343	3.08044	0.55596	0.01762	0.05691	0	0	0.00378	8.0343	0.55596	0.70583	0.01762	0.12309	0	0.0093	0.05691	0
Healthy	1.22578	0	0	0	0	0.0681	0.01828	0	0.77136	0	0	0	0.0681	0.05462	0.01828	0.00329	0.77136	0	0	0
Healthy	3.37257	5.62755	0	7.4203	0	0.02935	0.6216	0.07445	1.06194	0.06417	5.62755	7.4203	0.02935	0.87992	0.6216	0.24514	1.06194	0.50902	0.07445	0.06417
Healthy	10.1396	26.4025	0	0.11893	1.58479	0.05952	1.08564	0.16869	2.04582	0	26.4025	0.11893	0.05952	0.72787	1.08564	0.57152	2.04582	0.68709	0.16869	0
Healthy	6.52916	0	0.36103	0.59791	0.42914	0.81629	1.43622	0.62812	0.18981	0.39662	0	0.59791	0.81629	0.04296	1.43622	0.50349	0.18981	0.05316	0.62812	0.39662
