p	Firmicutes_C	Proteobacteria
Healthy	-0.211209632879726	0.494574765485986
Healthy	0.974625432600287	-0.300986568387119
Healthy	0.484362487146738	1.1639484167023
Healthy	-5	-0.201729269430518
Healthy	0.644666017494313	-0.795635795378995
Healthy	-0.721429298389484	0.271897341289242
Healthy	-5	-0.215796518243505
Healthy	0.0422722272820386	-5
Healthy	0.156185572840975	0.402398958913232
Healthy	-5	1.30394192772538
Healthy	-5	-5
Healthy	-2.59516628338006	-0.334569115086333
Healthy	-0.171578579845203	-0.152482865008472
Healthy	-5	-0.516712319794906
Healthy	-5	0.484151726794627
Healthy	-5	-0.846703550644695
Healthy	0.136730077150427	1.24904932599836
Healthy	-5	0.427206876407176
Healthy	-0.598358251502229	-1.97224279530945
Healthy	1.03797280742634	0.0360976775378956
Healthy	-2.52143350440616	1.57154742590704
Healthy	-5	-0.52264718330103
Healthy	0.339501128908108	0.143236577490018
Healthy	-0.429865862861032	0.496413443828269
Healthy	-5	0.717303443970774
Healthy	-0.895751953009556	-0.242649528961645
Healthy	-0.176773637199388	-1.06233168560099
Healthy	0.780592350225321	-0.893401186787463
Healthy	0.401026403867827	0.032920808723266
Healthy	0.557011269750501	-1.29285581165755
Healthy	-0.506332868771982	0.156149198245543
Healthy	-2.56383735295924	0.700983063774522
Healthy	0.652423311378598	0.776236138320199
Healthy	-0.314580744011219	-0.180541615736409
Healthy	-5	0.851575695894491
Healthy	-0.552547368773007	0.901360226244746
Healthy	-5	-0.0564856989189822
Healthy	1.03554740203881	0.153375776449443
Healthy	-5	-5
Healthy	-5	-1.48188105285685
Healthy	0.55230676192587	0.465903098173303
Healthy	-5	0.306397146022309
Healthy	0.035165478670687	-0.663580295137342
Healthy	0.316963680016701	-0.67970828076044
Healthy	-5	-5
Healthy	-5	-0.977530387232231
Healthy	-0.533399263703119	-0.751781438809925
Healthy	-1.00013030789173	-0.291443138533065
Healthy	-1.1809169242563	-0.190467219191024
Healthy	0.632162600863815	-1.05354773498693
Healthy	0.891575366191048	-0.952374722418216
Healthy	-5	-1.7486051499599
Healthy	0.27692572289227	0.384421519363865
Healthy	-5	-0.850349886901885
Healthy	-0.390362910367699	1.04293524116469
Healthy	-5	-0.632085261206247
Healthy	-0.142558943517697	-1.35408672496616
Healthy	-5	-0.459357745590347
Healthy	-5	0.368381731155174
Healthy	-5	-0.960823915623959
Healthy	-5	-0.99516293906169
Healthy	0.368130622375795	-5
Healthy	-1.55330753362847	0.288970958785297
Healthy	0.800713642394728	-0.863057587224632
Healthy	-1.33404397054604	-0.797402714307569
Healthy	0.273552186952707	-5
Healthy	0.716942741512267	0.643753617233498
Healthy	-5	-5
Healthy	-5	-0.661185062582381
Healthy	1.23019363448668	-5
Healthy	-5	-0.422347380134311
Healthy	-5	0.390345054591028
Healthy	-5	-0.0434426082143211
Healthy	0.888701120472861	-0.515856819701657
Healthy	0.89456416008159	-0.262155609446585
Healthy	-0.760700520873107	0.402813144789682
Healthy	-1.12702836926156	-0.0632450498048795
Healthy	0.56917954568673	0.18840532883004
Healthy	-1.62287595765354	-0.792500276692695
Healthy	-2.07675598136972	-0.0890929155365384
Healthy	-0.765179120192599	-0.0162249147147869
Healthy	-5	-5
Healthy	-5	-0.773168189341279
Healthy	-5	0.516055203229235
Healthy	-5	0.966427099553072
Healthy	-5	0.374632885294772
Healthy	-0.318885450324489	-0.349779927514109
Healthy	-5	-5
Healthy	-5	0.0228570923278079
Healthy	-5	-0.357555265834189
Healthy	-5	0.492504764325413
Healthy	-5	-0.35762452420095
Healthy	-0.0436106351760927	-0.942219823205418
Healthy	-1.93854752091281	-1.38605252321965
