group	Lachnospirales	Methanobacteriales		Bacteroidales	Lachnospirales	Actinomycetales	Enterobacterales	Veillonellales	Methanobacteriales	Erysipelotrichales	Coriobacteriales	Desulfovibrionales	Peptostreptococcales
Healthy	2.80028	0.54418		65.12554	2.80028	0	5.34661	0	0.54418	0	0	0.06167	0
Healthy	0.61733	0		45.519	0.61733	1.07843	0.50252	3.0011	0	0.52419	0.76566	0.65801	0
Healthy	36.3664	0		38.42566	36.3664	0	0.16732	9.7945	0	0.21681	0	0.06499	0
Healthy	15.4323	0.24888		57.43447	15.4323	0	0	0	0.24888	0	0	0.05635	0
Healthy	68.2424	0		25.9085	68.2424	0	0	0	0	0	0	0	0
Healthy	4.86264	0.94585		60.72875	4.86264	3.76883	0.16819	7.60652	0.94585	0.00557	0	0.37818	0
Healthy	15.08881	0		39.65412	15.08881	3.91922	0	8.39761	0	0.03077	0.70297	0.24869	0.14257
Healthy	2.09841	0		68.11255	2.09841	0.15458	0.77609	10.51246	0	0	0	0	0
Healthy	14.92776	0		51.31828	14.92776	0.08497	0.01246	0.00199	0	0.02119	0.16427	0.24608	0
Healthy	15.56181	0		61.18119	15.56181	0	0	0	0	0.00749	0	0	0
Healthy	33.07218	0		26.18248	33.07218	1.55761	0.32653	0.00441	0	1.48201	0.48756	0	0.0005
Healthy	7.50789	0		60.2623	7.50789	0.84066	0.7776	0.08596	0	0.06644	0	0	0
Healthy	22.98317	0		60.18214	22.98317	0.90259	0.96041	0	0	0.18432	0.60333	0	0.02075
Healthy	43.47845	0.64383		11.533	43.47845	0	0	0	0.64383	7.68274	0	0	0
Healthy	10.37783	0		42.72847	10.37783	0.2343	0.32129	0.03605	0	0.06627	0.00539	0	0.15627
Healthy	6.07036	0		74.81172	6.07036	0.21185	0	0	0	0.13293	3.05251	0.01841	0
Healthy	1.0229	0		13.58487	1.0229	0.02114	10.2792	2.79994	0	0.13948	1.49991	0.71462	0
Healthy	3.04903	0		71.38515	3.04903	0.58646	0.10061	0.02171	0	0.00218	0.04025	0.01487	0.0079
Healthy	44.59993	0		28.00834	44.59993	0.08384	0.22162	0.12942	0	2.63695	0.12091	0	0
Healthy	22.89878	0		44.18307	22.89878	4.09377	0.33885	0.05867	0	0.02658	0.14055	0.00464	0
Healthy	21.86949	0.68638		33.10014	21.86949	1.70394	0.1535	0.00416	0.68638	6.99111	0.27317	0.08871	0
Healthy	3.03262	0		85.82224	3.03262	1.23569	0.60552	0.35834	0	0.17487	0.07765	0	0.01532
Healthy	35.57277	0		33.90315	35.57277	1.73892	0.11169	0.04909	0	0.04409	0.19543	0.00376	0
Healthy	11.06907	0		70.51977	11.06907	0	0	0	0	1.27333	0.10602	0.0186	0.06537
Healthy	7.85057	0		62.9367	7.85057	0.11896	0	12.7095	0	0.02267	0.04102	0	0.0115
Healthy	32.19017	0.65232		33.13465	32.19017	0	0.03779	0.21227	0.65232	1.6906	0	0	0.09801
Healthy	29.09286	0		43.91144	29.09286	0	4.06115	0	0	0.13657	0.0029	0	0
Healthy	0.94561	0.01411		69.10783	0.94561	0.1269	0.06093	0	0.01411	0.52483	0.1261	1.42888	0
Healthy	31.45204	0.58046		22.25656	31.45204	0.1445	1.64715	0	0.58046	0.63958	0.24638	0.1026	0.03777
Healthy	26.45028	3.28183		13.31218	26.45028	0.30366	0.40844	0.09326	3.28183	9.54612	1.21051	0.02758	2.2151
Healthy	5.21396	0		67.98188	5.21396	0.19261	0	4.82061	0	0	0.02509	0	0
Healthy	5.93984	0.20356		55.93334	5.93984	12.31335	0.21949	0	0.20356	0.02318	1.74519	0.08565	0
Healthy	16.30264	0.07783		50.09099	16.30264	0.24184	0.102	0.12044	0.07783	1.27484	0.38301	0	0
Healthy	49.96242	0.0354		9.77201	49.96242	0.00719	0.0753	0.09329	0.0354	12.93595	2.10498	0	1.24703
Healthy	0.79012	0		49.84518	0.79012	1.6107	0.09194	0	0	0	0.14463	0.8116	0
Healthy	4.16175	0		85.64382	4.16175	0.26173	1.75907	0	0	0.02979	0	0.04785	0.03032
Healthy	23.46814	0		27.67924	23.46814	13.54931	0	3.85088	0	0	1.24155	0.00501	0
Healthy	48.04604	0		28.03494	48.04604	0	0.06126	0	0	0	0	0	0
Healthy	26.19694	0		9.82302	26.19694	11.57231	0	12.1143	0	0	1.80325	0	0
Healthy	16.14362	0		42.51116	16.14362	0.93536	0.03357	0.02405	0	0.73564	0.01862	0.13867	0.37331
Healthy	5.01792	0.09233		78.21362	5.01792	0	0	0	0.09233	0.20685	0.58449	1.5463	0
Healthy	33.39352	6.53455		32.48435	33.39352	0	3.11775	1.7791	6.53455	0	0	0	0
Healthy	42.68353	0		24.37262	42.68353	0.74147	0.1379	0.02851	0	0.18382	0.05074	0.04588	0.05455
Healthy	52.38186	0		25.24072	52.38186	1.32595	0.8832	0.04973	0	0.01604	0.10742	0	0
Healthy	1.82898	0		77.14817	1.82898	0.34933	0.25725	9.23712	0	0.08464	0.23506	0.01028	0
Healthy	22.67106	6.73		28.96809	22.67106	2.47811	0.01154	1.89676	6.73	0.22791	0.01832	0.08692	0.01811
Healthy	3.35925	0		67.93963	3.35925	0.34572	0	6.04788	0	0.29707	0	0	0
Healthy	4.30578	0		6.90874	4.30578	0	0	0	0	0	0	0	0
Healthy	1.12383	0		91.15794	1.12383	0.31964	0.4381	0.03376	0	0.17387	0	0	0.00252
Healthy	6.54934	0.20474		64.28467	6.54934	0.6049	0.12452	0.37411	0.20474	0.01542	0.22944	0.18817	0
Healthy	15.66101	0		34.19164	15.66101	27.9063	1.34731	2.31376	0	0.76407	0.2881	0	0.31638
Healthy	43.84315	0		32.61151	43.84315	0.78074	0	2.63703	0	0	0.44203	0	0.2142
Healthy	0.9399	0.01774		69.36234	0.9399	0.11949	0.09307	0	0.01774	0.49986	0.16083	1.68099	0
Healthy	6.0343	1.96453		29.16259	6.0343	0.11929	0	0	1.96453	0.299	0.45095	0.65119	0
Healthy	32.68181	0		30.15426	32.68181	0.07508	1.68824	0.04896	0	0.23297	0.09204	0	0.13173
D050177	25.5719	0.04034		31.49838	25.5719	1.21433	0.05687	10.7991	0.04034	0.04368	0.29803	0.0074	0.02852
Healthy	11.18063	3.37489		48.4901	11.18063	0	0.47148	0	3.37489	7.41531	0	0	0.60065
Healthy	4.35124	0		58.35947	4.35124	0.36245	0	0.52921	0	0	0.13704	0.3514	0
Healthy	1.8155	0		68.95983	1.8155	0.25283	0.09818	5.89787	0	0.03309	0	0	0
