s	Agathobacter_rectalis	Bifidobacterium_adolescentis	Collinsella_sp003487125	Enterocloster_aldenensis	Anaerobutyricum_hallii_A	Bariatricus_comes	Holdemanella_biformis	Blautia_A_wexlerae	Dorea_formicigenerans	Coprococcus_A_catus	Bacteroides_uniformis	Bacteroides_ovatus	Bacteroides_caccae	Alistipes_shahii	Odoribacter_splanchnicus	Alistipes_onderdonkii	Enterocloster_sp900540675	Parasutterella_excrementihominis	Clostridium_Q_symbiosum	Bilophila_wadsworthia
Healthy	-0.784653297137832	-5	-5	-5	-0.0402099759980748	-5	-5	-3.48148606012211	-5	-5	-5	1.27735956647451	-5	-5	-5	-3.63827216398241	-0.987500222461691	-5	-0.528517593372337	-5
Healthy	0.980003826342128	-5	-5	-0.291188325702672	0.289169615855791	-1.45001638884031	-5	-1.36602684421033	-0.258375742496188	-5	0.537893359373848	0.0743153238343697	-5	-5	-5	-1.19811629287476	-1.4279420100737	-2.1681302257195	-1.12971317100741	-1.19695278950887
Healthy	0.184424527372856	-5	-0.135411796988235	-0.764547308736781	0.146267607903087	-0.658466558559593	-5	-0.449820584291501	-0.17232708548923	-0.936141451146928	0.630983863435366	-0.829034593689159	0.334777340807662	-0.39834191697906	-0.23099952136564	-1.10050780386187	-2.32422165832591	-2.40120949323688	-1.91613919913343	-0.912005744900286
Healthy	0.596097644760988	0.185896131955969	-0.418323354039824	-0.760300203313339	-0.573895571903492	-0.63147139102061	-5	0.106884126580011	-1.08317771540409	-0.834280970199168	0.949987360515655	-0.115969713142589	0.0788228052228758	0.58230545438893	0.275523266187393	0.00889811477093967	-5	-5	-5	-5
Healthy	0.800094739387244	-5	-5	-5	-5	0.179066097936556	-5	-0.969400278034049	-1.32303218570524	-5	1.15164590880567	-2.01144104312138	-0.168450148004244	-0.130404564265568	-5	-1.04895405186418	-5	0.0322116708328178	-5	-1.70929775671215
Healthy	0.0692091448179196	-5	-5	-5	-5	-1.89928491342692	-5	-5	-5	-5	-5	-0.205086929227266	0.544504601026068	-1.47288588836019	-5	0.839081910868311	-5	-0.982215646903322	-5	-5
Healthy	-5	-5	-0.786880861188544	-0.314428430714649	-1.35684353438029	-0.691286223360996	-5	-1.1439360466669	-0.62231135926663	-0.966495827054825	0.861417906342299	-1.11690664142431	0.0989585184586372	-0.498488868275975	-5	-1.91292879409346	-1.39179499229567	-5	-1.39913596369016	-1.35872424276809
Healthy	0.465274264253977	-5	-0.850904108932027	-5	-5	-5	-5	-5	-1.46610089920341	-5	-0.233230345132159	-1.35842674682182	-0.0353680076113423	0.141528158831941	-5	-0.341340032379256	-5	-5	-5	-5
Healthy	-5	-5	-5	-1.78462684721658	-5	-1.43663759051339	-5	-1.41600820080168	-1.19962664510865	-5	0.0738942314791951	-0.273647766054769	0.567486309896987	-0.0380049724146412	0.163745609017912	0.588996233837113	-5	-1.88572270343841	-5	-2.14146280243036
D009765	-0.405508004259432	-5	-5	-0.605653403131687	-0.23879408081799	-0.702918262335014	-5	-1.01623843971384	-1.07268097504034	-5	-0.574889847456319	-5	0.0065173843747111	-5	-5	-5	-5	-5	-5	-5
Healthy	0.789213945113378	-3.0268721464003	-0.144814112987219	0.0531783581532302	0.543890567774985	-0.802333573806434	-5	-0.275077267770166	0.0310689759088528	-5	0.237581435680497	0.938372100005861	0.180618981186474	-5	0.134260004631847	-1.24741382125959	-0.141853963870512	-2.82973828460504	-2.08884239126002	-1.38806437495988
D009765	0.421748667575021	1.33820161945308	0.634821747689596	0.59997144964621	-0.262473413040513	0.15043712372892	-0.581036169296377	-0.293666341351703	0.0381947980865266	-0.146636457706984	-0.190063387080065	-2.53165266958784	-5	-0.690710589344743	-5	-2.06600683616876	-5	-5	-5	-5
Healthy	-0.604708561615517	-5	-0.166865642884846	-5	-1.97839728397176	-1.22489950112098	-5	-1.58753945257004	-2.34008379993015	-2.1681302257195	1.12920345491545	-0.657202408540632	-5	-0.134588040278472	-5	-5	-0.667581740297515	-1.69940451611004	-5	-1.53685386327365
Healthy	0.719923479529221	0.268996620854813	-0.446141236295426	-0.704938955422377	-0.535182694374016	-0.365029264827436	-5	-0.54712535624405	-0.843753809602655	-0.952374722418216	-0.606565197437011	0.55014393268369	0.154597412797664	-0.0335766540563069	0.189728871509213	-1.40837896178668	-5	-5	-5	-1.36291072646967
Healthy	-0.150236726737866	-5	0.566215868865457	-0.067779986122881	0.375872025297479	-0.330999423292625	0.286234100760879	0.668361684991407	0.578973682690939	-0.236939065468551	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
D009765	0.455183020864646	0.218057360628572	-0.749726413767754	-0.409314173809269	-0.359200660567289	-0.317692432184537	-0.338783814384497	-0.40621566658068	-0.937455618653535	-0.758154795685217	0.732548952156004	0.210198088763325	0.0378764966187931	-0.883591519370101	-0.152248477979458	-0.586683468115734	-2.65757731917779	-2.17392519729917	-5	-2.44490555142168
Healthy	-5	-5	-0.827718238544999	-5	-2.37059040089728	-5	-5	-5	-5	-5	1.04552677548952	0.774215409594811	-5	-5	-5	-5	-1.33526403148129	-0.952452566921365	-0.360174972704213	-5
D009765	1.53234039207159	1.17095983989959	-5	0.407869978861443	-0.329262595987879	0.629396345782503	-5	-0.324569966533781	-0.402568102643875	-0.0577984188488183	-2.06148027482351	-5	-2.40560744962457	-1.98842955640272	-5	-5	-5	-5	-2.8153085691824	-5
Healthy	0.862383650213745	0.224672884472722	-0.632196967250993	-1.52028076456043	-0.0591549302752905	-5	-0.357852165202157	-0.470210448900383	-5	-1.01488802046065	1.3416364888475	-1.00502332635031	0.0722977004717016	0.448004080951392	-5	-0.715005613277005	-5	-1.44733178388781	-5	-5
Healthy	-5	-5	-5	-5	-5	-2.44249279809434	-5	-1.21204387671607	-5	-5	1.10307849371244	-0.288369898028336	0.931335803564417	-0.196904947300362	-0.016279017238374	-2.57348873863542	-0.691841259640312	-5	-5	-5
D009765	1.37444423342094	0.573164129887883	0.3475778340325	-0.528664274838843	-5	-0.016987480222808	-0.340207358604859	-5	-0.574090987324797	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-1.0959339480855	-5	-5	1.17709794414435	-0.160899217292847	0.996126239937107	-0.0627178745145732	0.032916782799791	-1.47625353318844	-0.556314661183027	-5	-5	-5
Healthy	1.22462654110084	-0.80046421880166	-5	-1.36201021921531	-1.05556668229979	-1.14128238513971	-5	-0.553493899451059	-0.75119329587128	-1.49403648198187	0.779911637167357	0.14742278300467	-5	-3.08092190762393	-0.231354500272272	-0.0601913141937924	-1.93404701968613	-5	-5	-5
Healthy	0.056031575371879	-5	-1.1114274031424	-5	-1.54637592640855	-5	-5	-1.05295859474478	-1.1180450286604	-1.97551433230083	-1.28332902443986	-1.09221255688938	0.282936901911916	0.536882779809035	-0.0997093576097716	-0.5064304270213	-5	-0.415747951114134	-5	-5
