group	Ruminococcaceae	Marinifilaceae	Erysipelotrichaceae	Enterobacteriaceae	Streptococcaceae	Peptostreptococcaceae	Pasteurellaceae	Veillonellaceae	Eggerthellaceae	Micrococcaceae	Rikenellaceae	Acutalibacteraceae	Dialisteraceae	Barnesiellaceae	Methanobacteriaceae	Coriobacteriaceae	Oscillospiraceae	Desulfovibrionaceae	Eggerthellaceae	Coprobacteraceae
Healthy	0.71987	0	0	0.08088	0	0	0	0	0	0	8.27981	5.52631	12.9858	2.67909	0	1.0791	0.07299	0.00756	0	0
Healthy	17.86356	1.447	1.14247	0.03375	0.27012	0.25	0.12773	0.0363	0.00776	0.04553	0.57703	0.00231	4.58123	3.83289	0	4.32512	0	0	0.00776	0.00357
Healthy	3.93808	0	0.13551	10.2181	0	0	0	0	0.15215	0	1.20878	1.98079	2.60171	0	0	1.19682	0.10104	0.45505	0.15215	0
Healthy	3.3535	1.07194	0.0128	0	0.05589	0	0	0	0	0	9.70905	0	0	0.76415	0	0.28366	1.33726	0.33848	0	0.01321
Healthy	17.47799	0.62491	0.40667	0.06381	0.45117	0	0	0	0.04004	0	10.36282	0.07926	5.94604	1.78582	0	0.7939	0.05911	0.00124	0.04004	0.02264
Healthy	1.67666	0.60288	0.02247	0.06157	0	0	0	0	0.00233	0	14.5598	0.17536	5.89113	0	0	0	0.00889	0	0.00233	0
Healthy	1.132	0	0.17455	0	0	0.00258	0	0.02424	0.02894	0	4.97954	4.53107	17.7048	5.12769	0	0.67999	1.06876	0.1094	0.02894	0
Healthy	3.44451	1.44036	1.34329	0	0.01403	0	0.0175	0.00465	0.00077	0	1.25534	0.10581	0	0.39095	0.02465	0.05868	0.08893	0	0.00077	0
Healthy	18.91641	0	0	0	0	0.92052	0	0	0	0	1.26871	11.7396	5.0839	0	0	1.71217	0	0	0	0
Healthy	0.23802	0	1.12109	0	0	0	0	0	0	0	1.04566	3.13501	0	0.7484	0	0	0	0	0	0.49074
