group	Lachnospiraceae	Ruminococcaceae	Streptococcaceae	Veillonellaceae	Lactobacillaceae	Pasteurellaceae	Oscillospiraceae	Eggerthellaceae	Erysipelatoclostridiaceae	Peptostreptococcaceae	Lachnospiraceae	Rikenellaceae	Acutalibacteraceae	Enterobacteriaceae	Barnesiellaceae	Burkholderiaceae	Streptococcaceae	Erysipelotrichaceae	Lactobacillaceae	Coprobacteraceae
Healthy	17.42598	4.45408	1.47116	0.00824	0.90454	0	0.13401	0.29137	0	0.13647	17.42598	8.8283	0.02277	2.12948	2.84294	0.00433	1.47116	0.08093	0.90454	0.22887
Healthy	0.82468	4.01289	0	0	0	0	1.78574	0.01047	0	0	0.82468	2.49326	0.57939	1.06216	0	0.2712	0	0.35675	0	0
Healthy	13.15289	38.17465	0.02683	0.00209	0	0.01462	0.01682	0.05276	0	0	13.15289	7.99269	0.04283	0	0.51114	1.85847	0.02683	0	0	0
Healthy	29.97117	22.10912	0	0	0	0	0	0	1.12381	0.26971	29.97117	0	32.4931	0	0	0	0	1.933	0	0
Healthy	1.15799	0.89925	0.21585	0.02362	0	0	0.20572	0	0	0	1.15799	0	0.37289	0.42965	0	0.11156	0.21585	0.02708	0	0
Healthy	16.08956	4.91281	0.04828	0	0	0.04188	0	0	0	0.26029	16.08956	3.7531	3.02639	0	0	0.03569	0.04828	0.43867	0	0
Healthy	2.66517	8.9483	0	0	0	0.07776	0.15639	0.51129	0	0	2.66517	0.63812	0	0	0	5.7003	0	0.01705	0	0.21743
Healthy	3.20391	11.35242	0.00451	0	0	0.06544	2.66772	0.7355	0	0	3.20391	0.89891	0	0	0	7.09637	0.00451	0.01215	0	0.24355
Healthy	22.52399	12.27917	0	0.028	0.0073	0.02787	0.09915	0.03641	0	0	22.52399	0.87139	2.56626	0.04705	1.24513	0	0	0.0136	0.0073	0
Healthy	23.50672	3.55185	0	0	0	0	0.2508	0	0	0	23.50672	24.43499	0.27637	0	1.10334	2.9757	0	0.05412	0	0.0745
Healthy	5.27636	4.86156	0.5783	0	0	0	0.1223	0	0	0	5.27636	2.45781	0	0	3.76568	6.33312	0.5783	0	0	0
Healthy	0.74218	7.68045	0	0	0	0	0.18747	0.14686	0	0	0.74218	17.06665	2.04324	0.04178	6.29834	0.0632	0	0	0	0
Healthy	4.66382	0.47981	0.10271	0	0	0	0.05913	0.00802	0.00448	0	4.66382	0.1997	0.05402	78.76377	0	0.02799	0.10271	0.00569	0	0
Healthy	20.07617	6.64148	0.01597	0.008	0.02608	0.04462	0.04607	0.01042	0.14062	0.25312	20.07617	0	1.5587	1.82617	0	0.17411	0.01597	0.00545	0.02608	0
Healthy	20.8232	9.53526	0	2.80187	0	0.67165	0.1339	0	0	0.16683	20.8232	0	0.07901	2.4214	0	5.90439	0	0	0	0
Healthy	18.86342	25.28152	0.78156	0	0	0	0	0	0	0	18.86342	0.23084	11.9056	0	1.08835	0	0.78156	11.3576	0	0
Healthy	8.09311	18.29438	0.60443	0	0	0	0	0.21516	0.00243	0.01342	8.09311	0.61624	17.15839	0	0	0	0.60443	0.5723	0	0
Healthy	18.30054	2.75889	0	0	0	0	0	0	0	0	18.30054	0.03482	0.55983	0	0	0	0	0	0	0.42578
Healthy	9.47397	8.58561	0.00195	0	0	0.06709	1.53569	0	0	0	9.47397	15.23831	3.29959	0	0.10558	8.78787	0.00195	0	0	0.16582
Healthy	11.74589	28.78528	0.03976	0	0	0.12678	0	0	0.55065	0.39724	11.74589	2.87028	0.47797	0.71302	0.16735	0.08859	0.03976	0.11145	0	0.02847
Healthy	0.2867	1.26394	0.04975	0	0	0	2.15327	0.00975	0	0	0.2867	20.00155	0.68619	1.00992	2.88154	0.0042	0.04975	0.29282	0	0.081
D015212	36.0184	13.5617	1.90841	0.17637	0.00012	0.29104	0.53934	0.22188	0.00448	0.43775	36.0184	0	0	0.00107	0	0.28709	1.90841	0.08027	0.00012	0
Healthy	1.01616	0.82616	0.29215	0	0	0	0.53887	0	0	0	1.01616	14.67782	5.62385	0.1118	1.9336	0	0.29215	0.56328	0	0.01499
Healthy	25.34291	10.02603	0.22287	0	0	0	0.27181	0.08385	0.01785	0	25.34291	0.42444	0.68543	0	0	0	0.22287	0.57913	0	0
Healthy	9.43879	5.53352	0.02321	0.01308	0	0	0.09268	0	0	0	9.43879	13.99989	0.63357	0	0	0.01784	0.02321	0	0	0
Healthy	6.33331	4.09189	0	0	0	0.01449	0.03116	0	0.98088	0.0182	6.33331	8.47845	7.85793	0.61563	3.19204	0.67731	0	0.28536	0	0
Healthy	0.00094	0	0	0	0.22892	0	0	0	0	0	0.00094	0	0	86.41751	0	0	0	0	0.22892	0
Healthy	21.55607	3.79106	0.09358	0	0	0.11696	0.19885	0.1511	0	0	21.55607	20.27064	0	0	2.48727	5.18226	0.09358	0.0673	0	0.04561
Healthy	0	0	0.00367	0.04244	3.58269	0.0088	0.25159	0.00219	0	0.02357	0	0.01919	0	3.966	0	0	0.00367	0.02798	3.58269	0
D015212	36.17853	5.95213	0.64606	0.04967	0	0.31613	0.07689	0.07664	0.0024	0.0813	36.17853	1.2506	2.81457	0	0	0	0.64606	0.0232	0	0
Healthy	1.72277	1.07413	0	0	0	0	0.08128	0	0	0	1.72277	1.42524	0	0.09795	1.99692	0.58962	0	0	0	0
Healthy	1.17854	0.74249	0	0	0	0	1.25366	0	0	0	1.17854	15.98344	0.1764	0	3.44508	0.11326	0	0	0	0
Healthy	4.22058	0.81966	0.25024	0	0	0	0.25381	0	0	0	4.22058	15.10948	0	0	12.6988	0.26844	0.25024	0	0	0
Healthy	12.86174	10.96303	0	0	0	0	0.08686	0.00602	0	0	12.86174	5.89204	0.07202	0.08321	4.55688	0.51581	0	0.10518	0	0.06628
Healthy	26.41081	2.1399	0.00441	0	0	0	0.10013	0	0	0	26.41081	0.8965	0.07529	0	0.04919	0.11734	0.00441	0	0	0
Healthy	5.7435	3.55799	0.00552	0	0	0	0.02179	0.00226	0	0	5.7435	16.07393	0.96809	0.15123	3.20915	0.23778	0.00552	0	0	0.02796
Healthy	1.35877	0.93393	0.04713	0	0	0	0.12854	0	0	0	1.35877	6.16719	0.65772	0	4.11412	1.5313	0.04713	0.00711	0	0.00691
Healthy	26.62906	18.12004	0.04653	0	0	0	0.48259	0.05421	0	0.00354	26.62906	5.44351	2.3538	2.8125	0.52356	0	0.04653	0.02471	0	0
Healthy	46.55662	0.12429	0	0	0	0	0	0	8.60814	0	46.55662	0	0	0	0.15386	0.04874	0	2.64033	0	0
Healthy	25.0635	5.30787	2.29794	0.25302	0.52882	0.08119	0.01974	0.03483	0.84799	0	25.0635	20.28008	1.70945	0	5.44263	0.46186	2.29794	0.15335	0.52882	0
Healthy	56.88681	4.28916	0	0	0	0	0	0	0.07633	0	56.88681	0.36649	5.97462	0	0.24568	0.04642	0	1.06366	0	0
Healthy	12.1476	62.9997	0	0	0	0	0	0	0	0	12.1476	0	0	0	0	0	0	0	0	0
Healthy	2.9794	3.43183	0.04301	0	0	0	1.31228	0	0	0	2.9794	10.3322	0	0	0.74068	0.11483	0.04301	0.03085	0	0.01168
Healthy	4.23484	2.17847	0	0	0	0	3.44475	0	0.10067	0	4.23484	9.98651	0.00984	0	3.25057	0	0	0.19977	0	0
