group	Bacteroidaceae	Enterobacteriaceae	Marinifilaceae	Pasteurellaceae	Lactobacillaceae	Veillonellaceae	Peptostreptococcaceae	Erysipelatoclostridiaceae	Eggerthellaceae	Micrococcaceae	Bacteroidaceae	Ruminococcaceae	Bifidobacteriaceae	Tannerellaceae	Dialisteraceae	Barnesiellaceae	Burkholderiaceae	Methanobacteriaceae	Marinifilaceae	Oscillospiraceae
Healthy	12.62376	0.02165	0	0.19393	0	0.01217	0.0908	0.06233	0.20396	0	12.62376	8.82855	9.82654	2.10613	4.06746	0	0.00678	0	0	0.52013
Healthy	8.46995	0.74512	0.00239	0	0.78683	0.13021	0.03828	0	0.00569	0	8.46995	0	17.01694	55.4244	0	0	0.77874	0	0.00239	0
Healthy	92.1473	4.12779	0	0	0	0	0	0	0	0	92.1473	1.42962	0	0	0	0	0	0	0	0.04909
Healthy	21.2982	0	0.58748	0	0.003	0	0	0	0.3762	0	21.2982	17.63019	0.73193	4.63046	0	3.89693	0.0093	0	0.58748	0.01037
Healthy	14.6883	1.83545	0	0	0	0	0	0	0	0.02426	14.6883	11.99021	4.99819	1.44981	1.29797	1.73556	0	3.06931	0	0
Healthy	23.61452	0	1.88591	0	0	0	0.12217	0	0.06226	0	23.61452	4.71969	2.58432	2.52603	0	9.5509	1.16431	0.54243	1.88591	0.14019
Healthy	53.80599	0	0	2.77557	0	0.29998	0	0	0	0	53.80599	3.75877	0.50518	4.22958	4.47702	1.10706	1.07698	0	0	0.1008
Healthy	32.15259	0	0	0	0	0	0	0	0	0	32.15259	3.6521	0	6.37429	0	1.03639	3.18134	0	0	0.19086
Healthy	52.2867	0	0	0.12423	0	0	0	0	0	0	52.2867	4.47824	0	1.26783	0	0	0.10417	0	0	0.0164
Healthy	31.71635	0	0.81242	0	0	0	0	0	0	0	31.71635	3.53311	0	6.43809	0	1.14784	3.01158	0	0.81242	0.24656
Healthy	6.80061	0	3.1263	0.01484	0.00944	0	0	0	0.03728	0	6.80061	16.45175	0	2.33747	0	0.54001	0.16203	0	3.1263	0.1245
Healthy	16.66698	0.04559	0.24283	0	0.25765	0	0.41789	0	0	0	16.66698	11.14507	1.29975	0.34158	0	0.92087	0	0	0.24283	0
Healthy	75.92255	1.37665	0	0	0	0	0.0709	0	0.00026	0	75.92255	2.57906	0.00669	0.08399	0	0	0	0	0	0.13021
Healthy	12.59197	0.04487	0.03503	0	0	0	0	0	0.09067	0	12.59197	8.38082	0.13549	15.63019	0	1.61717	0.39005	0	0.03503	0
Healthy	8.35651	0.09805	0.3186	0.06684	0.38832	0	0.40841	0	0.01448	0	8.35651	13.61657	1.11626	1.50426	0	2.19014	0.04103	1.70278	0.3186	0.01003
Healthy	18.58788	2.02806	0.52544	0.28217	0	0.1432	0.06758	0.04432	0.00696	0.01459	18.58788	10.38104	1.18708	1.82479	0	0.85979	0.21396	0.81474	0.52544	0.00713
Healthy	28.73911	0	0	0	0	0	0	0	0	0	28.73911	24.40005	0	0	0	0	0	9.23471	0	0
Healthy	11.97928	0	1.13762	0	0	0.0031	0	0	0.05899	0	11.97928	3.25541	0.05422	1.31999	0	4.72075	0.04026	0	1.13762	0.33959
Healthy	50.14928	0.04317	4.36243	0	0	0	0	0	0.99055	0	50.14928	3.68747	0	2.36362	0	3.46952	0	0	4.36243	0.00911
Healthy	54.18048	8.48243	0.84118	0.00258	0	0.02726	0.66049	0	0.02015	0	54.18048	8.76363	0.002	1.19501	0	1.7547	0.30935	0	0.84118	0.03503
Healthy	27.32592	0.03067	1.06521	0.03965	0	0	0	0	0	0	27.32592	1.47463	0.15815	2.10844	0	2.42318	0.39488	0.89622	1.06521	0
Healthy	40.19594	0	0.7931	0.74286	0	0.13071	0	0	0	0	40.19594	4.55272	0.87671	1.85882	0	0	2.38969	0	0.7931	0.0685
Healthy	36.92951	0.36631	2.06682	0.23479	0	0.20284	0	0	0	0	36.92951	4.26482	0	5.22934	2.48965	2.7737	0.013	0	2.06682	0
Healthy	19.86247	0.47299	0.52809	0	0.03492	0.00186	0.14908	0	0.05995	0	19.86247	5.56639	5.56913	0.38155	4.71543	0.1857	0.18365	0	0.52809	0.11883
Healthy	29.16371	2.12948	1.36225	0	0.90454	0.00824	0.13647	0	0.29137	0.00327	29.16371	4.45408	8.07662	1.46835	0.14204	2.84294	0.00433	0.00715	1.36225	0.13401
Healthy	54.96992	0	1.05331	0	0	0	0	0	0	0	54.96992	3.14863	0.08805	0.89272	0	0.78865	0.08094	0	1.05331	1.2697
Healthy	50.26182	1.06216	0	0	0	0	0	0	0.01047	0	50.26182	4.01289	0.02207	1.75228	9.30256	0	0.2712	0	0	1.78574
Healthy	25.14316	0	1.54784	0.01462	0	0.00209	0	0	0.05276	0	25.14316	38.17465	2.3021	1.40721	0.26986	0.51114	1.85847	0.05897	1.54784	0.01682
Healthy	2.1963	0	0	0	0	0	0.26971	1.12381	0	0	2.1963	22.10912	0	0	0	0	0	2.07917	0	0
Healthy	40.07286	0	0	0.24052	0.21739	0	0.05592	0.74543	0	0	40.07286	18.16738	0	0	0	0	0	0.71531	0	0
Healthy	53.10253	0.02631	0	0	0	0	0.05482	0.91977	0.06881	0	53.10253	16.99815	0.00318	2.47829	0	0	0.39081	0	0	0.27357
Healthy	85.81464	0.42965	0	0	0	0.02362	0	0	0	0	85.81464	0.89925	0	3.17839	3.34381	0	0.11156	0	0	0.20572
Healthy	0.04254	15.6337	0	0	0	0	0.04787	0	0	0.00144	0.04254	0.02963	0.25171	0.00463	0.00048	0	0	0	0	0
Healthy	83.40261	1.31886	0	0	0	0	0	1.26078	0	0	83.40261	0	0	2.44765	0	0	0	0	0	0
Healthy	51.51814	0	0	0.04188	0	0	0.26029	0	0	0	51.51814	4.91281	1.87214	0.27114	1.41269	0	0.03569	0	0	0
Healthy	19.13218	2.36877	0	0	0	0.06649	0	0	0	0	19.13218	18.05348	1.59289	1.18699	0	0.77206	0.26927	0.49771	0	0
Healthy	62.86016	0	0.9632	0.07776	0	0	0	0	0.51129	0	62.86016	8.9483	0	5.80673	0	0	5.7003	0	0.9632	0.15639
Healthy	54.9095	0	0	0	0	0	0	0	0	0	54.9095	8.72924	0	0.06004	0	0.44166	0	0	0	0
D001943	76.16919	0.88	0	0	0	0.00757	0.00052	0	0.03748	0.003	76.16919	0.368	0.1264	3.7368	0	0	0.06646	0	0	0.09421
Healthy	49.18147	0	1.07873	0.06544	0	0	0	0	0.7355	0	49.18147	11.35242	0	6.68856	0	0	7.09637	0	1.07873	2.66772
Healthy	47.44693	0	2.11166	0.1676	0	0.08681	0.02165	10.9273	0	0	47.44693	1.13101	0.10989	1.45644	0	0.00144	0.84737	0	2.11166	0.01289
Healthy	37.50399	0.04705	0.587	0.02787	0.0073	0.028	0	0	0.03641	0	37.50399	12.27917	1.19003	0.00304	5.34871	1.24513	0	0	0.587	0.09915
Healthy	20.15201	0.78469	0	0	0	0	0.06551	0	0.00335	0	20.15201	22.0754	5.11495	0.76233	0	0	0.24481	0	0	0.00321
Healthy	31.8271	0	0.79485	0	0	0	0	0	0	0	31.8271	3.55185	0	6.3337	0	1.10334	2.9757	0	0.79485	0.2508
Healthy	56.57897	0	1.04245	0	0	0	0	0	0	0	56.57897	4.86156	0.23312	6.04427	4.62199	3.76568	6.33312	0	1.04245	0.1223
Healthy	0.03058	0.15749	0	0.00151	1.9303	0	0	0	0	0	0.03058	0.00499	92.88663	0	0	0	0	0	0	0
Healthy	54.09437	0.07817	1.42396	0.00767	0	0.00282	0	0	0.00326	0	54.09437	4.69882	0	1.24461	0	0.56206	0.00077	0	1.42396	0.04777
Healthy	0.01207	4.27323	0	0	0.20686	0.10549	0.00065	0.11987	7e-05	0.00923	0.01207	0.00272	72.71209	0	0	0	0	0	0	0.07233
