group	Lachnospiraceae	Ruminococcaceae	Bifidobacteriaceae	Acutalibacteraceae	Coriobacteriaceae	Akkermansiaceae	Acidaminococcaceae	Erysipelotrichaceae	Lactobacillaceae	Erysipelatoclostridiaceae	Bacteroidaceae	Lachnospiraceae	Ruminococcaceae	Bifidobacteriaceae	Acutalibacteraceae	Akkermansiaceae	Methanobacteriaceae	Coriobacteriaceae	Acidaminococcaceae	Eggerthellaceae
Healthy	6.33331	4.09189	3.22177	7.85793	0.22602	5.195	0	0.28536	0	0.98088	27.71683	6.33331	4.09189	3.22177	7.85793	5.195	0.50179	0.22602	0	0
Healthy	0.00094	0	0.02275	0	0	0	0	0	0.22892	0	0.05164	0.00094	0	0.02275	0	0	0	0	0	0
Healthy	21.55607	3.79106	0	0	0.02688	0	0	0.0673	0	0	34.59584	21.55607	3.79106	0	0	0	0	0.02688	0	0.1511
Healthy	0	0	89.8523	0	0	0.00841	0	0.02798	3.58269	0	0.00012	0	0	89.8523	0	0.00841	0	0	0	0.00219
D009765	47.15803	5.61855	1.57126	2.9452	1.88832	1.32382	0	0.0588	0.61488	0	8.6647	47.15803	5.61855	1.57126	2.9452	1.32382	0	1.88832	0	0
Healthy	1.72277	1.07413	0.11834	0	0	1.66666	0	0	0	0	83.77259	1.72277	1.07413	0.11834	0	1.66666	0	0	0	0
Healthy	1.17854	0.74249	0	0.1764	0.11605	0	0	0	0	0	23.28354	1.17854	0.74249	0	0.1764	0	0	0.11605	0	0
Healthy	4.22058	0.81966	0.43511	0	0.571	0	0	0	0	0	28.01658	4.22058	0.81966	0.43511	0	0	0	0.571	0	0
Healthy	12.86174	10.96303	1.32525	0.07202	0.14202	1.05654	0	0.10518	0	0	39.59788	12.86174	10.96303	1.32525	0.07202	1.05654	0	0.14202	0	0.00602
Healthy	26.41081	2.1399	0.01689	0.07529	0.01375	0.01073	0	0	0	0	57.95917	26.41081	2.1399	0.01689	0.07529	0.01073	0	0.01375	0	0
Healthy	5.7435	3.55799	4.34504	0.96809	0	0.14766	0	0	0	0	45.98027	5.7435	3.55799	4.34504	0.96809	0.14766	0.0539	0	0	0.00226
Healthy	1.35877	0.93393	0.06193	0.65772	0.13383	0.83505	0	0.00711	0	0	64.4191	1.35877	0.93393	0.06193	0.65772	0.83505	0	0.13383	0	0
D009765	28.58551	1.49575	0.55159	3.58089	2.08858	0	0	1.32631	0	0	4.51544	28.58551	1.49575	0.55159	3.58089	0	0	2.08858	0	0.49603
Healthy	26.62906	18.12004	0.0216	2.3538	0.24	0.00071	0	0.02471	0	0	28.08373	26.62906	18.12004	0.0216	2.3538	0.00071	0	0.24	0	0.05421
Healthy	46.55662	0.12429	0	0	0	0	0	2.64033	0	8.60814	16.79646	46.55662	0.12429	0	0	0	0	0	0	0
Healthy	25.0635	5.30787	0.33771	1.70945	0.23481	0	0	0.15335	0.52882	0.84799	21.19058	25.0635	5.30787	0.33771	1.70945	0	0	0.23481	0	0.03483
Healthy	56.88681	4.28916	1.2613	5.97462	0.17433	0	8.81102	1.06366	0	0.07633	6.09663	56.88681	4.28916	1.2613	5.97462	0	3.78245	0.17433	8.81102	0
Healthy	12.1476	62.9997	21.2371	0	0	0	0	0	0	0	3.61561	12.1476	62.9997	21.2371	0	0	0	0	0	0
Healthy	2.9794	3.43183	0.14666	0	0.24373	10.5195	0.86272	0.03085	0	0	52.81819	2.9794	3.43183	0.14666	0	10.5195	0	0.24373	0.86272	0
Healthy	4.23484	2.17847	0	0.00984	0.63218	0	0.06803	0.19977	0	0.10067	60.23069	4.23484	2.17847	0	0.00984	0	0.09708	0.63218	0.06803	0
Healthy	13.98492	5.66478	35.90039	1.33345	0.3371	0	0	0.86835	0	0	21.04416	13.98492	5.66478	35.90039	1.33345	0	0	0.3371	0	0.0955
Healthy	22.45504	14.94631	0.03459	14.60672	1.97032	6.51919	0	0.98615	0	1.22214	3.37515	22.45504	14.94631	0.03459	14.60672	6.51919	0	1.97032	0	0.49385
