p	Proteobacteria	Firmicutes	Bacteroidota	Firmicutes_A	Actinobacteriota	Firmicutes_C	Verrucomicrobiota	Methanobacteriota	Desulfobacterota
Healthy	-5	-5	1.42350882927382	1.66372004899893	1.0392010841612	0.74992946410767	-5	-5	-5
Healthy	-0.138346129786089	0.190037398989312	1.15158158231486	1.84136516505698	-0.152797636019076	0.118615195569278	-1.02807505081581	-0.731024418902193	-1.08857603462371
D007234	1.62588961718507	-0.901114105747678	-5	-5	1.74327028800238	-5	-5	-5	-5
Healthy	-0.267831488311101	-5	1.76379227371666	0.942225394038726	-0.124030563715852	-0.336176622715236	0.940097926231087	-5	-0.253233509274442
Healthy	0.236373488494027	-0.460296761052174	1.34524587426771	1.77264422665499	0.289588952542597	0.0313438202620874	-5	-0.951092298516229	-5
Healthy	-5	-0.34356637993405	-0.446736102130203	0.853369020778802	1.43181487435091	-5	-5	-5	-5
Healthy	-5	-0.268346780304104	1.90515172992153	1.16590402368497	-5	-5	-5	-5	-5
Healthy	-3.24412514432751	-0.720538390742327	1.30818415943938	1.67775710506271	0.5896569959533	-5	1.27927923620624	-5	-0.720287439179074
D007234	1.97376838119483	0.391145141848446	-5	-5	-5	-5	-5	-5	-5
D007234	1.97924061766609	-0.248451470619323	-5	-0.956048581736723	-1.67243673981272	-5	-5	-5	-5
Healthy	1.74098454857805	-1.69550947222651	1.46048845128655	-0.601487100636577	0.856467268467033	-1.45568385825257	-3.39794000867204	-5	-5
Healthy	-0.241648360659185	0.0735093989447644	1.58838141538367	1.29462822967002	1.05550905880417	-1.79344395590097	1.07807637190583	-5	-5
Healthy	-0.00818049869410116	0.374258801735391	1.47030565369035	1.72806664688125	0.00441596227933744	-0.332603088723377	0.449879338623202	-0.683463552596444	-5
Healthy	1.54484981487026	-0.13499083395651	1.52154105801303	1.18056740329026	-2.36251027048749	-5	-5	-5	-5
Healthy	0.867749658122785	0.275695943772669	1.62193708491111	1.48141123776671	-0.876344325561878	-5	-0.308193814529736	0.388704955700738	-5
Healthy	0.476666455108599	-0.652162790782278	1.8422493624299	1.03803448288161	0.143654834652498	-5	-5	-2.08301995267962	0.0853084206935297
D007234	1.40700709396599	-0.833658708016502	-5	-5	-5	-1.57823159879308	-5	-5	-5
Healthy	-0.906333217772097	-0.465035207605334	1.45822828621146	1.7636263758975	-5	-0.409760221691033	-5	-0.672252928747544	-5
Healthy	0.0628902051108873	-5	1.81760403789488	0.383240712265224	-0.733980091146502	1.04397967690349	-5	-5	-5
Healthy	-1.28449805470672	-1.25266589038409	0.889549319851817	1.89740598462153	-0.321035719347869	-0.663660364179217	-5	-5	-5
Healthy	1.52283713787594	0.192826614678094	1.40084905039548	1.31392160918484	0.591057925521535	-1.81901441921327	-3.48148606012211	-5	-1.40660315769979
Healthy	-0.128129464579834	-2.75696195131371	1.8803962977303	0.745483117577596	0.138027821232947	-5	0.584892955610718	-5	-1.82073553566097
Healthy	0.0640234774529008	-0.30019694972716	1.44655083564052	1.75178633158743	0.420501988374776	-0.867580201902385	-0.100491382651709	-5	-5
Healthy	-0.926831737734898	-1.2185318571582	1.82018917291727	0.892972326282529	-0.46512391542646	-0.0562186872401727	1.01623542582996	-5	-0.481038835550238
Healthy	0.363041946961852	0.919402906871174	1.40671301227427	1.66820619715723	0.316936466943489	-0.649345021321921	-5	-0.0978066703730758	-1.10757145305477
Healthy	-5	-5	1.25929732031192	1.77721404573176	0.254809010414806	-5	-5	-5	-5
D007234	1.74035842549113	0.171533390977501	-5	-5	-5	-5	-5	-5	-5
D007234	1.77766398826189	-5	1.32930511147553	0.139170419697508	-0.327837464723681	-5	-5	-5	-5
D007234	1.52500383881913	0.903524064471262	-5	0.180277880313588	1.38624830441987	1.08497178831268	-5	-5	-5
Healthy	-0.785076715105102	-1.13170831198214	1.89530517121279	0.938137297650076	-0.806179973983887	-5	-5	-5	-2.79317412396815
D007234	1.94245155137294	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.0307534989344725	-1.16583371605738	1.81245075376518	1.36596264140317	-0.91388942619868	-5	-5	-5	-0.388223603002689
Healthy	1.17886476403183	0.0255802854362789	1.59146586560344	1.09462169057043	0.884305869902676	-0.644625115568388	-0.458782819002195	-1.12389767862221	-0.722184573429135
Healthy	-0.295652121429059	-0.63537397104496	1.94824376338362	0.405878868331657	-0.880117542015017	0.555024278341712	-5	-5	-2.59516628338006
Healthy	0.474740598479892	-1.07618627890881	1.902603793708	1.0933519823094	-5	-5	-5	-5	-1.41668784801692
