group	Gammaproteobacteria		Bacteroidia	Gammaproteobacteria	Verrucomicrobiae	Methanobacteria	Desulfovibrionia	
Healthy	0		11.533	0	0	0.64383	0	
Healthy	0.38855		42.72847	0.38855	0	0	0	
Healthy	0.10798		74.81172	0.10798	0	0	0.01841	
Healthy	10.57963		13.58487	10.57963	43.4724	0	0.71462	
Healthy	2.92244		71.38515	2.92244	0.03469	0	0.01487	
Healthy	0.22162		28.00834	0.22162	0	0	0	
Healthy	0.66783		44.18307	0.66783	0	0	0.00464	
Healthy	0.78459		33.10014	0.78459	0.63493	0.68638	0.08871	
Healthy	0.98887		67.68915	0.98887	0.00222	0	0.48144	
Healthy	0.27189		28.73117	0.27189	0	0	0.00456	
Healthy	1.90269		12.17958	1.90269	1.27653	1.64981	0	
Healthy	0.11296		50.49195	0.11296	0.0577	0	0.00879	
Healthy	1.20856		17.05268	1.20856	0	0	0	
Healthy	0.64721		85.82224	0.64721	0.03989	0	0	
Healthy	0.47933		33.90315	0.47933	0	0	0.00376	
Healthy	0.83322		70.51977	0.83322	0.04755	0	0.0186	
Healthy	0		42.6371	0	0	0	0	
Healthy	3.8263		0.72957	3.8263	0	0	0	
Healthy	1.69116		64.51356	1.69116	0	0.18142	0.18878	
Healthy	8.35027		9.13805	8.35027	0	8.75407	0.04905	
Healthy	2.23462		62.9367	2.23462	0.89222	0	0	
Healthy	0.03779		33.13465	0.03779	0.00828	0.65232	0	
