o	Bacteroidales	Lachnospirales	Oscillospirales	Actinomycetales	Lactobacillales	Selenomonadales	Coriobacteriales	Enterobacterales	Desulfovibrionales	Pseudomonadales	Peptostreptococcales	Methanobacteriales	Acidaminococcales
Healthy	1.81557104127818	0.73885267074137	0.652695878719575	-5	-5	-5	-5	-0.905738557279498	-5	-5	-5	-5	-5
Healthy	1.88378086390612	0.765563506854856	0.432853891032061	-2.17392519729917	-1.19348086591929	-5	-0.502144659868822	0.138826693810669	-1.35872424276809	-5	-1.14929251462546	-5	-5
Healthy	1.72431978848234	0.882307051669907	0.927850080667718	-0.868060704789575	-5	-5	-0.63520519282589	-1.34794715175189	-0.488584592791225	-5	-5	-5	-5
Healthy	1.88066745045934	0.312469327661736	0.802272800986002	-5	-2.53461714855158	-5	-5	-0.221046047095941	-2.14146280243036	-5	-5	-5	-5
Healthy	1.64240941377882	1.24119746047586	0.663782877786846	0.907689155879493	0.37579342575089	-5	0.00338297259828993	0.328275604985012	-1.04793440981495	-5	-0.864930986176552	-2.14508697769214	-5
Healthy	1.73645522766992	-0.0837092715592769	0.804686557679567	-1.65600093094284	-5	-5	-0.160239219038679	0.0261940310141587	-0.747244028911427	-5	-5	-5	-5
Healthy	1.56350540995057	1.11902151823587	1.58245325704891	0.362126071357915	-1.57121748850305	-0.451659726880363	-0.386433001228715	-1.83475567387469	-0.829591588274682	-5	-5	-1.22929523178422	-0.71545647704125
Healthy	0.341693638960031	1.476703841958	1.73721038001092	-5	-5	-5	0.566215868865457	-5	-5	-5	-0.569086848995397	0.317892088957648	-0.581019618754964
Healthy	1.94935604251243	0.0637085593914174	0.169636233270082	-5	-0.665827827275394	-5	-0.827718238544999	-0.366875075889939	-5	-5	-5	-5	-5
Healthy	1.74462456359356	1.20654443756562	0.899777289617267	0.272340642245293	-1.31614279459965	-5	-0.632196967250993	-1.37788963963878	-5	-5	-0.584525831890764	-5	-5
Healthy	1.84810070904581	0.425726545582806	0.959265640357073	-5	-5	-5	-0.291324207273463	-1.10918790104488	-5	-5	-5	-5	-5
Healthy	1.76411057214773	0.505681663469531	1.14675266012306	-5	-2.34486156518862	-5	-0.133411418224968	-1.18409034911323	-5	-5	-5	-5	-5
