group	Bacteroidaceae	Enterobacteriaceae	Dialisteraceae	Veillonellaceae	Oscillospiraceae	Erysipelatoclostridiaceae		Rikenellaceae	Acutalibacteraceae	Dialisteraceae	Barnesiellaceae	Methanobacteriaceae	Coriobacteriaceae	Oscillospiraceae	Desulfovibrionaceae	Eggerthellaceae	Coprobacteraceae
Healthy	26.98137	0.02507	0	0.46112	0	0		16.91879	0.12041	0	1.08183	0	0.09721	0	0.55816	0.15579	0
Healthy	14.8924	1.49435	0	0	0	0		4.64923	10.8039	0	1.28148	0.11191	0	0	0	1.54102	0
Healthy	0.35748	0	0	0	0	0		0	0	0	0	0	1.31584	0	0	0	0
Healthy	30.08327	0	0	0	0.26918	0		0.94071	0	0	0	0	0	0.26918	0	0	0
Healthy	9.97773	0	0	0	0.0678	0		9.92768	0.55688	0	0	0	3.60873	0.0678	0.19041	0.08408	0
Healthy	19.51684	55.0788	0	0.03501	0	0		0	0	0	0	0	0	0	0	0.0026	0
Healthy	15.59111	0.57325	0	0	2.41601	0		21.54638	0	0	0	0	0.78351	2.41601	0	0	0.07552
Healthy	20.84947	0	0	0.46493	0	0		5.53874	0.24502	0	1.3095	0.20726	0.41707	0	0	0.00383	0
Healthy	32.40716	33.3132	0	0	0.04376	0		0.00185	1.96572	0	0.78884	0	0.00433	0.04376	0	0	0.03296
Healthy	34.49539	5.37164	0	0	0	0		0.57648	2.58388	0	0.42416	2.44739	0	0	0	0	0
Healthy	47.92944	0	0	0	2.63969	0.11073		13.58558	1.49656	0	1.96991	0.00825	0.64273	2.63969	1.21704	0	0
Healthy	23.88824	0	0.36575	0.0235	0	0		1.15881	0	0.36575	1.05127	0.21268	0	0	0	0	0.04616
D003424	3.03495	0.16215	6.86308	0	0.45053	0.48045		1.82316	1.51559	6.86308	0.66653	0	0	0.45053	0.02751	0.33805	0
Healthy	65.70584	1.15581	10.166	0.89971	0.00677	0		0	0	10.166	0	0	0	0.00677	0	0	0
Healthy	7.7264	0.00483	0.21431	0.00247	0.00176	0.02077		0.02801	0	0.21431	0	0	0.46959	0.00176	0	0.00709	0
Healthy	14.2738	26.8642	0	0.01516	0.01155	0		6.75317	0.33886	0	2.89475	0	0.8622	0.01155	0.0392	0.2489	0
Healthy	43.115	0	0	0	0.03959	0.00174		25.16108	2.00529	0	0	0	0.1628	0.03959	0.0151	0	0
Healthy	24.94261	0.18994	0	0.13564	0.00501	0		1.43902	0.01538	0	0.52702	0	0.59158	0.00501	0	0.00141	0.00196
Healthy	53.20443	0	0	0	1.28496	0		10.13026	0	0	0.79806	0	0.22282	1.28496	0.33033	0	0.01366
Healthy	19.65803	1.84899	0	0.2242	0.01016	0.05317		2.82233	10.99563	0	0.83378	0.79834	1.02795	0.01016	0.07805	0.01142	0.03313
Healthy	11.22645	0	0	0	0	0		6.86182	3.49728	0	0	0	0.90246	0	0	0.89561	0
Healthy	54.59408	0.09832	0	0	2.80825	0		17.3234	0.10545	0	2.03364	0	0.03568	2.80825	0.0016	0	0.33205
Healthy	19.53527	0	0	0	0.35053	0		32.47975	0.35928	0	2.7135	0	0.0603	0.35053	0.40904	0.06162	0.10525
Healthy	12.59282	9.39904	0	0.22665	0.25382	0		19.9503	3.61899	0	4.25885	0.07517	0.58354	0.25382	0.18958	0.06985	0.03318
Healthy	85.53744	0.38656	3.56415	0.02526	0.13158	0		0	0.39264	3.56415	0	0	0.13178	0.13158	0.00253	0	0
Healthy	44.79468	2.90482	0	0	0.45575	0.01034		0	0.04091	0	0	0	0	0.45575	0.0383	0	0
Healthy	32.48011	0.09232	0.35415	0.03051	0.16672	0		13.64793	0.63795	0.35415	5.56533	0.17643	0.15204	0.16672	0.13826	0.03016	0.40654
Healthy	22.29547	5.3394	2.02896	0.00921	0.06471	0.15251		6.54158	2.62589	2.02896	8.0343	3.08044	0.00031	0.06471	0.35495	0.05899	0
Healthy	50.05089	0	0	0	0.03207	0		23.62284	1.97063	0	0	0	0.1128	0.03207	0.02838	0	0
Healthy	11.45445	0.00681	0	0.01218	0.42658	0		2.21498	0.0976	0	7.4203	0	0.29588	0.42658	0.37016	0	0.06417
Healthy	53.10742	0	0	0	0.00715	1.99083		0.42047	0.66502	0	0.11893	1.90301	0.03785	0.00715	0	0	0
Healthy	21.86425	1.88746	0	0	0	0		2.76763	3.92368	0	0.59791	0.42914	1.00364	0	0.05407	0	0.39662
Healthy	74.44349	0	0	0	0	0		1.39526	0	0	0	0	0	0	0	0	0
Healthy	57.19175	1.43986	0	0	0	0		4.61983	0	0	1.35529	0	0.38453	0	0.03475	0.03878	0
Healthy	45.86257	2.74832	0	0	0.38809	0.00254		0	0.04359	0	0	0	0	0.38809	0.04609	0	0
Healthy	38.96143	0	6.64189	0.08778	0	0		0.71322	4.73477	6.64189	1.7098	0.18105	0	0	0	0	0
Healthy	20.94759	0.07617	0	0.01651	0.00902	0		6.38827	0.62418	0	3.28842	0	0.27859	0.00902	0	0	0
Healthy	54.4671	0	0	0	0.39467	0.56566		7.37156	0.97464	0	1.30868	0.02876	0.14886	0.39467	1.64987	0	0
Healthy	53.70168	0.04198	0	0	3.05171	0		17.45545	0.12658	0	2.0715	0	0.05215	3.05171	0.00154	0	0.35714
Healthy	54.5035	0	0	0.0072	0.01881	0		5.92174	0.00883	0	0	0	0	0.01881	0	0	0
Healthy	33.53274	0.13218	0	0.00213	0.1802	0		15.5661	1.40431	0	0	0.1953	1.20806	0.1802	0.11107	0.4103	0
