group	Oscillospirales	Enterobacterales	Pseudomonadales	Peptostreptococcales		Bacteroidales	Veillonellales	Verrucomicrobiales	Burkholderiales	Methanobacteriales	Desulfovibrionales	
Healthy	9.74817	3.09305	0	0.16683		50.98894	7.88732	0	5.90439	0	0	
Healthy	0.04218	18.67253	0.44225	0		28.85223	0.01348	0	5.67678	0	0	
Healthy	37.18712	0	0	0		18.80818	0	0	0	0	0	
Healthy	11.38529	1.10102	0	0		58.72881	0.84416	0.64191	0.37347	0	0.00203	
Healthy	7.22016	3.29189	0	0.61698		38.48591	2.86633	3.66082	0	0	0	
Healthy	35.45277	0	0.06974	0.01342		7.42578	1.99584	0	0	0	0	
Healthy	3.31872	0	0	0		68.09654	0	0.06765	0	0	0	
Healthy	13.42089	0.06709	0	0		43.75014	0	3.04604	8.78787	0.57278	0.04203	
Healthy	9.96877	0.49793	0	0		29.64285	1.07405	1.26041	0	0	0.02619	
Healthy	29.26325	0.8398	0.963	0.39724		17.56695	0	1.83008	0.08859	0.1514	0.03232	
Healthy	4.1034	1.00992	0	0		67.09431	0.03571	0.00437	0.0042	0	0.40307	
Healthy	6.98888	0.1118	0	0		31.28267	0.61502	0.51673	0	0	0.80581	
Healthy	10.98327	0	0	0		20.36905	4.75712	25.358	0	0	0	
Healthy	13.37947	0.30901	0	0.1		31.96207	0.00198	0.08939	0.56276	0	0.1864	
Healthy	4.46853	0.21568	0	0.30225		29.88316	0.35673	0.09638	0	0.83654	0	
Healthy	6.01617	0.17465	0	0		56.71029	0	0	0.12171	0.17766	0.11779	
Healthy	4.98799	0	0	0		68.24682	4.41165	0	5.94144	0	0	
Healthy	1.08933	0	0	0		80.64045	2.76131	0	0.16545	0	0	
Healthy	6.25977	0	0	0		67.23166	0.01308	0.53875	0.01784	0.0264	0.09289	
Healthy	11.98098	1.08785	0	0.0182		42.56931	0.49436	5.195	0.67731	0.50179	0.29804	
Healthy	0	86.41751	0	0		0.05164	0	0	0	0	0	
Healthy	3.98991	0.11696	0	0		61.38019	0	0	5.18226	0	0.16147	
Healthy	5.95025	9.93651	0	0		13.55565	2.73148	44.3916	0.2551	0	0.60646	
Healthy	0.25159	3.9748	0.57192	0.02357		0.01931	0.04244	0.00841	0	0	0	
Healthy	20.26847	0.07966	0	0.01069		26.91606	0.29548	12.5439	2.0776	0.00886	0.03459	
Healthy	4.60052	0.8687	0	0.03452		30.46926	1.09017	0	1.3721	0	0	
Healthy	1.15541	0.09795	0	0		92.92764	0	1.66666	0.58962	0	0	
Healthy	2.17255	0	0	0		43.38378	0	0	0.11326	0	0.03182	
Healthy	1.07347	0	0.02363	0		56.61767	15.1182	0	0.26844	0	0.01125	
Healthy	0	1.19543	0.99345	0		13.19024	7.54867	0	0	0	0	
Healthy	14.91169	0.47565	0	0		20.1959	4.95061	0	0	0	0.01352	
Healthy	15.9485	2.01556	0	0.14746		22.26482	0.00429	0.87286	1.36827	1.43462	0.11973	
Healthy	11.12191	0.08321	0	0		52.15726	0	1.05654	0.51581	0	0.20998	
Healthy	2.31532	0	0	0		61.05334	3.44835	0.01073	0.11734	0	0	
Healthy	4.54787	0.15123	0	0		70.56182	2.88164	0.14766	0.23778	0.0539	0.07482	
Healthy	13.26304	0.15724	0	0.21993		64.07224	0.05124	0	0.00643	0	0	
Healthy	1.72019	0	0	0		83.56988	0	0.83505	1.5313	0	0	
Healthy	20.95643	2.8125	0	0.00354		37.34462	0	0.00071	0	0	0.05661	
Healthy	0.12429	0	0	0		20.76636	0	0	0.04874	0	0	
Healthy	14.69804	0	0	0.20308		13.76706	24.41184	0	0.11785	0	0.11021	
Healthy	6.30704	2.02587	0	0		46.47794	0.98843	0.02587	6.04808	0	0	
Healthy	7.03706	0.08119	0	0		49.42088	0.25302	0	0.46186	0	0.01742	
Healthy	4.08791	0.02496	0	0		45.03545	0.79662	1.81914	0	9.02686	0.01113	
Healthy	10.26378	0	0	0		7.28498	0	0	0.04642	3.78245	0.01529	
Healthy	6.22643	0.08922	0	0		81.27551	0	0	0.32864	0	0.066	
Healthy	5.92353	9.88235	0	0		13.21373	2.47905	43.4397	0.30473	0	0.73443	
Healthy	8.90022	1.36227	0	0		53.02912	5.49084	1.87694	0.00578	0	0	
Healthy	25.82853	1.7727	0	0.21189		12.07781	2.73472	0	0.06759	0	0.02349	
Healthy	62.9997	0	0	0		3.61561	0	0	0	0	0	
Healthy	4.74411	0	0	0		65.94451	0	10.5195	0.11483	0	0.31288	
Healthy	5.63306	0	0	0		77.56292	0	0	0	0.09708	1.50048	
Healthy	1.86077	0	0	0		29.81266	0	0	0.04694	0.67796	0	
