group	Bacteroidales	Oscillospirales	Actinomycetales	Enterobacterales	Lactobacillales	Selenomonadales	Coriobacteriales	Pseudomonadales	Peptostreptococcales		Enterobacterales	Verrucomicrobiales	Lactobacillales	Burkholderiales	Erysipelotrichales	Coriobacteriales	Acidaminococcales	Pseudomonadales	Desulfovibrionales	Peptostreptococcales
Healthy	45.26359	5.98487	1.20908	0.34649	0.0582	0	0.7137	0	0		0.34649	0.13239	0.0582	0.01275	0.49025	0.7137	0.06831	0	0.66408	0
Healthy	18.16766	2.22382	1.62673	2.71161	17.16755	2.56205	2.27129	0	0		2.71161	0	17.16755	0	4.10863	2.27129	2.97004	0	0	0
Healthy	63.72663	8.33474	0.43785	0.07952	0.17892	0	0.11806	0	0		0.07952	0	0.17892	0	0	0.11806	0	0	0.06978	0
Healthy	31.15761	6.31917	35.20264	0.08088	0	0	1.0791	0	0		0.08088	0.03307	0	0.0234	0.02407	1.0791	0	0	0.00756	0
Healthy	21.40224	17.86587	5.54225	0.16148	0.27012	0	4.33288	0.06946	0.25		0.16148	0	0.27012	0.08772	4.8168	4.33288	0	0.06946	0	0.25
Healthy	13.2891	6.01991	0.0103	10.2181	0	0	1.34897	0	0		10.2181	43.9894	0	0.28406	0.13551	1.34897	0	0	0.45505	0
Healthy	65.75268	4.69076	0.13383	0	0.05589	0	0.28366	0	0		0	10.41	0.05589	0.09557	0.0128	0.28366	0.80514	0	0.33848	0
Healthy	46.11877	17.61636	2.43475	0.06381	0.45117	0.03243	0.83394	0	0		0.06381	0.10078	0.45117	2.51045	0.40667	0.83394	0	0	0.00124	0
Healthy	70.63059	1.86091	0.27682	0.06157	0	0	0.00233	0	0		0.06157	0	0	0.11666	0.02247	0.00233	0	0	0	0
Healthy	44.41535	6.73183	5.34259	0	0	0	0.70893	0	0.00258		0	7.09147	0	0.27735	0.17455	0.70893	0	0	0.1094	0.00258
Healthy	36.30805	3.63925	0.1995	0.0175	0.01403	0	0.05945	0	0		0.0175	0	0.01403	0.00491	5.19517	0.05945	0	0	0	0
Healthy	18.17723	30.65601	5.93464	0	0	0	1.71217	0	0.92052		0	0	0	0	0	1.71217	0	0	0	0.92052
Healthy	42.50091	3.37303	0	0	0.00794	0	0	0	0		0	0	0.00794	0	1.95468	0	2.18475	0	0	0
Healthy	63.68496	1.47712	0.92934	0	0	0.00475	0.23525	0	0		0	0	0	0.17416	0.04651	0.23525	0	0	0.05044	0
Healthy	92.81289	1.54077	0	4.2841	0.01292	0	0	0	0		4.2841	0.55019	0.01292	0	0	0	0	0	0	0
Healthy	49.73983	11.96651	0.61728	0.01667	0.36059	0	0.12868	0	0		0.01667	0.38836	0.36059	2.54517	0.14758	0.12868	0.00113	0	0.10707	0
Healthy	51.54426	31.88632	0.01142	0.47737	0.10367	0	0	0	0		0.47737	0	0.10367	2.10393	0	0	0	0	0	0
Healthy	71.0787	0.77931	0	2.0968	0	0	0	0	0		2.0968	0	0	0.34626	0	0	0	0	0.03142	0
Healthy	26.51604	13.63179	10.94462	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	14.1769	17.91611	0.53641	0.09698	0.20263	0	0.16698	0	0		0.09698	0.09373	0.20263	0.63021	1.34631	0.16698	1.31009	0	0.08154	0
Healthy	58.04866	4.47132	0.49856	0.02507	0	0	0.253	0	0		0.02507	8.71159	0	0.51464	0	0.253	0	0	0.55816	0
Healthy	22.14347	21.15368	0.40697	1.49435	0.34649	0	1.54102	0.22899	0		1.49435	0	0.34649	0	0	1.54102	1.07483	0.22899	0	0
Healthy	0.35748	0.39654	25.6546	0	0.45334	0	1.31584	0	0		0	0	0.45334	0	0	1.31584	0	0	0	0
Healthy	80.38068	1.73887	0	0	0	0	0	0	0		0	0	0	0	0.53907	0	0	0	0	0
Healthy	20.33218	25.92229	0.19456	0	0	0	3.69281	0	0		0	19.023	0	0.00056	0.1903	3.69281	0	0	0.19041	0
Healthy	28.87276	0.00433	7.18306	55.0788	0.00765	0	0.0026	0	0.23549		55.0788	0.00039	0.00765	0	0	0.0026	0	0	0	0.23549
Healthy	38.75978	5.64434	10.5799	0.57325	0	0	0.78351	0	0		0.57325	11.9695	0	0	1.18442	0.78351	0.01608	0	0	0
Healthy	29.53286	7.35678	0.58931	0.91179	0.7126	0	0.4209	0	4.42379		0.91179	2.81759	0.7126	0.06954	1.65472	0.4209	0	0	0	4.42379
Healthy	33.23081	3.242	0	33.3132	0	0	0.00433	1.74985	0		33.3132	0	0	0	0.73283	0.00433	0	1.74985	0	0
Healthy	41.87328	4.27652	0.13293	5.37164	0.02733	0	0	2.00314	0		5.37164	0.49181	0.02733	0	1.85933	0	0	2.00314	0	0
Healthy	69.54234	7.01832	0.74931	0	0.04903	0	0.64273	0	0		0	0	0.04903	2.99685	0.17372	0.64273	0	0	1.21704	0
Healthy	28.72289	0.76115	0	0.09139	0.34273	0	0	0	0		0.09139	0	0.34273	0.03267	0	0	0	0	0	0
Healthy	65.70584	0.10838	0.1845	1.15581	0	0	0	0	0		1.15581	0	0	0	0	0	0	0	0	0
Healthy	7.75441	14.55616	0.0008	0.05193	0.0318	0	0.47668	0	0		0.05193	0	0.0318	0	0.02408	0.47668	0.00015	0	0	0
Healthy	25.16801	8.83526	2.78263	26.87573	1.51516	0	1.11166	6.4544	0.20169		26.87573	0.00032	1.51516	0	0.04376	1.11166	0	6.4544	0.0392	0.20169
Healthy	75.927	3.83581	1.21132	0	0	0	0.1628	0	0		0	3.84496	0	0.7445	0.00174	0.1628	0	0	0.0151	0
Healthy	27.96087	9.83849	2.04031	0.76155	0.4968	0	0.59299	0.33242	0.1088		0.76155	0.79342	0.4968	0.06486	0.00415	0.59299	0	0.33242	0	0.1088
Healthy	66.09812	4.70989	0.11984	0	0.05237	0	0.22282	0	0		0	10.3809	0.05237	0.11834	0.00808	0.22282	0.87857	0	0.33033	0
Healthy	25.51014	20.96904	1.03523	2.10237	8.14983	0	1.03937	0	0.07247		2.10237	0	8.14983	0.20459	0.13303	1.03937	0	0	0.07805	0.07247
Healthy	18.16758	47.80958	0	0	0	0	1.79807	0	0		0	0	0	0	0	1.79807	0	0	0	0
Healthy	78.57875	7.98813	0.12056	0.09832	0.03648	0	0.03568	0	0		0.09832	0	0.03648	0.0657	0.03735	0.03568	0	0	0.0016	0
Healthy	64.93079	4.49598	0	0	0	0	0.12192	0	0		0	0	0	1.07337	0.06825	0.12192	0	0	0.40904	0
Healthy	39.03604	6.84934	6.99607	9.39904	0.01927	0	0.65339	4.54617	0.0581		9.39904	0.3477	0.01927	0.21451	0.8809	0.65339	0	4.54617	0.18958	0.0581
Healthy	88.7654	1.32719	0	0.38656	0.20842	0	0.13178	0	0		0.38656	0	0.20842	0.11966	0.02311	0.13178	0	0	0.00253	0
Healthy	79.91048	0.49666	0	2.90482	0.07356	0	0	0	0		2.90482	0	0.07356	0.07877	0.01034	0	0	0	0.0383	0
Healthy	64.14272	6.98856	0.57014	0.13452	0.00636	0	0.1822	0	0		0.13452	0	0.00636	1.39314	0.02486	0.1822	0	0	0.13826	0
Healthy	38.36526	8.76396	0.01179	5.3394	0.01559	0	0.0593	0.05478	0.00271		5.3394	1.4567	0.01559	0.03034	0.51579	0.0593	0	0.05478	0.35495	0.00271
Healthy	80.84169	3.69428	1.06722	0.00402	0	0	0.1128	0	0		0.00402	3.57301	0	0.70225	0	0.1128	0	0	0.02838	0
Healthy	25.1195	6.67228	1.57348	0.00781	0.75851	0	0.29588	0.00368	0.08429		0.00781	0.69873	0.75851	0.88008	1.03495	0.29588	22.5247	0.00368	0.37016	0.08429
Healthy	55.82578	1.67288	0	0	1.65013	0	0.03785	0	0.08412		0	0.01236	1.65013	0.08336	7.32767	0.03785	1.47114	0	0	0.08412
Healthy	27.29133	18.48604	29.09458	1.88746	0	0	1.00364	0	0		1.88746	1.26245	0	1.38138	0	1.00364	0	0	0.05407	0
Healthy	78.2146	3.19307	0	0	0	0.39408	0	0	0		0	0	0	0	0.43276	0	0	0	0	0
Healthy	64.69453	7.34323	1.11818	1.46273	0.43462	0	0.42331	0	0.00613		1.46273	0	0.43462	0.56976	0.07146	0.42331	0	0	0.03475	0.00613
Healthy	79.61067	0.43168	0	2.74832	0.09803	0	0	0	0		2.74832	0	0.09803	0.06262	0.00254	0	0	0	0.04609	0
Healthy	46.96026	5.6291	0.05685	0.3539	0.75909	0	0	0	0.04315		0.3539	0.6796	0.75909	0	0	0	0	0	0	0.04315
Healthy	33.30529	6.02774	0.50648	0.24621	0.03125	0	0.27859	0	0.03226		0.24621	0	0.03125	1.2693	0.1551	0.27859	0.26395	0	0	0.03226
Healthy	69.58044	5.24253	0.11493	0	0	0	0.14886	0	0		0	0	0	0.0624	0.56566	0.14886	0	0	1.64987	0
Healthy	77.68829	8.42329	0.09615	0.04198	0.02956	0	0.05215	0	0		0.04198	0	0.02956	0.07281	0.0243	0.05215	0	0	0.00154	0
