group	Bacteroides_eggerthii	Bacteroides_stercoris	Dialister_invisus	Ruminococcus_B_gnavus	Bacteroides_nordii	Adlercreutzia_equolifaciens	Anaerotruncus_colihominis	Gordonibacter_pamelaeae	Longicatena_innocuum	Eggerthella_lenta	Agathobacter_rectalis	Ruminococcus_H_sp003531055	Anaerobutyricum_hallii_A	Collinsella_sp003487125	Enterocloster_aldenensis	Bariatricus_comes	Mediterraneibacter_torques	Blautia_A_wexlerae	Roseburia_hominis	Dorea_formicigenerans
Healthy	2.45756	0	0	0	0	0	0	0	0	0	0	3.13501	1.01417	0	0.79934	0.70173	0.08099	0.43257	0	0.42913
Healthy	0	0	0.01411	0.0593	0	0.02643	0	0	0	0	5.10639	0	0	0.19181	0	0.20999	1.01673	0	0	0.01714
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	2.29387	0.05543	1.21706	0.01544	0	0.00714	0	0	0	0	12.82	0.48557	0.16832	0.12154	0.14405	0.26633	0.00203	0.32221	1.03391	0.10267
Healthy	0	0	0.62783	0.00425	0	0	0.00167	0	0	0	9.55614	0	0	0	0	0	0.10179	0	0.04409	0.00131
Healthy	0	0.71618	0	0	0.06903	0	0	0	0	0	0	0	0	0	0	0	0.02376	0	0	0
Healthy	0	0	5.62249	0	0	0	0	0	0	0	22.3249	6.32555	0.82993	0	0.07968	0.05153	2.98779	0.88487	0.36951	0.89458
Healthy	0	0	0	0	0	0.00932	0	0	0	0	7.50067	1.72462	0.1047	0.15766	0.36575	0.40466	0.2029	0.26133	0.19741	0.09499
Healthy	0	7.27125	0	0	0	0.15579	0	0	0	0	2.17687	0.12041	0	0.09721	0	0.05616	0	0.01581	0.42816	0.01103
Healthy	0.2694	0	0	0	0	1.41636	0	0.12466	0	0	11.9018	10.8039	0	0	2.0934	1.21033	1.06834	0.83816	2.02059	0
Healthy	0	0	0	6.73804	0	0	0	0	0	0	0	0	0	1.31584	0	0	0	0	0	0
